symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ISRG,2014-10-02 00:00:00+00:00,156.54651012,157.1665095,152.1331812,154.51651215,753354,469.64,0.0,471.5,456.4,463.55,1.0,251118
ISRG,2014-10-03 00:00:00+00:00,158.40317493,160.333173,157.01317632,157.01317632,1052686,475.21,0.0,481.0,471.04,471.04,1.0,350895
ISRG,2014-10-06 00:00:00+00:00,162.18317115,168.57983142,161.71983828,163.10650356,1949005,486.55,0.0,505.74,485.16,489.32,1.0,649668
ISRG,2014-10-07 00:00:00+00:00,160.75317258,162.94650372,159.6365403633,161.21983878,1243411,482.26,0.0,488.84,478.9101,483.66,1.0,414470
ISRG,2014-10-08 00:00:00+00:00,163.28317005,163.85650281,159.94650672,161.24983875,1028173,489.85,0.0,491.57,479.84,483.75,1.0,342724
ISRG,2014-10-09 00:00:00+00:00,158.78317455,162.71317062,156.999843,162.71317062,1423786,476.35,0.0,488.14,471.0,488.14,1.0,474595
ISRG,2014-10-10 00:00:00+00:00,156.68317665,160.71983928,156.46317687,158.87650779,846114,470.05,0.0,482.16,469.39,476.63,1.0,282038
ISRG,2014-10-13 00:00:00+00:00,155.02317831,158.70317463,154.86317847,156.2665104,757797,465.07,0.0,476.11,464.59,468.8,1.0,252599
ISRG,2014-10-14 00:00:00+00:00,153.76984623,158.230508436,152.49651417,157.39650927,1180762,461.31,0.0,474.692,457.49,472.19,1.0,393587
ISRG,2014-10-15 00:00:00+00:00,153.37984662,154.52317881,149.77985022,152.0665146,1193215,460.14,0.0,463.57,449.34,456.2,1.0,397738
ISRG,2014-10-16 00:00:00+00:00,152.16984783,155.81651085,150.61651605,151.04651562,1003909,456.51,0.0,467.45,451.85,453.14,1.0,334636
ISRG,2014-10-17 00:00:00+00:00,156.74650992,157.791842208,154.88984511,155.05317828,993393,470.24,0.0,473.376,464.67,465.16,1.0,331131
ISRG,2014-10-20 00:00:00+00:00,161.75317158,162.22983777,157.20650946,159.9665067,1381378,485.26,0.0,486.69,471.62,479.9,1.0,460459
ISRG,2014-10-21 00:00:00+00:00,165.25650141,166.21983378,158.333175,161.38317195,2338736,495.77,0.0,498.66,475.0,484.15,1.0,779578
ISRG,2014-10-22 00:00:00+00:00,160.60317273,167.2331661,158.988174345,167.2331661,2699933,481.81,0.0,501.7,476.965,501.7,1.0,899977
ISRG,2014-10-23 00:00:00+00:00,161.84317149,164.84650182,160.86317247,161.39650527,1345423,485.53,0.0,494.54,482.59,484.19,1.0,448474
ISRG,2014-10-24 00:00:00+00:00,159.33650733,162.59317074,159.09650757,161.77317156,1359436,478.01,0.0,487.78,477.29,485.32,1.0,453145
ISRG,2014-10-27 00:00:00+00:00,159.23650743,159.99317334,156.58317675,158.49650817,1163557,477.71,0.0,479.98,469.75,475.49,1.0,387852
ISRG,2014-10-28 00:00:00+00:00,163.89650277,164.04650262,159.52317381,159.92984007,971901,491.69,0.0,492.14,478.57,479.79,1.0,323967
ISRG,2014-10-29 00:00:00+00:00,162.47317086,163.33317,160.29317304,160.78317255,945975,487.42,0.0,490.0,480.88,482.35,1.0,315325
ISRG,2014-10-30 00:00:00+00:00,163.33317,164.69316864,160.74650592,161.84983815,785793,490.0,0.0,494.08,482.24,485.55,1.0,261931
ISRG,2014-10-31 00:00:00+00:00,165.2665014,166.83649983,164.1732024933,165.25650141,1127197,495.8,0.0,500.51,492.5201,495.77,1.0,375732
ISRG,2014-11-03 00:00:00+00:00,165.27983472,166.93983306,162.10317123,162.35317098,832047,495.84,0.0,500.82,486.31,487.06,1.0,277349
ISRG,2014-11-04 00:00:00+00:00,165.333168,166.25650041,163.51650315,165.27983472,696795,496.0,0.0,498.77,490.55,495.84,1.0,232265
ISRG,2014-11-05 00:00:00+00:00,168.45649821,168.74316459,164.67316866,165.94650072,1327297,505.37,0.0,506.23,494.02,497.84,1.0,442432
ISRG,2014-11-06 00:00:00+00:00,169.54983045,170.74316259,166.33983366,168.00316533,809184,508.65,0.0,512.23,499.02,504.01,1.0,269728
ISRG,2014-11-07 00:00:00+00:00,166.67316666,170.4664962,165.666501,170.12316321,757062,500.02,0.0,511.4,497.0,510.37,1.0,252354
ISRG,2014-11-10 00:00:00+00:00,169.66316367,169.81983018,166.37316696,166.37316696,803172,508.99,0.0,509.46,499.12,499.12,1.0,267724
ISRG,2014-11-11 00:00:00+00:00,171.44649522,171.62649504,167.666499,169.94649672,775848,514.34,0.0,514.88,503.0,509.84,1.0,258616
