symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
JBHT,2014-10-02 00:00:00+00:00,70.9860083614,71.1192617962,69.7409453748,69.9199808826,850236,74.58,0.0,74.72,73.2719,73.46,1.0,850236
JBHT,2014-10-03 00:00:00+00:00,72.0520358401,72.1757711725,71.252515231,71.5761307157,890829,75.7,0.0,75.83,74.86,75.2,1.0,890829
JBHT,2014-10-06 00:00:00+00:00,71.0907074887,72.4232418372,70.7861282091,72.0520358401,728439,74.69,0.0,76.09,74.37,75.7,1.0,728439
JBHT,2014-10-07 00:00:00+00:00,69.5630520393,70.7385376967,69.5392567831,70.7385376967,1051819,73.085,0.0,74.32,73.06,74.32,1.0,1051819
JBHT,2014-10-08 00:00:00+00:00,70.7290195942,70.9098635414,69.1775688885,69.5678110905,781505,74.31,0.0,74.5,72.68,73.09,1.0,781505
JBHT,2014-10-09 00:00:00+00:00,69.5297386806,70.5862480568,69.5011843731,70.5291394419,568949,73.05,0.0,74.16,73.02,74.1,1.0,568949
JBHT,2014-10-10 00:00:00+00:00,68.6064827392,69.5392567831,68.5208198168,69.3203404258,848901,72.08,0.0,73.06,71.99,72.83,1.0,848901
JBHT,2014-10-13 00:00:00+00:00,67.864070745,69.0252792487,67.5785276704,68.7492542765,1657895,71.3,0.0,72.52,71.0,72.23,1.0,1657895
JBHT,2014-10-14 00:00:00+00:00,69.9294989851,72.6802306044,69.2822680159,70.7861282091,3171084,73.47,0.0,76.36,72.79,74.37,1.0,3171084
JBHT,2014-10-15 00:00:00+00:00,70.1008248299,70.2435963672,68.2209995884,69.2822680159,1572892,73.65,0.0,73.8,71.675,72.79,1.0,1572892
JBHT,2014-10-16 00:00:00+00:00,71.1192617962,71.8616737903,68.9110620188,69.3774490408,2531642,74.72,0.0,75.5,72.4,72.89,1.0,2531642
JBHT,2014-10-17 00:00:00+00:00,71.3001057435,71.9091691217,70.7099833892,71.6142031256,919713,74.91,0.0,75.5499,74.29,75.24,1.0,919713
JBHT,2014-10-20 00:00:00+00:00,71.252515231,71.9663729177,71.0335988738,71.0335988738,818469,74.86,0.0,75.61,74.63,74.63,1.0,818469
