symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
JD,2014-10-02 00:00:00+00:00,25.69,26.18,24.99,25.02,4961265,25.69,0.0,26.18,24.99,25.02,1.0,4961265
JD,2014-10-03 00:00:00+00:00,25.98,26.38,25.8,25.98,2125186,25.98,0.0,26.38,25.8,25.98,1.0,2125186
JD,2014-10-06 00:00:00+00:00,25.96,26.794,25.85,26.34,2441918,25.96,0.0,26.794,25.85,26.34,1.0,2441918
JD,2014-10-07 00:00:00+00:00,25.35,26.04,25.28,25.8,4094350,25.35,0.0,26.04,25.28,25.8,1.0,4094350
JD,2014-10-08 00:00:00+00:00,26.4,26.43,25.01,25.34,4149259,26.4,0.0,26.43,25.01,25.34,1.0,4149259
JD,2014-10-09 00:00:00+00:00,25.66,26.4,25.56,26.3,4066746,25.66,0.0,26.4,25.56,26.3,1.0,4066746
JD,2014-10-10 00:00:00+00:00,25.01,25.41,24.1,25.21,5530703,25.01,0.0,25.41,24.1,25.21,1.0,5530703
JD,2014-10-13 00:00:00+00:00,24.06,25.2,23.83,25.0,7505681,24.06,0.0,25.2,23.83,25.0,1.0,7505681
JD,2014-10-14 00:00:00+00:00,23.9,24.4,22.6,24.17,7695425,23.9,0.0,24.4,22.6,24.17,1.0,7695425
JD,2014-10-15 00:00:00+00:00,24.3,24.33,22.89,23.25,4349495,24.3,0.0,24.33,22.89,23.25,1.0,4349495
JD,2014-10-16 00:00:00+00:00,25.02,25.05,23.33,23.65,3853070,25.02,0.0,25.05,23.33,23.65,1.0,3853070
JD,2014-10-17 00:00:00+00:00,25.07,26.27,24.38,25.64,4941445,25.07,0.0,26.27,24.38,25.64,1.0,4941445
JD,2014-10-20 00:00:00+00:00,25.41,25.77,24.61,25.4,3293239,25.41,0.0,25.77,24.61,25.4,1.0,3293239
JD,2014-10-21 00:00:00+00:00,25.4,25.7999,24.9,25.46,3216633,25.4,0.0,25.7999,24.9,25.46,1.0,3216633
JD,2014-10-22 00:00:00+00:00,25.44,26.0,25.08,25.5,2541437,25.44,0.0,26.0,25.08,25.5,1.0,2541437
JD,2014-10-23 00:00:00+00:00,24.66,25.98,24.6,25.73,3988081,24.66,0.0,25.98,24.6,25.73,1.0,3988081
JD,2014-10-24 00:00:00+00:00,24.02,24.74,23.3,24.65,8052091,24.02,0.0,24.74,23.3,24.65,1.0,8052091
JD,2014-10-27 00:00:00+00:00,24.13,24.55,23.7,23.75,3532956,24.13,0.0,24.55,23.7,23.75,1.0,3532956
JD,2014-10-28 00:00:00+00:00,24.78,24.8,24.16,24.31,2726063,24.78,0.0,24.8,24.16,24.31,1.0,2726063
JD,2014-10-29 00:00:00+00:00,24.1,24.88,24.09,24.7,2875561,24.1,0.0,24.88,24.09,24.7,1.0,2875561
JD,2014-10-30 00:00:00+00:00,23.88,24.35,23.51,24.2,4398510,23.88,0.0,24.35,23.51,24.2,1.0,4398510
JD,2014-10-31 00:00:00+00:00,23.89,24.5,23.732,24.29,5523626,23.89,0.0,24.5,23.732,24.29,1.0,5523626
JD,2014-11-03 00:00:00+00:00,24.77,25.4,23.57,23.6,5740714,24.77,0.0,25.4,23.57,23.6,1.0,5740714
JD,2014-11-04 00:00:00+00:00,24.91,25.06,24.3,24.76,4505110,24.91,0.0,25.06,24.3,24.76,1.0,4505110
JD,2014-11-05 00:00:00+00:00,23.91,25.36,23.88,25.36,4620662,23.91,0.0,25.36,23.88,25.36,1.0,4620662
JD,2014-11-06 00:00:00+00:00,24.53,24.6,23.61,23.95,3420228,24.53,0.0,24.6,23.61,23.95,1.0,3420228
JD,2014-11-07 00:00:00+00:00,24.74,24.96,24.4,24.48,2588636,24.74,0.0,24.96,24.4,24.48,1.0,2588636
JD,2014-11-10 00:00:00+00:00,26.25,27.07,25.2164,25.25,7731060,26.25,0.0,27.07,25.2164,25.25,1.0,7731060
JD,2014-11-11 00:00:00+00:00,25.81,26.45,25.4,26.35,3549304,25.81,0.0,26.45,25.4,26.35,1.0,3549304
JD,2014-11-12 00:00:00+00:00,27.65,28.255,25.853,26.0,9204652,27.65,0.0,28.255,25.853,26.0,1.0,9204652
