symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
KHC,2015-07-06 00:00:00+00:00,61.8804037511,63.0084319445,60.2180464135,60.2180464135,3809713,72.96,16.5,74.29,71.0,71.0,1.0,3809713
KHC,2015-07-07 00:00:00+00:00,63.2968000541,63.364651374,61.8804037511,62.5334727052,5794811,74.63,0.0,74.71,72.96,73.73,1.0,5794811
KHC,2015-07-08 00:00:00+00:00,63.9498690081,64.034683158,62.7963965698,63.0169133595,4277461,75.4,0.0,75.5,74.04,74.3,1.0,4277461
KHC,2015-07-09 00:00:00+00:00,63.4409841088,65.3628727451,63.1865416592,64.8573804118,4267057,74.8,0.0,77.066,74.5,76.47,1.0,4267057
KHC,2015-07-10 00:00:00+00:00,65.5698192708,65.9854086052,63.6106124086,63.6530194835,4982979,77.31,0.0,77.8,75.0,75.05,1.0,4982979
KHC,2015-07-13 00:00:00+00:00,66.8589943489,67.5968774529,66.0787041701,67.4272491531,9078901,78.83,0.0,79.7,77.91,79.5,1.0,9078901
KHC,2015-07-14 00:00:00+00:00,66.1550369049,67.4272491531,65.8581873804,67.3848420782,18746119,78.0,0.0,79.5,77.65,79.45,1.0,18746119
KHC,2015-07-15 00:00:00+00:00,65.0609343715,66.2992209597,64.7980105069,65.8581873804,6330496,76.71,0.0,78.17,76.4,77.65,1.0,6330496
KHC,2015-07-16 00:00:00+00:00,66.791143029,66.8674757639,65.2645731454,65.2814511612,5634050,78.75,0.0,78.84,76.9501,76.97,1.0,5634050
KHC,2015-07-17 00:00:00+00:00,67.537507548,67.5883960379,65.5274121958,67.3678792482,6100876,79.63,0.0,79.69,77.26,79.43,1.0,6100876
KHC,2015-07-20 00:00:00+00:00,67.9446154674,68.869089701,67.1134367986,67.8089128276,10284545,80.11,0.0,81.2,79.13,79.95,1.0,10284545
KHC,2015-07-21 00:00:00+00:00,68.0379110322,68.4280561217,67.3424350032,67.8258756575,6123210,80.22,0.0,80.68,79.4,79.97,1.0,6123210
KHC,2015-07-22 00:00:00+00:00,66.6978474642,68.6146472514,66.6469589742,68.5552773465,5201248,78.64,0.0,80.9,78.58,80.83,1.0,5201248
KHC,2015-07-23 00:00:00+00:00,65.5528564408,67.1160793661,65.467434423,66.9879463394,2975649,76.74,0.55,78.57,76.64,78.42,1.0,2975649
KHC,2015-07-24 00:00:00+00:00,65.2709637822,66.1422683635,64.8780225004,65.7066160728,3116008,76.41,0.0,77.43,75.95,76.92,1.0,3116008
KHC,2015-07-27 00:00:00+00:00,66.0995573546,66.6120894612,65.1684573608,65.4588922213,5774342,77.38,0.0,77.98,76.29,76.63,1.0,5774342
KHC,2015-07-28 00:00:00+00:00,66.9025243217,67.1844169803,66.2020637759,67.005030743,1895916,78.32,0.0,78.65,77.5,78.44,1.0,1895916
KHC,2015-07-29 00:00:00+00:00,66.5522940488,66.8853544961,65.774953687,66.851271111,2278559,77.91,0.0,78.2999,77.0,78.26,1.0,2278559
KHC,2015-07-30 00:00:00+00:00,67.6627802799,68.0728059652,66.2874857937,66.8085601021,3246987,79.21,0.0,79.69,77.6,78.21,1.0,3246987
KHC,2015-07-31 00:00:00+00:00,67.8848775261,68.2863610096,67.3680743185,68.2863610096,2685520,79.47,0.0,79.94,78.865,79.94,1.0,2685520
KHC,2015-08-03 00:00:00+00:00,68.6536756861,69.2174610034,68.2607344043,68.3376142203,2681801,80.37,0.0,81.03,79.91,80.0,1.0,2681801
KHC,2015-08-04 00:00:00+00:00,68.1753123865,69.191834398,68.0557215616,68.8245197216,2429632,79.81,0.0,81.0,79.67,80.57,1.0,2429632
KHC,2015-08-05 00:00:00+00:00,68.7476399056,69.191834398,68.2094811936,68.3461564221,2684886,80.48,0.0,81.0,79.85,80.01,1.0,2684886
KHC,2015-08-06 00:00:00+00:00,68.1326013776,69.3541362318,67.9190463332,69.2345454069,3708640,79.76,0.0,81.19,79.51,81.05,1.0,3708640
KHC,2015-08-07 00:00:00+00:00,67.0221151465,67.8079977101,66.0226775386,67.6029848674,3274134,78.46,0.0,79.38,77.29,79.14,1.0,3274134
KHC,2015-08-10 00:00:00+00:00,67.3210922088,68.1667701847,67.1160793661,67.850708719,3252284,78.81,0.0,79.8,78.57,79.43,1.0,3252284
KHC,2015-08-11 00:00:00+00:00,66.6035472594,68.7476399056,65.8347490995,66.313112399,3889072,77.97,0.0,80.48,77.07,77.63,1.0,3889072
KHC,2015-08-12 00:00:00+00:00,65.5101454319,66.8939821199,64.9976133253,66.4839564346,3688888,76.69,0.0,78.31,76.09,77.83,1.0,3688888
KHC,2015-08-13 00:00:00+00:00,64.9121913075,65.8347490995,64.7498894737,65.7834958888,2917485,75.99,0.0,77.07,75.8,77.01,1.0,2917485
KHC,2015-08-14 00:00:00+00:00,65.2795059839,65.5528564408,64.1664570923,64.9805289217,2573375,76.42,0.0,76.74,75.117,76.07,1.0,2573375
KHC,2015-08-17 00:00:00+00:00,64.7498894737,65.2709637822,64.5021656222,64.8011426844,2260346,75.8,0.0,76.41,75.51,75.86,1.0,2260346
KHC,2015-08-18 00:00:00+00:00,64.2288151653,64.8805851609,64.1177665422,64.6815518595,2009695,75.19,0.0,75.953,75.06,75.72,1.0,2009695
KHC,2015-08-19 00:00:00+00:00,63.8785848924,64.3142371831,63.1439555395,64.0665133315,3026467,74.78,0.0,75.29,73.92,75.0,1.0,3026467
KHC,2015-08-20 00:00:00+00:00,63.4258481982,63.8652590576,63.0243647147,63.2293775573,2206972,74.25,0.0,74.7644,73.78,74.02,1.0,2206972
KHC,2015-08-21 00:00:00+00:00,61.7344922463,63.4258481982,61.7259500445,62.6228812311,5564549,72.27,0.0,74.25,72.26,73.31,1.0,5564549
KHC,2015-08-24 00:00:00+00:00,60.5385839974,61.7088656409,52.4662033176,58.2919849299,9844588,70.87,0.0,72.24,61.42,68.24,1.0,9844588
KHC,2015-08-25 00:00:00+00:00,59.9747986801,61.8455408694,59.7954124428,61.1109115165,4423354,70.21,0.0,72.4,70.0,71.54,1.0,4423354
KHC,2015-08-26 00:00:00+00:00,63.1354133378,63.3062573733,59.3939289592,61.2646711485,5356315,73.91,0.0,74.11,69.53,71.72,1.0,5356315
KHC,2015-08-27 00:00:00+00:00,64.2202729635,64.280068376,62.4605793973,62.5032904062,5937763,75.18,0.0,75.25,73.12,73.17,1.0,5937763
KHC,2015-08-28 00:00:00+00:00,63.8017050764,64.2288151653,63.0585335218,63.5539812249,2150122,74.69,0.0,75.19,73.82,74.4,1.0,2150122
