symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
KLAC,2014-10-02 00:00:00+00:00,53.4763906655,53.6508081171,52.7263956235,53.2042994409,1403352,76.65,0.0,76.9,75.575,76.26,1.0,1403352
KLAC,2014-10-03 00:00:00+00:00,53.1973227429,53.4903440616,52.9740684048,53.211276139,1314735,76.25,0.0,76.67,75.93,76.27,1.0,1314735
KLAC,2014-10-06 00:00:00+00:00,53.0229052913,53.4903440616,52.7019771803,53.4554605713,1540819,76.0,0.0,76.67,75.54,76.62,1.0,1540819
KLAC,2014-10-07 00:00:00+00:00,52.6810470861,53.1275557622,52.5484898229,52.7368606706,2352317,75.51,0.0,76.15,75.32,75.59,1.0,2352317
KLAC,2014-10-08 00:00:00+00:00,52.9112781222,53.0508120835,52.4438393519,52.8484878396,3846272,75.84,0.0,76.04,75.17,75.75,1.0,3846272
KLAC,2014-10-09 00:00:00+00:00,51.3833812461,53.0229052913,51.3624511519,52.7229072745,2425585,73.65,0.0,76.0,73.62,75.57,1.0,2425585
KLAC,2014-10-10 00:00:00+00:00,47.490383726,50.301993046,47.2601526899,50.2322260654,6705696,68.07,0.0,72.1,67.74,72.0,1.0,6705696
KLAC,2014-10-13 00:00:00+00:00,45.7741160021,47.6438710834,45.767139304,47.385733255,3379220,65.61,0.0,68.29,65.6,67.92,1.0,3379220
KLAC,2014-10-14 00:00:00+00:00,46.3392285453,47.0927119363,45.7043490214,46.408995526,2430703,66.42,0.0,67.5,65.51,66.52,1.0,2430703
KLAC,2014-10-15 00:00:00+00:00,47.0648051441,47.3299196705,45.5229548718,45.550861664,2515863,67.46,0.0,67.84,65.25,65.29,1.0,2515863
KLAC,2014-10-16 00:00:00+00:00,47.602010895,48.1043331557,46.1717877918,46.2764382627,1684463,68.23,0.0,68.95,66.18,66.33,1.0,1684463
KLAC,2014-10-17 00:00:00+00:00,47.7485215544,48.571771926,47.6508477815,48.0903797596,1305413,68.44,0.0,69.62,68.3,68.93,1.0,1305413
KLAC,2014-10-20 00:00:00+00:00,48.5299117376,48.5508418318,47.3299196705,47.6299176873,951403,69.56,0.0,69.59,67.84,68.27,1.0,951403
KLAC,2014-10-21 00:00:00+00:00,49.7996707854,49.8136241815,46.3741120357,48.6485156047,1088177,71.38,0.0,71.4,66.47,69.73,1.0,1088177
KLAC,2014-10-22 00:00:00+00:00,49.0461873944,50.2252493673,49.004327206,50.085715406,1258136,70.3,0.0,71.99,70.24,71.79,1.0,1258136
KLAC,2014-10-23 00:00:00+00:00,49.5345562589,50.0229251235,48.892700037,49.3531621093,3933185,71.0,0.0,71.7,70.08,70.74,1.0,3933185
KLAC,2014-10-24 00:00:00+00:00,52.9531383106,54.8577768823,51.1322201157,53.1415091584,8183859,75.9,0.0,78.63,73.29,76.17,1.0,8183859
KLAC,2014-10-27 00:00:00+00:00,52.3670956732,53.2182528371,51.8368666203,52.9740684048,2689534,75.06,0.0,76.28,74.3,75.93,1.0,2689534
KLAC,2014-10-28 00:00:00+00:00,53.0926722719,53.09964897,52.3043053906,52.4996529364,2180495,76.1,0.0,76.11,74.97,75.25,1.0,2180495
KLAC,2014-10-29 00:00:00+00:00,53.2322062332,53.5042974577,52.3391888809,52.3391888809,2082935,76.3,0.0,76.69,75.02,75.02,1.0,2082935
KLAC,2014-10-30 00:00:00+00:00,53.2740664216,53.3089499119,52.4298859558,53.0089518951,1823992,76.36,0.0,76.41,75.15,75.98,1.0,1823992
KLAC,2014-10-31 00:00:00+00:00,55.2205651816,55.7298641403,54.4112682061,54.6763827326,1918112,79.15,0.0,79.88,77.99,78.37,1.0,1918112
KLAC,2014-11-03 00:00:00+00:00,55.7787010268,56.1763728165,55.1263797577,55.1438215029,1896302,79.95,0.0,80.52,79.015,79.04,1.0,1896302
KLAC,2014-11-04 00:00:00+00:00,55.8345146113,56.3054417307,55.1996350874,55.5554466887,2122285,80.03,0.0,80.705,79.12,79.63,1.0,2122285
KLAC,2014-11-05 00:00:00+00:00,56.7066018694,56.9647396978,55.4926564061,56.0368388552,1212551,81.28,0.0,81.65,79.54,80.32,1.0,1212551
KLAC,2014-11-06 00:00:00+00:00,56.3926504565,57.2298542242,56.232186401,56.8321824345,1399868,80.83,0.0,82.03,80.6,81.46,1.0,1399868
KLAC,2014-11-07 00:00:00+00:00,55.8135845171,56.6228814926,55.2973088603,56.6159047945,1507256,80.0,0.0,81.16,79.26,81.15,1.0,1507256
KLAC,2014-11-10 00:00:00+00:00,56.1693961184,56.4066038526,55.7717243287,55.8973048939,1019360,80.51,0.0,80.85,79.94,80.12,1.0,1019360
KLAC,2014-11-11 00:00:00+00:00,55.9461417803,56.4066038526,55.8135845171,56.2531164952,799536,80.19,0.0,80.85,80.0,80.63,1.0,799536
KLAC,2014-11-12 00:00:00+00:00,55.6252136694,56.0089320629,55.3252156526,55.8973048939,945842,79.73,0.0,80.28,79.3,80.12,1.0,945842
KLAC,2014-11-13 00:00:00+00:00,55.7717243287,56.3544349429,55.6242915227,55.8629922562,1022293,79.44,0.5,80.27,79.23,79.57,1.0,1022293
KLAC,2014-11-14 00:00:00+00:00,56.3965586018,56.5299501882,55.4487762775,55.8629922562,945253,80.33,0.0,80.52,78.98,79.57,1.0,945253
KLAC,2014-11-17 00:00:00+00:00,55.4768587167,56.0174456721,55.2100755439,55.7436418895,1288099,79.02,0.0,79.79,78.64,79.4,1.0,1288099
KLAC,2014-11-18 00:00:00+00:00,56.6633417746,56.8037539708,55.4557968873,55.4557968873,1309126,80.71,0.0,80.91,78.99,78.99,1.0,1309126
KLAC,2014-11-19 00:00:00+00:00,56.8739600689,57.0213928749,56.3263525037,56.6212181157,1911485,81.01,0.0,81.22,80.23,80.65,1.0,1911485
KLAC,2014-11-20 00:00:00+00:00,56.6528108598,57.1196814122,56.3403937233,56.7826921413,2562186,80.695,0.0,81.36,80.25,80.88,1.0,2562186
KLAC,2014-11-21 00:00:00+00:00,57.2285008642,57.4145470242,56.5475017127,57.4145470242,2434959,81.515,0.0,81.78,80.545,81.78,1.0,2434959
KLAC,2014-11-24 00:00:00+00:00,58.7695247175,58.9169575235,57.4285882438,57.6392065381,2461351,83.71,0.0,83.92,81.8,82.1,1.0,2461351
KLAC,2014-11-25 00:00:00+00:00,59.0994933785,59.120555208,58.453597276,58.9661017922,2533080,84.18,0.0,84.21,83.26,83.99,1.0,2533080
KLAC,2014-11-26 00:00:00+00:00,58.8572823401,59.3424058524,58.3371949711,59.0277311417,2726216,67.335,16.5,67.89,66.74,67.53,1.0,2726216
KLAC,2014-11-28 00:00:00+00:00,60.6972553011,60.8545926564,59.0015082492,59.1588456045,1944093,69.44,0.0,69.62,67.5,67.68,1.0,1944093
KLAC,2014-12-01 00:00:00+00:00,60.1902793783,60.9857071192,59.6221167063,60.3738396262,2106993,68.86,0.0,69.77,68.21,69.07,1.0,2106993
KLAC,2014-12-02 00:00:00+00:00,60.17279745,60.4000625188,59.5958938137,60.2602070918,1924985,68.84,0.0,69.1,68.18,68.94,1.0,1924985
KLAC,2014-12-03 00:00:00+00:00,62.0783276423,62.2443185522,60.0591649156,60.2864299844,2272443,71.02,0.0,71.2099,68.71,68.97,1.0,2272443
KLAC,2014-12-04 00:00:00+00:00,61.4752011135,62.6814541711,61.1605264029,62.1832192125,1853470,70.33,0.0,71.71,69.97,71.14,1.0,1853470
KLAC,2014-12-05 00:00:00+00:00,61.7636529316,62.1395143916,61.4752011135,61.4752011135,1413835,70.66,0.0,71.09,70.33,70.33,1.0,1413835
KLAC,2014-12-08 00:00:00+00:00,60.8021468713,61.8510625735,60.5311769815,61.5363878628,1569088,69.56,0.0,70.76,69.25,70.4,1.0,1569088
KLAC,2014-12-09 00:00:00+00:00,61.0818577252,61.309122794,60.0941287723,60.5486589099,1243918,69.88,0.0,70.14,68.75,69.27,1.0,1243918
KLAC,2014-12-10 00:00:00+00:00,60.4262854113,61.5101649703,60.3476167337,61.0294119401,1899108,69.13,0.0,70.37,69.04,69.82,1.0,1899108
KLAC,2014-12-11 00:00:00+00:00,60.4437673397,61.4839420777,60.3301348053,60.740960122,1361465,69.15,0.0,70.34,69.02,69.49,1.0,1361465
KLAC,2014-12-12 00:00:00+00:00,59.9892372021,61.0206709759,59.8756046677,60.0941287723,1865855,68.63,0.0,69.81,68.5,68.75,1.0,1865855
KLAC,2014-12-15 00:00:00+00:00,58.8791347506,60.7671830145,58.8179480013,59.9280504528,2173788,67.36,0.0,69.52,67.29,68.56,1.0,2173788
KLAC,2014-12-16 00:00:00+00:00,58.3197130427,59.6133757421,58.284749186,58.9752853566,1664797,66.72,0.0,68.2,66.68,67.47,1.0,1664797
