symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
LBTYA,2014-10-02 00:00:00+00:00,40.2106703911,40.5222346369,39.738603352,40.0312849162,2719248,42.59,0.0,42.92,42.09,42.4,1.0,2719248
LBTYA,2014-10-03 00:00:00+00:00,40.2673184358,40.8715642458,40.1351396648,40.4939106145,1772585,42.65,0.0,43.29,42.51,42.89,1.0,1772585
LBTYA,2014-10-06 00:00:00+00:00,40.4278212291,40.8243575419,40.125698324,40.125698324,1276561,42.82,0.0,43.24,42.5,42.5,1.0,1276561
LBTYA,2014-10-07 00:00:00+00:00,40.0596089385,40.5741620112,39.9651955307,40.2295530726,1768240,42.43,0.0,42.975,42.33,42.61,1.0,1768240
LBTYA,2014-10-08 00:00:00+00:00,40.8054748603,40.9093296089,39.7810893855,40.0879329609,3679648,43.22,0.0,43.33,42.135,42.46,1.0,3679648
LBTYA,2014-10-09 00:00:00+00:00,40.1729050279,40.862122905,39.9935195531,40.8149162011,2371506,42.55,0.0,43.28,42.36,43.23,1.0,2371506
LBTYA,2014-10-10 00:00:00+00:00,39.5592178771,40.5977653631,39.5403351955,40.0784916201,4678602,41.9,0.0,43.0,41.88,42.45,1.0,4678602
LBTYA,2014-10-13 00:00:00+00:00,39.0777094972,40.0124022346,39.0210614525,39.4364804469,3275600,41.39,0.0,42.38,41.33,41.77,1.0,3275600
LBTYA,2014-10-14 00:00:00+00:00,39.1815642458,39.9274301676,38.9927374302,39.2004469274,2825085,41.5,0.0,42.29,41.3,41.52,1.0,2825085
LBTYA,2014-10-15 00:00:00+00:00,38.9832960894,39.2004469274,37.7181564246,38.5395530726,5841695,41.29,0.0,41.52,39.95,40.82,1.0,5841695
LBTYA,2014-10-16 00:00:00+00:00,39.4175977654,39.691396648,37.8692178771,38.1241340782,3150180,41.75,0.0,42.04,40.11,40.38,1.0,3150180
LBTYA,2014-10-17 00:00:00+00:00,39.7952513966,40.1823463687,39.4836871508,39.5781005587,2629984,42.15,0.0,42.56,41.82,41.92,1.0,2629984
LBTYA,2014-10-20 00:00:00+00:00,40.342849162,40.4278212291,39.6725139665,39.8518994413,1300554,42.73,0.0,42.82,42.02,42.21,1.0,1300554
LBTYA,2014-10-21 00:00:00+00:00,41.1453631285,41.3389106145,40.3145251397,40.5127932961,2249069,43.58,0.0,43.785,42.7,42.91,1.0,2249069
LBTYA,2014-10-22 00:00:00+00:00,40.3806145251,41.3153072626,40.3522905028,41.079273743,3010460,42.77,0.0,43.76,42.74,43.51,1.0,3010460
LBTYA,2014-10-23 00:00:00+00:00,41.4380446927,41.6363128492,40.7299441341,40.862122905,3256254,43.89,0.0,44.1,43.14,43.28,1.0,3256254
