symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
LBTYK,2014-10-02 00:00:00+00:00,38.362905467,38.749515612,37.8318987619,38.1952191391,5205900,41.18,0.0,41.595,40.61,41.0,1.0,5205900
LBTYK,2014-10-03 00:00:00+00:00,38.5212758878,39.0057030574,38.3070100244,38.4746963523,2674900,41.35,0.0,41.87,41.12,41.3,1.0,2674900
LBTYK,2014-10-06 00:00:00+00:00,38.5958031447,39.0615985001,38.3722213741,38.6796463087,2423100,41.43,0.0,41.93,41.19,41.52,1.0,2423100
LBTYK,2014-10-07 00:00:00+00:00,38.3815372812,38.791437194,38.1952191391,38.5399077021,2754700,41.2,0.0,41.64,41.0,41.37,1.0,2754700
LBTYK,2014-10-08 00:00:00+00:00,39.0802303143,39.1081780356,38.2138509533,38.3908531883,3851000,41.95,0.0,41.98,41.02,41.21,1.0,3851000
LBTYK,2014-10-09 00:00:00+00:00,38.5678554234,39.1640734782,38.4281168168,38.884596265,4286700,41.4,0.0,42.04,41.25,41.74,1.0,4286700
LBTYK,2014-10-10 00:00:00+00:00,38.4374327239,39.2199689209,38.3349577457,38.5678554234,5079100,41.26,0.0,42.1,41.15,41.4,1.0,5079100
LBTYK,2014-10-13 00:00:00+00:00,37.9343737401,38.70759403,37.8598464832,38.3908531883,5155800,40.72,0.0,41.55,40.64,41.21,1.0,5155800
LBTYK,2014-10-14 00:00:00+00:00,37.8971101117,38.4653804452,37.6921601553,37.9716373685,4095500,40.68,0.0,41.29,40.46,40.76,1.0,4095500
LBTYK,2014-10-15 00:00:00+00:00,37.5896851771,37.7964983149,36.620830838,37.4778942919,8435700,40.35,0.0,40.572,39.31,40.23,1.0,8435700
LBTYK,2014-10-16 00:00:00+00:00,38.1113759751,38.4560645381,36.7792012588,37.2170488929,3564500,40.91,0.0,41.28,39.48,39.95,1.0,3564500
LBTYK,2014-10-17 00:00:00+00:00,38.4560645381,38.7728053797,38.1579555107,38.5119599807,2334100,41.28,0.0,41.62,40.96,41.34,1.0,2334100
LBTYK,2014-10-20 00:00:00+00:00,38.8566485437,38.9591235219,38.2790623031,38.3722213741,1142900,41.71,0.0,41.82,41.09,41.19,1.0,1142900
LBTYK,2014-10-21 00:00:00+00:00,39.6019211123,39.7789233473,38.791437194,39.2479166422,2618800,42.51,0.0,42.7,41.64,42.13,1.0,2618800
LBTYK,2014-10-22 00:00:00+00:00,39.0243348716,39.7696074402,38.8752803579,39.6298688336,3305800,41.89,0.0,42.69,41.73,42.54,1.0,3305800
LBTYK,2014-10-23 00:00:00+00:00,39.7323438118,39.9652414894,39.1733893853,39.2758643635,2497400,42.65,0.0,42.9,42.05,42.16,1.0,2497400
LBTYK,2014-10-24 00:00:00+00:00,40.533511823,40.8752192957,39.4435506915,39.8255028828,2233400,43.51,0.0,43.8768,42.34,42.75,1.0,2233400
LBTYK,2014-10-27 00:00:00+00:00,40.449668659,40.7664095007,40.011821025,40.6825663367,1313700,43.42,0.0,43.76,42.95,43.67,1.0,1313700
LBTYK,2014-10-28 00:00:00+00:00,41.2228889489,41.3905752768,40.6266708941,40.6639345225,2930200,44.25,0.0,44.43,43.61,43.65,1.0,2930200
LBTYK,2014-10-29 00:00:00+00:00,41.0924662494,41.5023661621,40.7175009883,41.1949412276,3342100,44.11,0.0,44.55,43.7075,44.22,1.0,3342100
LBTYK,2014-10-30 00:00:00+00:00,41.2601525773,41.4464707195,40.6173549869,40.8316208504,2723900,44.29,0.0,44.49,43.6,43.83,1.0,2723900
LBTYK,2014-10-31 00:00:00+00:00,41.4278389053,41.8563706322,40.971359457,41.6793683972,3171500,44.47,0.0,44.93,43.98,44.74,1.0,3171500
LBTYK,2014-11-03 00:00:00+00:00,41.5023661621,41.9681615175,41.232204856,41.6793683972,3709900,44.55,0.0,45.05,44.26,44.74,1.0,3709900
LBTYK,2014-11-04 00:00:00+00:00,40.8782003859,41.409207091,40.4030891235,41.409207091,2405300,43.88,0.0,44.45,43.37,44.45,1.0,2405300
LBTYK,2014-11-05 00:00:00+00:00,41.0272548997,41.2601525773,40.5614595443,41.1669935063,2980600,44.04,0.0,44.29,43.54,44.19,1.0,2980600
