symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
LRCX,2014-10-02 00:00:00+00:00,66.57181088,66.9585885888,65.199670913,66.709945776,2472713,72.29,0.0,72.71,70.8,72.44,1.0,2472713
LRCX,2014-10-03 00:00:00+00:00,66.986215568,67.5755911243,66.5994378592,66.8849166443,1425662,72.74,0.0,73.38,72.32,72.63,1.0,1425662
LRCX,2014-10-06 00:00:00+00:00,68.920104112,69.7212865088,67.6492630688,67.7137260203,3457307,74.84,0.0,75.71,73.46,73.53,1.0,3457307
LRCX,2014-10-07 00:00:00+00:00,67.3729932768,68.8832681398,67.3729932768,68.4136094933,1789587,73.16,0.0,74.8,73.16,74.29,1.0,1789587
LRCX,2014-10-08 00:00:00+00:00,68.5241174101,68.5977893547,66.7007367829,67.5111281728,1591489,74.41,0.0,74.49,72.43,73.31,1.0,1591489
LRCX,2014-10-09 00:00:00+00:00,66.8204536928,68.4688634517,66.5165569216,68.1833846667,1913535,72.56,0.0,74.35,72.23,74.04,1.0,1913535
LRCX,2014-10-10 00:00:00+00:00,60.6964733034,66.1297792128,60.5767563935,66.1297792128,8072592,65.91,0.0,71.81,65.78,71.81,1.0,8072592
LRCX,2014-10-13 00:00:00+00:00,60.8161902132,63.1736924383,60.6780553172,62.3633010485,3670416,66.04,0.0,68.6,65.89,67.72,1.0,3670416
LRCX,2014-10-14 00:00:00+00:00,62.3725100415,62.6948247989,61.1845499359,61.1845499359,2293681,67.73,0.0,68.08,66.44,66.44,1.0,2293681
LRCX,2014-10-15 00:00:00+00:00,64.4076975093,64.5941796189,61.2490128874,61.3042668458,3863437,69.94,0.0,70.1425,66.51,66.57,1.0,3863437
LRCX,2014-10-16 00:00:00+00:00,64.1774726826,64.5458324053,62.9991820197,63.2473643829,2240978,69.69,0.0,70.09,68.4105,68.68,1.0,2240978
LRCX,2014-10-17 00:00:00+00:00,63.7170230293,65.5311946634,63.5052161887,64.8865651488,1817492,69.19,0.0,71.16,68.96,70.46,1.0,1817492
LRCX,2014-10-20 00:00:00+00:00,65.6785385525,65.6877475456,63.1644834453,63.8551579253,1838781,71.32,0.0,71.33,68.59,69.34,1.0,1838781
LRCX,2014-10-21 00:00:00+00:00,67.4098292491,67.8886968885,64.7668482389,65.9455993514,3313468,73.2,0.0,73.72,70.33,71.61,1.0,3313468
LRCX,2014-10-22 00:00:00+00:00,66.1850331712,67.8784749062,66.0008533098,67.5111281728,2846397,71.87,0.0,73.7089,71.67,73.31,1.0,2846397
LRCX,2014-10-23 00:00:00+00:00,69.6568235574,70.3843340096,66.6546918176,66.6546918176,3969539,75.64,0.0,76.43,72.38,72.38,1.0,3969539
LRCX,2014-10-24 00:00:00+00:00,69.5831516128,70.6053498432,69.3068818208,70.3659160235,1897181,75.56,0.0,76.67,75.26,76.41,1.0,1897181
LRCX,2014-10-27 00:00:00+00:00,69.1227019595,69.9423023424,68.8049916987,69.5094796683,1550094,75.06,0.0,75.95,74.715,75.48,1.0,1550094
LRCX,2014-10-28 00:00:00+00:00,69.7304955019,69.7765404672,69.1797977165,69.5831516128,1624275,75.72,0.0,75.77,75.122,75.56,1.0,1624275
LRCX,2014-10-29 00:00:00+00:00,69.8041674464,69.9423023424,69.3529267862,69.6199875851,1805814,75.8,0.0,75.95,75.31,75.6,1.0,1805814
LRCX,2014-10-30 00:00:00+00:00,70.0343922731,70.2277811275,68.9385220982,69.6936595296,1811409,76.05,0.0,76.26,74.86,75.68,1.0,1811409
LRCX,2014-10-31 00:00:00+00:00,71.7012200182,72.1708786646,71.0013365451,71.1302624481,2167598,77.86,0.0,78.37,77.1,77.24,1.0,2167598
LRCX,2014-11-03 00:00:00+00:00,72.8799711308,73.4140927286,71.5078311638,71.5907121014,1454334,79.14,0.0,79.72,77.65,77.74,1.0,1454334
