symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
LULU,2014-10-02 00:00:00+00:00,42.36,42.66,40.0703,41.43,4869111,42.36,0.0,42.66,40.0703,41.43,1.0,4869111
LULU,2014-10-03 00:00:00+00:00,42.07,43.0,41.87,42.58,1857854,42.07,0.0,43.0,41.87,42.58,1.0,1857854
LULU,2014-10-06 00:00:00+00:00,41.33,42.39,41.065,42.39,1374814,41.33,0.0,42.39,41.065,42.39,1.0,1374814
LULU,2014-10-07 00:00:00+00:00,41.0,41.24,40.65,40.91,1435459,41.0,0.0,41.24,40.65,40.91,1.0,1435459
LULU,2014-10-08 00:00:00+00:00,42.23,42.32,40.91,41.17,1942459,42.23,0.0,42.32,40.91,41.17,1.0,1942459
LULU,2014-10-09 00:00:00+00:00,41.07,42.0,40.93,41.96,1830285,41.07,0.0,42.0,40.93,41.96,1.0,1830285
LULU,2014-10-10 00:00:00+00:00,40.35,41.33,40.05,41.08,1504939,40.35,0.0,41.33,40.05,41.08,1.0,1504939
LULU,2014-10-13 00:00:00+00:00,39.08,40.66,39.01,40.37,2510883,39.08,0.0,40.66,39.01,40.37,1.0,2510883
LULU,2014-10-14 00:00:00+00:00,39.44,40.2,39.15,39.22,3898546,39.44,0.0,40.2,39.15,39.22,1.0,3898546
LULU,2014-10-15 00:00:00+00:00,39.6,39.85,37.86,38.99,2233688,39.6,0.0,39.85,37.86,38.99,1.0,2233688
LULU,2014-10-16 00:00:00+00:00,40.0,40.07,38.26,38.67,2593026,40.0,0.0,40.07,38.26,38.67,1.0,2593026
LULU,2014-10-17 00:00:00+00:00,38.84,40.365,38.67,40.27,1653440,38.84,0.0,40.365,38.67,40.27,1.0,1653440
LULU,2014-10-20 00:00:00+00:00,40.49,40.605,38.75,38.87,2779079,40.49,0.0,40.605,38.75,38.87,1.0,2779079
LULU,2014-10-21 00:00:00+00:00,41.2,41.28,40.62,40.74,1232338,41.2,0.0,41.28,40.62,40.74,1.0,1232338
LULU,2014-10-22 00:00:00+00:00,40.85,42.09,40.85,41.2,1452645,40.85,0.0,42.09,40.85,41.2,1.0,1452645
LULU,2014-10-23 00:00:00+00:00,41.41,42.37,40.94,41.51,1483916,41.41,0.0,42.37,40.94,41.51,1.0,1483916
LULU,2014-10-24 00:00:00+00:00,41.4,41.73,40.8,41.39,849912,41.4,0.0,41.73,40.8,41.39,1.0,849912
LULU,2014-10-27 00:00:00+00:00,41.51,41.84,40.37,41.12,1190545,41.51,0.0,41.84,40.37,41.12,1.0,1190545
LULU,2014-10-28 00:00:00+00:00,41.73,41.77,40.75,41.5,1206956,41.73,0.0,41.77,40.75,41.5,1.0,1206956
LULU,2014-10-29 00:00:00+00:00,41.18,41.68,40.7501,41.5,1238762,41.18,0.0,41.68,40.7501,41.5,1.0,1238762
LULU,2014-10-30 00:00:00+00:00,41.68,42.06,40.48,40.56,1059693,41.68,0.0,42.06,40.48,40.56,1.0,1059693
LULU,2014-10-31 00:00:00+00:00,41.65,42.2448,41.43,42.13,1082201,41.65,0.0,42.2448,41.43,42.13,1.0,1082201
LULU,2014-11-03 00:00:00+00:00,41.93,42.18,41.52,41.77,1143390,41.93,0.0,42.18,41.52,41.77,1.0,1143390
LULU,2014-11-04 00:00:00+00:00,41.52,41.77,40.87,41.77,1270236,41.52,0.0,41.77,40.87,41.77,1.0,1270236
LULU,2014-11-05 00:00:00+00:00,41.29,41.71,41.13,41.58,905010,41.29,0.0,41.71,41.13,41.58,1.0,905010
LULU,2014-11-06 00:00:00+00:00,42.78,42.99,41.21,41.21,1872908,42.78,0.0,42.99,41.21,41.21,1.0,1872908
LULU,2014-11-07 00:00:00+00:00,43.76,43.89,42.3609,42.45,1800454,43.76,0.0,43.89,42.3609,42.45,1.0,1800454
LULU,2014-11-10 00:00:00+00:00,43.3,44.55,42.81,43.69,1552697,43.3,0.0,44.55,42.81,43.69,1.0,1552697
LULU,2014-11-11 00:00:00+00:00,43.18,43.35,42.66,43.18,1411413,43.18,0.0,43.35,42.66,43.18,1.0,1411413
LULU,2014-11-12 00:00:00+00:00,45.66,45.95,43.15,43.18,3809456,45.66,0.0,45.95,43.15,43.18,1.0,3809456
LULU,2014-11-13 00:00:00+00:00,45.19,46.25,44.87,45.77,3556849,45.19,0.0,46.25,44.87,45.77,1.0,3556849
LULU,2014-11-14 00:00:00+00:00,44.99,45.34,44.15,44.27,1980100,44.99,0.0,45.34,44.15,44.27,1.0,1980100
LULU,2014-11-17 00:00:00+00:00,44.42,45.08,44.24,44.98,1501628,44.42,0.0,45.08,44.24,44.98,1.0,1501628
LULU,2014-11-18 00:00:00+00:00,44.8,45.97,44.73,45.3,3127355,44.8,0.0,45.97,44.73,45.3,1.0,3127355
LULU,2014-11-19 00:00:00+00:00,45.6,45.69,44.62,44.97,1549602,45.6,0.0,45.69,44.62,44.97,1.0,1549602
LULU,2014-11-20 00:00:00+00:00,45.88,47.18,45.3,45.6,2910664,45.88,0.0,47.18,45.3,45.6,1.0,2910664
LULU,2014-11-21 00:00:00+00:00,46.91,47.15,45.94,46.6,2402412,46.91,0.0,47.15,45.94,46.6,1.0,2402412
LULU,2014-11-24 00:00:00+00:00,46.93,47.32,46.3,46.9,3844976,46.93,0.0,47.32,46.3,46.9,1.0,3844976
LULU,2014-11-25 00:00:00+00:00,48.67,49.34,47.1501,47.39,5254318,48.67,0.0,49.34,47.1501,47.39,1.0,5254318
LULU,2014-11-26 00:00:00+00:00,48.34,49.2,47.86,49.08,1749781,48.34,0.0,49.2,47.86,49.08,1.0,1749781
LULU,2014-11-28 00:00:00+00:00,48.19,48.93,48.12,48.63,968262,48.19,0.0,48.93,48.12,48.63,1.0,968262
LULU,2014-12-01 00:00:00+00:00,47.04,48.23,46.82,48.19,2826009,47.04,0.0,48.23,46.82,48.19,1.0,2826009
LULU,2014-12-02 00:00:00+00:00,46.06,47.0,45.81,46.49,2137458,46.06,0.0,47.0,45.81,46.49,1.0,2137458
LULU,2014-12-03 00:00:00+00:00,45.71,46.5899,45.39,46.06,2407548,45.71,0.0,46.5899,45.39,46.06,1.0,2407548
LULU,2014-12-04 00:00:00+00:00,45.92,47.18,45.6,45.9,3486662,45.92,0.0,47.18,45.6,45.9,1.0,3486662
LULU,2014-12-05 00:00:00+00:00,45.51,46.1128,44.97,45.94,3049215,45.51,0.0,46.1128,44.97,45.94,1.0,3049215
LULU,2014-12-08 00:00:00+00:00,44.93,45.7,44.36,45.53,3617325,44.93,0.0,45.7,44.36,45.53,1.0,3617325
LULU,2014-12-09 00:00:00+00:00,47.73,47.88,45.71,45.72,5860980,47.73,0.0,47.88,45.71,45.72,1.0,5860980
LULU,2014-12-10 00:00:00+00:00,46.7,48.72,46.49,48.09,7331631,46.7,0.0,48.72,46.49,48.09,1.0,7331631
LULU,2014-12-11 00:00:00+00:00,50.955,52.17,49.65,49.89,15890614,50.955,0.0,52.17,49.65,49.89,1.0,15890614
LULU,2014-12-12 00:00:00+00:00,52.95,53.88,50.93,51.09,9110891,52.95,0.0,53.88,50.93,51.09,1.0,9110891
LULU,2014-12-15 00:00:00+00:00,53.87,54.41,52.651,52.91,4583091,53.87,0.0,54.41,52.651,52.91,1.0,4583091
