symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MAR,2014-10-02 00:00:00+00:00,62.475234342,63.7471852208,61.2406937831,63.578838781,4099811,66.8,0.0,68.16,65.48,67.98,1.0,4099811
MAR,2014-10-03 00:00:00+00:00,63.6910697409,63.8500636007,62.6996962618,62.8119272217,3763646,68.1,0.0,68.27,67.04,67.16,1.0,3763646
MAR,2014-10-06 00:00:00+00:00,62.9662447915,63.958366477,62.7464591617,63.6817171609,2673392,67.325,0.0,68.3858,67.09,68.09,1.0,2673392
MAR,2014-10-07 00:00:00+00:00,61.7270279427,63.0457417215,61.7083227827,62.3442982221,3238167,66.0,0.0,67.41,65.98,66.66,1.0,3238167
MAR,2014-10-08 00:00:00+00:00,61.8860218025,62.0450156624,61.1097576633,61.6054444028,5241594,66.17,0.0,66.34,65.34,65.87,1.0,5241594
MAR,2014-10-09 00:00:00+00:00,60.3989615839,61.9047269625,60.352198684,61.343572163,3565637,64.58,0.0,66.19,64.53,65.59,1.0,3565637
MAR,2014-10-10 00:00:00+00:00,59.4356458448,60.5486028638,59.0334849052,60.2306151441,4100541,63.55,0.0,64.74,63.12,64.4,1.0,4100541
MAR,2014-10-13 00:00:00+00:00,57.7147711264,59.5385242247,57.6399504865,59.4356458448,6500783,61.71,0.0,63.66,61.63,63.55,1.0,6500783
MAR,2014-10-14 00:00:00+00:00,58.5003878457,59.7442809845,58.0421114261,58.0888743261,5234692,62.55,0.0,63.88,62.06,62.11,1.0,5234692
MAR,2014-10-15 00:00:00+00:00,58.173047546,59.7629861445,55.7507293282,57.9111753062,6844694,62.2,0.0,63.9,59.61,61.92,1.0,6844694
MAR,2014-10-16 00:00:00+00:00,58.7248497655,59.4347105868,56.7327502273,56.7888657073,2919156,62.79,0.0,63.549,60.66,60.72,1.0,2919156
MAR,2014-10-17 00:00:00+00:00,60.8011225235,61.1097576633,59.1364568109,59.5104664847,3110287,65.01,0.0,65.34,63.2301,63.63,1.0,3110287
MAR,2014-10-20 00:00:00+00:00,62.6809911018,63.2514984813,60.6982441436,60.7356544636,3737018,67.02,0.0,67.63,64.9,64.94,1.0,3737018
MAR,2014-10-21 00:00:00+00:00,63.9903523006,64.2522245403,62.9428633415,63.2047355813,2820828,68.42,0.0,68.7,67.3,67.58,1.0,2820828
MAR,2014-10-22 00:00:00+00:00,63.9903523006,65.1220144795,63.8033007008,64.9162577197,2353763,68.42,0.0,69.63,68.22,69.41,1.0,2353763
MAR,2014-10-23 00:00:00+00:00,63.9997048806,65.4680599392,63.9155316606,64.5328019401,3434765,68.43,0.0,70.0,68.34,69.0,1.0,3434765
MAR,2014-10-24 00:00:00+00:00,64.8040267598,64.8601422398,63.6349542609,63.9716471406,2363935,69.29,0.0,69.35,68.04,68.4,1.0,2363935
MAR,2014-10-27 00:00:00+00:00,65.711227019,65.8421631389,64.5421545201,64.8133793398,2317505,70.26,0.0,70.4,69.01,69.3,1.0,2317505
MAR,2014-10-28 00:00:00+00:00,67.2918130375,67.5349801173,64.7479112799,65.3277712393,4551086,71.95,0.0,72.21,69.23,69.85,1.0,4551086
MAR,2014-10-29 00:00:00+00:00,69.2371496757,70.3220489547,67.4227491574,69.2090919357,4337285,74.03,0.0,75.19,72.09,74.0,1.0,4337285
MAR,2014-10-30 00:00:00+00:00,71.079607934,71.3695379137,68.7414629362,68.7508155162,3342879,76.0,0.0,76.31,73.5,73.51,1.0,3342879
MAR,2014-10-31 00:00:00+00:00,70.8457934342,72.9407713523,70.3407541147,72.9407713523,3577333,75.75,0.0,77.99,75.21,77.99,1.0,3577333
MAR,2014-11-03 00:00:00+00:00,70.8925563342,71.2198966339,70.0975870349,70.9954347141,2427487,75.8,0.0,76.15,74.95,75.91,1.0,2427487
MAR,2014-11-04 00:00:00+00:00,69.7421889952,70.6961521543,69.5083744955,70.5184531345,3395824,74.57,0.0,75.59,74.32,75.4,1.0,3395824
MAR,2014-11-05 00:00:00+00:00,70.0508241349,70.3314015347,69.1529764558,70.3220489547,3106715,74.9,0.0,75.2,73.94,75.19,1.0,3106715
MAR,2014-11-06 00:00:00+00:00,70.3781644346,70.4623376546,69.6206054553,70.2098179948,2331726,75.25,0.0,75.34,74.44,75.07,1.0,2331726
MAR,2014-11-07 00:00:00+00:00,70.6119789344,70.6587418344,70.1069396149,70.4529850746,1803203,75.5,0.0,75.55,74.96,75.33,1.0,1803203
MAR,2014-11-10 00:00:00+00:00,71.6033524135,71.7015545034,70.4506469296,70.6302164654,1434640,76.56,0.0,76.665,75.3275,75.5195,1.0,1434640
MAR,2014-11-11 00:00:00+00:00,72.145802053,72.2767381729,71.6033524135,71.8278143333,1463009,77.14,0.0,77.28,76.56,76.8,1.0,1463009
MAR,2014-11-12 00:00:00+00:00,72.2954433329,72.4824949327,71.4350059737,71.6220575735,1319245,77.3,0.0,77.5,76.38,76.58,1.0,1319245
MAR,2014-11-13 00:00:00+00:00,73.0342971522,73.183938432,72.3235010728,72.3702639728,1443264,78.09,0.0,78.25,77.33,77.38,1.0,1443264
MAR,2014-11-14 00:00:00+00:00,72.9127136123,73.3148745519,72.6788991125,73.0342971522,1456696,77.96,0.0,78.39,77.71,78.09,1.0,1456696
MAR,2014-11-17 00:00:00+00:00,72.173859793,72.7069568525,71.7975119741,72.108391733,2517627,77.17,0.0,77.74,76.7676,77.1,1.0,2517627
MAR,2014-11-18 00:00:00+00:00,72.145802053,72.4083550108,71.7425957249,72.0989175962,2442920,76.94,0.2,77.22,76.51,76.89,1.0,2442920
MAR,2014-11-19 00:00:00+00:00,71.6206961374,72.5302545984,71.5597463436,72.1833096184,1783370,76.38,0.0,77.35,76.315,76.98,1.0,1783370
MAR,2014-11-20 00:00:00+00:00,71.1612284612,71.6488268114,70.6454994369,71.611319246,2324712,75.89,0.0,76.41,75.34,76.37,1.0,2324712
MAR,2014-11-21 00:00:00+00:00,71.2456204833,72.2488540889,71.1799822439,72.0239024654,2211314,75.98,0.0,77.0499,75.91,76.81,1.0,2211314
MAR,2014-11-24 00:00:00+00:00,72.1739327271,72.4177319022,71.7050881595,71.7050881595,2092518,76.97,0.0,77.23,76.47,76.47,1.0,2092518
MAR,2014-11-25 00:00:00+00:00,72.2395709665,72.4832763727,71.6769574855,72.2208171838,4748047,77.04,0.0,77.2999,76.44,77.02,1.0,4748047
MAR,2014-11-26 00:00:00+00:00,72.6521541859,72.8115613389,71.9863949,72.0332793568,1010889,77.48,0.0,77.65,76.77,76.82,1.0,1010889
MAR,2014-11-28 00:00:00+00:00,73.8805269529,74.2743563896,73.2832189739,73.4491899508,981154,78.79,0.0,79.21,78.153,78.33,1.0,981154
MAR,2014-12-01 00:00:00+00:00,72.6240235119,73.8805269529,72.5490083811,73.6085971037,1903114,77.45,0.0,78.79,77.37,78.5,1.0,1903114
MAR,2014-12-02 00:00:00+00:00,72.6240235119,73.3179134719,72.5771390551,72.8865764697,2659920,77.45,0.0,78.19,77.4,77.73,1.0,2659920
MAR,2014-12-03 00:00:00+00:00,73.2710290151,73.5992202124,72.389694997,72.6709079686,1400330,78.14,0.0,78.49,77.2001,77.5,1.0,1400330
MAR,2014-12-04 00:00:00+00:00,73.0834911881,74.0774416713,72.6240235119,73.1397525362,1499062,77.94,0.0,79.0,77.45,78.0,1.0,1499062
MAR,2014-12-05 00:00:00+00:00,74.0680647799,74.2546649178,73.1116218621,73.1960138843,1598708,78.99,0.0,79.189,77.97,78.06,1.0,1598708
MAR,2014-12-08 00:00:00+00:00,74.0680647799,74.3137393333,73.6085971037,74.0868185626,1465255,78.99,0.0,79.252,78.5,79.01,1.0,1465255
MAR,2014-12-09 00:00:00+00:00,73.4866975162,73.6273508864,72.6709079686,73.214767667,1669591,78.37,0.0,78.52,77.5,78.08,1.0,1669591
MAR,2014-12-10 00:00:00+00:00,72.6521541859,73.5710895383,72.5115008157,73.4210592767,1657700,77.48,0.0,78.46,77.33,78.3,1.0,1657700
MAR,2014-12-11 00:00:00+00:00,72.7834306649,73.8711500615,72.4365794538,73.6836122345,1427903,77.62,0.0,78.78,77.2501,78.58,1.0,1427903
MAR,2014-12-12 00:00:00+00:00,71.9770180087,73.0647374054,71.9301335519,72.2677016406,1570449,76.76,0.0,77.92,76.71,77.07,1.0,1570449
MAR,2014-12-15 00:00:00+00:00,72.7365462081,73.4116823854,71.5175503325,72.6709079686,2646255,77.57,0.0,78.29,76.27,77.5,1.0,2646255
MAR,2014-12-16 00:00:00+00:00,71.5269272239,73.0741142967,71.4706658757,72.9897222746,3317507,76.28,0.0,77.93,76.22,77.84,1.0,3317507
MAR,2014-12-17 00:00:00+00:00,71.958264226,72.2723900862,70.9080523947,71.5363041152,2353695,76.74,0.0,77.075,75.62,76.29,1.0,2353695
MAR,2014-12-18 00:00:00+00:00,72.5302545984,73.0271360711,72.117671379,72.8021844476,2353380,77.35,0.0,77.8799,76.91,77.64,1.0,2353380
MAR,2014-12-19 00:00:00+00:00,72.6052697292,73.1116218621,72.1833096184,72.5115008157,4492382,77.43,0.0,77.97,76.98,77.33,1.0,4492382
MAR,2014-12-22 00:00:00+00:00,73.5710895383,73.7117429086,72.5302545984,72.5865159465,1266709,78.46,0.0,78.61,77.35,77.41,1.0,1266709
MAR,2014-12-23 00:00:00+00:00,73.6461046691,74.1055723453,73.4623175987,73.8430193875,1581647,78.54,0.0,79.03,78.344,78.75,1.0,1581647
MAR,2014-12-24 00:00:00+00:00,73.4679437335,73.6742353432,73.0084760573,73.2241445583,736860,78.35,0.0,78.57,77.86,78.09,1.0,736860
MAR,2014-12-26 00:00:00+00:00,73.7914464851,74.0680647799,73.6273508864,73.7680042567,891538,78.695,0.0,78.99,78.52,78.67,1.0,891538
MAR,2014-12-29 00:00:00+00:00,74.1524568021,74.3107387281,73.2897827978,73.8148887134,1115719,79.08,0.0,79.2488,78.16,78.72,1.0,1115719
MAR,2014-12-30 00:00:00+00:00,73.416370831,74.283733281,73.1866369929,73.8148887134,1184589,78.295,0.0,79.22,78.05,78.72,1.0,1184589
MAR,2014-12-31 00:00:00+00:00,73.1678832102,74.3109262659,73.1209987535,73.7680042567,1428801,78.03,0.0,79.249,77.98,78.67,1.0,1428801
MAR,2015-01-02 00:00:00+00:00,72.9053302524,73.6648584518,71.9291958628,73.4585668421,1278232,77.75,0.0,78.56,76.709,78.34,1.0,1278232
MAR,2015-01-05 00:00:00+00:00,70.9080523947,72.8959533611,70.6267456542,72.8021844476,2036204,75.62,0.0,77.74,75.32,77.64,1.0,2036204
MAR,2015-01-06 00:00:00+00:00,70.0172477164,70.889298612,69.3046039737,70.7673990244,2561002,74.67,0.0,75.6,73.91,75.47,1.0,2561002
MAR,2015-01-07 00:00:00+00:00,71.6206961374,71.798857073,70.3173082396,70.7767759158,1979431,76.38,0.0,76.57,74.99,75.48,1.0,1979431
MAR,2015-01-08 00:00:00+00:00,73.9930496491,74.1055723453,71.6206961374,72.0145255741,2396083,78.91,0.0,79.03,76.38,76.8,1.0,2396083
MAR,2015-01-09 00:00:00+00:00,73.8242656048,74.1618336934,73.1303756448,73.8805269529,2329237,78.73,0.0,79.09,77.99,78.79,1.0,2329237
MAR,2015-01-12 00:00:00+00:00,73.0506720684,74.0774416713,72.7928075562,73.9649189751,1715747,77.905,0.0,79.0,77.63,78.88,1.0,1715747
MAR,2015-01-13 00:00:00+00:00,72.5958928378,74.6494320437,72.3614705541,73.9274114097,2505961,77.42,0.0,79.61,77.17,78.84,1.0,2505961
MAR,2015-01-14 00:00:00+00:00,71.798857073,72.2180041164,70.7673990244,71.4706658757,1902261,76.57,0.0,77.017,75.47,76.22,1.0,1902261
MAR,2015-01-15 00:00:00+00:00,71.3581431795,72.8865764697,71.2737511574,71.9113797692,1787308,76.1,0.0,77.73,76.01,76.69,1.0,1787308
MAR,2015-01-16 00:00:00+00:00,71.1612284612,71.4425352017,70.5892380888,71.264374266,3146475,75.89,0.0,76.19,75.28,76.0,1.0,3146475
MAR,2015-01-20 00:00:00+00:00,71.5644347893,72.1270482703,70.8049065898,71.9301335519,1618249,76.32,0.0,76.92,75.51,76.71,1.0,1618249
MAR,2015-01-21 00:00:00+00:00,71.5081734411,72.2864554233,71.2081129179,71.236243592,1658133,76.26,0.0,77.09,75.94,75.97,1.0,1658133
MAR,2015-01-22 00:00:00+00:00,73.589843321,73.8242656048,71.6019423547,71.9020028779,2106205,78.48,0.0,78.73,76.36,76.68,1.0,2106205
MAR,2015-01-23 00:00:00+00:00,73.6179739951,73.936788301,73.0741142967,73.7586273653,1630979,78.51,0.0,78.85,77.93,78.66,1.0,1630979
MAR,2015-01-26 00:00:00+00:00,74.4665826623,74.4994017821,73.5992202124,73.749250474,1373830,79.415,0.0,79.45,78.49,78.65,1.0,1373830
MAR,2015-01-27 00:00:00+00:00,73.7117429086,74.3868790858,73.2991596892,73.7867580394,1274421,78.61,0.0,79.33,78.17,78.69,1.0,1274421
MAR,2015-01-28 00:00:00+00:00,72.1082944876,73.7304966913,72.0239024654,73.5804664297,2304477,76.9,0.0,78.63,76.81,78.47,1.0,2304477
MAR,2015-01-29 00:00:00+00:00,72.305209206,72.6334004032,71.2831280487,72.0145255741,2246978,77.11,0.0,77.46,76.02,76.8,1.0,2246978
MAR,2015-01-30 00:00:00+00:00,69.8578405634,71.770726399,69.792202324,71.6863343768,3178101,74.5,0.0,76.54,74.43,76.45,1.0,3178101
MAR,2015-02-02 00:00:00+00:00,70.1391473039,70.3079313482,68.8076287321,69.6515489537,3253477,74.8,0.0,74.98,73.38,74.28,1.0,3253477
MAR,2015-02-03 00:00:00+00:00,71.8551184211,71.9488873346,70.0547552818,70.3079313482,2757573,76.63,0.0,76.73,74.71,74.98,1.0,2757573
MAR,2015-02-04 00:00:00+00:00,71.2081129179,72.0989175962,70.7580221331,71.1049671131,2261605,75.94,0.0,76.89,75.46,75.83,1.0,2261605
MAR,2015-02-05 00:00:00+00:00,70.9830675255,71.5456810066,70.5986149801,71.1799822439,2541300,75.7,0.0,76.3,75.29,75.91,1.0,2541300
MAR,2015-02-06 00:00:00+00:00,69.5952876056,71.5081734411,69.0232972332,71.0580826563,3403432,74.22,0.0,76.26,73.61,75.78,1.0,3403432
MAR,2015-02-09 00:00:00+00:00,68.8123171778,69.3046039737,68.2356383597,68.751367384,2465762,73.385,0.0,73.91,72.77,73.32,1.0,2465762
MAR,2015-02-10 00:00:00+00:00,72.4177319022,72.6146466205,69.7453178672,69.7453178672,3532364,77.23,0.0,77.44,74.38,74.38,1.0,3532364
MAR,2015-02-11 00:00:00+00:00,72.2208171838,72.8115613389,71.7050881595,72.3239629887,1938631,77.02,0.0,77.65,76.47,77.13,1.0,1938631
MAR,2015-02-12 00:00:00+00:00,74.096195454,74.2931101723,72.3239629887,72.7365462081,2179281,79.02,0.0,79.23,77.13,77.57,1.0,2179281
MAR,2015-02-13 00:00:00+00:00,74.4478288796,74.5087786734,73.6273508864,74.1618336934,1786014,79.395,0.0,79.46,78.52,79.09,1.0,1786014
MAR,2015-02-17 00:00:00+00:00,76.2247497906,76.2528804647,73.8523962788,74.4900248907,3033502,81.29,0.0,81.32,78.76,79.44,1.0,3033502
MAR,2015-02-18 00:00:00+00:00,76.3747800522,76.5341872052,75.0479499261,75.2214224161,3480355,81.45,0.0,81.62,80.035,80.22,1.0,3480355
MAR,2015-02-19 00:00:00+00:00,77.9219671251,79.4860326024,76.7498557062,78.5595957369,3927430,83.1,0.0,84.768,81.85,83.78,1.0,3927430
MAR,2015-02-20 00:00:00+00:00,77.8281982116,77.9969822559,76.9405816763,77.9969822559,1786706,83.0,0.0,83.18,82.0534,83.18,1.0,1786706
