symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MCHP,2014-10-02 00:00:00+00:00,41.2983554341,41.3786677069,40.370302503,41.1377308883,2681275,46.28,0.0,46.37,45.24,46.1,1.0,2681275
MCHP,2014-10-03 00:00:00+00:00,41.1645016459,41.7445347279,41.1377308883,41.450056394,2124864,46.13,0.0,46.78,46.1,46.45,1.0,2124864
MCHP,2014-10-06 00:00:00+00:00,41.0306478578,41.5794483892,40.7450931097,41.5035979092,1683733,45.98,0.0,46.595,45.66,46.51,1.0,1683733
MCHP,2014-10-07 00:00:00+00:00,40.0892095479,41.0440332366,40.0847477549,40.6737044227,2105650,44.925,0.0,45.995,44.92,45.58,1.0,2105650
MCHP,2014-10-08 00:00:00+00:00,41.2269667471,41.3608205352,39.8928906586,40.0133590679,2378128,46.2,0.0,46.35,44.705,44.84,1.0,2378128
MCHP,2014-10-09 00:00:00+00:00,40.6380100792,41.3162026058,40.5933921499,41.1912724035,2615714,45.54,0.0,46.3,45.49,46.16,1.0,2615714
MCHP,2014-10-10 00:00:00+00:00,35.6541873675,36.6491671927,34.8198320881,35.9620510802,13746441,39.955,0.0,41.07,39.02,40.3,1.0,13746441
MCHP,2014-10-13 00:00:00+00:00,34.5253537542,35.7478850192,34.0167093593,35.4891010288,6262387,38.69,0.0,40.06,38.12,39.77,1.0,6262387
MCHP,2014-10-14 00:00:00+00:00,34.0970216321,35.3820179983,33.8114668841,34.8644500175,6772257,38.21,0.0,39.65,37.89,39.07,1.0,6772257
MCHP,2014-10-15 00:00:00+00:00,33.6686895101,34.2665697638,33.0618856705,33.4277526914,4776914,37.73,0.0,38.4,37.05,37.46,1.0,4776914
MCHP,2014-10-16 00:00:00+00:00,34.971533048,35.5515661299,32.9458790541,32.9904969835,6206848,39.19,0.0,39.84,36.92,36.97,1.0,6206848
MCHP,2014-10-17 00:00:00+00:00,34.2576461779,35.7121906757,34.1951810768,35.3730944124,3646807,38.39,0.0,40.02,38.32,39.64,1.0,3646807
MCHP,2014-10-20 00:00:00+00:00,34.9090679469,34.9358387045,33.9096263287,34.1148688039,3656794,39.12,0.0,39.15,38.0,38.23,1.0,3656794
MCHP,2014-10-21 00:00:00+00:00,36.2208350706,36.2788383788,35.2213934525,35.328476483,3960801,40.59,0.0,40.655,39.47,39.59,1.0,3960801
MCHP,2014-10-22 00:00:00+00:00,35.6675727463,36.4350011316,35.6586491604,36.3636124446,2139417,39.97,0.0,40.83,39.96,40.75,1.0,2139417
MCHP,2014-10-23 00:00:00+00:00,35.9977454237,36.4528483034,35.8549680497,35.8817388073,1940960,40.34,0.0,40.85,40.18,40.21,1.0,1940960
MCHP,2014-10-24 00:00:00+00:00,36.622396435,36.7294794656,35.9531274943,35.9531274943,1754967,41.04,0.0,41.16,40.29,40.29,1.0,1754967
MCHP,2014-10-27 00:00:00+00:00,36.7384030514,36.8142535314,36.1672935554,36.5420841622,3169433,41.17,0.0,41.255,40.53,40.95,1.0,3169433
MCHP,2014-10-28 00:00:00+00:00,37.3719776486,37.3898248204,36.6134728492,36.8276389102,1874319,41.88,0.0,41.9,41.03,41.27,1.0,1874319
MCHP,2014-10-29 00:00:00+00:00,37.6753795684,37.7199974978,36.7740973949,37.2113531029,4387902,42.22,0.0,42.27,41.21,41.7,1.0,4387902
MCHP,2014-10-30 00:00:00+00:00,36.6670143644,37.3719776486,36.1049176901,37.3719776486,3577606,41.09,0.0,41.88,40.4601,41.88,1.0,3577606
MCHP,2014-10-31 00:00:00+00:00,38.4695787114,40.2810666442,37.9609343164,40.2810666442,7432492,43.11,0.0,45.14,42.54,45.14,1.0,7432492
MCHP,2014-11-03 00:00:00+00:00,38.5588145701,38.9960702781,38.3089541656,38.4606551255,2206015,43.21,0.0,43.7,42.93,43.1,1.0,2206015
MCHP,2014-11-04 00:00:00+00:00,38.2643362362,38.7997513888,38.0144758317,38.5320438125,1556604,42.88,0.0,43.48,42.6,43.18,1.0,1556604
MCHP,2014-11-05 00:00:00+00:00,38.8934490405,38.9202197981,38.1751003775,38.4071136102,1279713,43.585,0.0,43.615,42.78,43.04,1.0,1279713
MCHP,2014-11-06 00:00:00+00:00,38.8265221464,39.2548542685,38.5141966408,38.9960702781,1867963,43.51,0.0,43.99,43.16,43.7,1.0,1867963
MCHP,2014-11-07 00:00:00+00:00,38.496349469,38.8889872475,38.1126352763,38.853292904,2089887,43.14,0.0,43.58,42.71,43.54,1.0,2089887
MCHP,2014-11-10 00:00:00+00:00,38.8086749747,38.9425287628,38.3892664385,38.567738156,1322620,43.49,0.0,43.64,43.02,43.22,1.0,1322620
MCHP,2014-11-11 00:00:00+00:00,38.71051553,38.9603759346,38.5632763631,38.9157580052,1159715,43.38,0.0,43.66,43.215,43.61,1.0,1159715
MCHP,2014-11-12 00:00:00+00:00,38.71051553,38.8800636617,38.3803428526,38.6034324995,3757110,43.38,0.0,43.57,43.01,43.26,1.0,3757110
MCHP,2014-11-13 00:00:00+00:00,38.2732598221,39.0228410357,38.2197183068,38.8622164899,1637805,42.89,0.0,43.73,42.83,43.55,1.0,1637805
MCHP,2014-11-14 00:00:00+00:00,38.6926683583,38.71051553,38.0192945681,38.1929475492,1432598,43.36,0.0,43.38,42.6054,42.8,1.0,1432598
MCHP,2014-11-17 00:00:00+00:00,38.9559141416,38.9603759346,38.3819490981,38.6658976006,1636340,43.655,0.0,43.66,43.0118,43.33,1.0,1636340
MCHP,2014-11-18 00:00:00+00:00,39.286086819,39.4600967436,38.8175985605,38.8979108334,3816615,44.025,0.0,44.22,43.5,43.59,1.0,3816615
MCHP,2014-11-19 00:00:00+00:00,38.8233988914,39.4172214468,38.715431154,39.2282779064,1480341,43.15,0.3565,43.81,43.03,43.6,1.0,1480341
MCHP,2014-11-20 00:00:00+00:00,38.9043746944,39.2012859721,38.5084929907,38.715431154,1304504,43.24,0.0,43.57,42.8,43.03,1.0,1304504
MCHP,2014-11-21 00:00:00+00:00,39.3902295125,39.5791730529,38.9403639402,39.5071945613,1485562,43.78,0.0,43.99,43.28,43.91,1.0,1485562
MCHP,2014-11-24 00:00:00+00:00,39.642154233,39.8131031505,39.2372752179,39.5881703643,1711401,44.06,0.0,44.25,43.61,44.0,1.0,1711401
MCHP,2014-11-25 00:00:00+00:00,39.6961381017,39.9453636287,39.5071945613,39.8490923962,1663232,44.12,0.0,44.397,43.91,44.29,1.0,1663232
MCHP,2014-11-26 00:00:00+00:00,40.5328880662,40.568877312,39.642154233,39.642154233,1436310,45.05,0.0,45.09,44.06,44.06,1.0,1436310
MCHP,2014-11-28 00:00:00+00:00,40.6228611806,40.7398262294,40.226979477,40.6678477379,750901,45.15,0.0,45.28,44.71,45.2,1.0,750901
MCHP,2014-12-01 00:00:00+00:00,40.2449740999,41.0007482614,40.1729956083,40.5328880662,1909169,44.73,0.0,45.57,44.65,45.05,1.0,1909169
MCHP,2014-12-02 00:00:00+00:00,40.1729956083,40.226979477,39.6061649872,40.1999875427,2632456,44.65,0.0,44.71,44.02,44.68,1.0,2632456
