symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MDLZ,2014-10-02 00:00:00+00:00,30.798793501,31.0991363455,30.3801337785,30.6440714297,11710224,33.84,0.0,34.17,33.38,33.67,1.0,11710224
MDLZ,2014-10-03 00:00:00+00:00,31.171946732,31.7721773559,30.8716038876,31.6543155427,11029347,34.25,0.0,34.9095,33.92,34.78,1.0,11029347
MDLZ,2014-10-06 00:00:00+00:00,31.3266688034,31.3903778916,30.9808194674,31.3539726983,5672465,34.42,0.0,34.49,34.04,34.45,1.0,5672465
MDLZ,2014-10-07 00:00:00+00:00,30.8716038876,31.2538584168,30.8625025893,31.1082376438,8192131,33.92,0.0,34.34,33.91,34.18,1.0,8192131
MDLZ,2014-10-08 00:00:00+00:00,31.2993649084,31.3084662067,30.625868833,30.8078947994,9728879,34.39,0.0,34.4,33.65,33.85,1.0,9728879
MDLZ,2014-10-09 00:00:00+00:00,30.625868833,31.3539726983,30.625868833,31.2083519253,9103298,33.65,0.0,34.45,33.65,34.29,1.0,9103298
MDLZ,2014-10-10 00:00:00+00:00,30.48024806,30.9398636249,30.48024806,30.7168818162,9733336,33.49,0.0,33.995,33.49,33.75,1.0,9733336
MDLZ,2014-10-13 00:00:00+00:00,30.0160818459,30.6076662364,30.0160818459,30.3983363751,8380442,32.98,0.0,33.63,32.98,33.4,1.0,8380442
MDLZ,2014-10-14 00:00:00+00:00,29.8522584762,30.3528298836,29.8158532829,30.2436143038,7751383,32.8,0.0,33.35,32.76,33.23,1.0,7751383
MDLZ,2014-10-15 00:00:00+00:00,29.7339415981,29.9705753543,28.9694325395,29.6338273166,13085716,32.67,0.0,32.93,31.83,32.56,1.0,13085716
MDLZ,2014-10-16 00:00:00+00:00,29.2151675941,29.5109597893,29.0285909786,29.2788766823,11856106,32.1,0.0,32.425,31.895,32.17,1.0,11856106
MDLZ,2014-10-17 00:00:00+00:00,29.6884351065,29.8795623711,29.0877494177,29.1605598042,9832504,32.62,0.0,32.83,31.96,32.04,1.0,9832504
MDLZ,2014-10-20 00:00:00+00:00,29.9796766526,30.0160818459,29.4126657675,29.5428143334,6908089,32.94,0.0,32.98,32.317,32.46,1.0,6908089
MDLZ,2014-10-21 00:00:00+00:00,30.2436143038,30.2527156021,29.8977649678,30.0251831442,6238957,33.23,0.0,33.24,32.85,32.99,1.0,6238957
MDLZ,2014-10-22 00:00:00+00:00,30.8442999926,31.0900350472,30.4893493583,30.6167675347,10236355,33.89,0.0,34.16,33.5,33.64,1.0,10236355
MDLZ,2014-10-23 00:00:00+00:00,31.0445285556,31.2356558202,30.9353129758,31.0900350472,8177718,34.11,0.0,34.32,33.99,34.16,1.0,8177718
MDLZ,2014-10-24 00:00:00+00:00,31.2811623118,31.317567505,30.8898064842,31.1355415387,6262190,34.37,0.0,34.41,33.94,34.21,1.0,6262190
MDLZ,2014-10-27 00:00:00+00:00,31.6088090512,31.6679674902,31.1810480303,31.1810480303,7262597,34.73,0.0,34.795,34.26,34.26,1.0,7262597
MDLZ,2014-10-28 00:00:00+00:00,32.1184817568,32.1275830552,31.6088090512,31.7635311225,8664230,35.29,0.0,35.3,34.73,34.9,1.0,8664230
MDLZ,2014-10-29 00:00:00+00:00,31.7908350175,32.3005077232,31.4677389273,32.1639882484,8609379,34.93,0.0,35.49,34.575,35.34,1.0,8609379
MDLZ,2014-10-30 00:00:00+00:00,31.9956142296,32.0911778619,31.5833254159,31.6361129461,7239969,35.155,0.0,35.26,34.702,34.76,1.0,7239969
MDLZ,2014-10-31 00:00:00+00:00,32.0911778619,32.7191674457,31.9091518956,32.7191674457,10910209,35.26,0.0,35.95,35.06,35.95,1.0,10910209
MDLZ,2014-11-03 00:00:00+00:00,32.2276973366,32.2732038282,31.9637596855,32.0456713703,8322173,35.41,0.0,35.46,35.12,35.21,1.0,8322173
MDLZ,2014-11-04 00:00:00+00:00,31.8818480006,32.3369129164,31.8090376141,32.3096090215,8409705,35.03,0.0,35.53,34.95,35.5,1.0,8409705
MDLZ,2014-11-05 00:00:00+00:00,33.8113232436,34.0798115439,32.928497307,32.9922063952,17787061,37.15,0.0,37.445,36.18,36.25,1.0,17787061
MDLZ,2014-11-06 00:00:00+00:00,34.4393128274,34.6486426887,33.9114375251,34.1298686847,12576635,37.84,0.0,38.07,37.26,37.5,1.0,12576635
MDLZ,2014-11-07 00:00:00+00:00,34.3665024409,34.5576297055,34.0753519078,34.4393128274,8803305,37.76,0.0,37.97,37.4401,37.84,1.0,8803305
MDLZ,2014-11-10 00:00:00+00:00,34.4939206173,34.5075725648,34.0661595965,34.3300972476,8769912,37.9,0.0,37.915,37.43,37.72,1.0,8769912
MDLZ,2014-11-11 00:00:00+00:00,34.3756037392,34.7123517769,34.3300972476,34.5303258106,4714965,37.77,0.0,38.14,37.72,37.94,1.0,4714965
MDLZ,2014-11-12 00:00:00+00:00,34.5121232139,34.5758323021,34.1025647897,34.311894651,5610649,37.92,0.0,37.99,37.47,37.7,1.0,5610649
MDLZ,2014-11-13 00:00:00+00:00,34.7942634617,34.8852764449,34.4029076341,34.7123517769,6757890,38.23,0.0,38.33,37.8,38.14,1.0,6757890
MDLZ,2014-11-14 00:00:00+00:00,34.7305543735,34.9853907264,34.6031361971,34.8215673567,6427278,38.16,0.0,38.44,38.02,38.26,1.0,6427278
MDLZ,2014-11-17 00:00:00+00:00,34.9216816381,34.9398842348,34.5758323021,34.7305543735,5473084,38.37,0.0,38.39,37.99,38.16,1.0,5473084
MDLZ,2014-11-18 00:00:00+00:00,35.2174738334,35.3721959048,34.6759465836,34.7214530752,8284822,38.695,0.0,38.865,38.1,38.15,1.0,8284822
MDLZ,2014-11-19 00:00:00+00:00,35.5860764152,35.7180452408,35.1310114994,35.2766322725,7761849,39.1,0.0,39.245,38.6,38.76,1.0,7761849
MDLZ,2014-11-20 00:00:00+00:00,35.4313543438,35.5132660287,35.176609004,35.3130374657,6215534,38.93,0.0,39.02,38.6501,38.8,1.0,6215534
MDLZ,2014-11-21 00:00:00+00:00,35.4950634321,35.868216663,35.4222530455,35.868216663,8871004,39.0,0.0,39.41,38.92,39.41,1.0,8871004
