symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MELI,2014-10-02 00:00:00+00:00,109.828880542,110.4517847079,106.2249350111,109.0378911251,926719,111.08,0.0,111.71,107.435,110.28,1.0,926719
MELI,2014-10-03 00:00:00+00:00,110.2639247214,113.2795718734,110.1848257797,111.1142383446,503635,111.52,0.0,114.57,111.44,112.38,1.0,503635
MELI,2014-10-06 00:00:00+00:00,110.8472794163,112.6665550753,109.4927100398,111.7272551427,343561,112.11,0.0,113.95,110.74,113.0,1.0,343561
MELI,2014-10-07 00:00:00+00:00,109.5619216138,111.578944627,109.2356384793,110.0562899994,512217,110.81,0.0,112.85,110.48,111.31,1.0,512217
MELI,2014-10-08 00:00:00+00:00,112.4688077211,112.5874561336,108.2666764436,109.7201194972,632871,113.75,0.0,113.87,109.5,110.97,1.0,632871
MELI,2014-10-09 00:00:00+00:00,110.3232489276,112.5281319273,110.1452763088,111.7470298781,607148,111.58,0.0,113.81,111.4,113.02,1.0,607148
MELI,2014-10-10 00:00:00+00:00,108.1381406633,111.1735625508,107.6141101746,110.0958394703,911997,109.37,0.0,112.44,108.84,111.35,1.0,911997
MELI,2014-10-13 00:00:00+00:00,107.8217448966,110.105726838,106.605598668,107.910731206,446170,109.05,0.0,111.36,107.82,109.14,1.0,446170
MELI,2014-10-14 00:00:00+00:00,106.81323339,109.5816963492,105.4092271749,108.5435227395,462230,108.03,0.0,110.83,106.61,109.78,1.0,462230
MELI,2014-10-15 00:00:00+00:00,104.9642956279,108.3309443337,101.2861948391,105.4586640134,1043491,106.16,0.0,109.565,102.44,106.66,1.0,1043491
MELI,2014-10-16 00:00:00+00:00,104.7467735382,105.9826945022,101.9387611081,102.4331294937,817302,105.94,0.0,107.19,103.1,103.6,1.0,817302
MELI,2014-10-17 00:00:00+00:00,103.0955831303,106.5093945802,102.4331294937,106.0716808116,507963,104.27,0.0,107.7227,103.6,107.28,1.0,507963
MELI,2014-10-20 00:00:00+00:00,105.7552850448,106.4474007846,102.2076975098,102.8088494667,400881,106.96,0.0,107.66,103.372,103.98,1.0,400881
MELI,2014-10-21 00:00:00+00:00,109.0972153314,109.2059763762,106.229878695,106.3880765784,375279,110.34,0.0,110.45,107.44,107.6,1.0,375279
MELI,2014-10-22 00:00:00+00:00,105.646524,109.3246247887,105.5278755874,109.1862016408,253886,106.85,0.0,110.57,106.73,110.43,1.0,253886
MELI,2014-10-23 00:00:00+00:00,106.1903292241,108.3358880176,105.7948345156,106.674810242,380853,107.4,0.0,109.57,107.0,107.89,1.0,380853
MELI,2014-10-24 00:00:00+00:00,110.8967162549,111.7668046135,105.0948088817,106.6945849774,787726,112.16,0.0,113.04,106.292,107.91,1.0,787726
MELI,2014-10-27 00:00:00+00:00,108.494085901,109.5322595107,106.9318818025,108.7709321969,501384,109.73,0.0,110.78,108.15,110.01,1.0,501384
MELI,2014-10-28 00:00:00+00:00,114.2485339092,114.2979707477,107.9700554122,109.453160569,724332,115.55,0.0,115.6,109.2,110.7,1.0,724332
MELI,2014-10-29 00:00:00+00:00,112.4786950888,114.6934654562,110.9857025643,114.0606739227,786935,113.76,0.0,116.0,112.25,115.36,1.0,786935
MELI,2014-10-30 00:00:00+00:00,113.9024760393,114.6440286177,111.1241257123,112.1227498512,996994,115.2,0.0,115.95,112.39,113.4,1.0,996994
MELI,2014-10-31 00:00:00+00:00,134.6165113954,142.6055045065,129.5838412301,132.5006147051,2911416,136.15,0.0,144.23,131.06,134.01,1.0,2911416
MELI,2014-11-03 00:00:00+00:00,134.7054977048,136.4753365252,133.7563104045,134.3297777317,1584517,136.24,0.0,138.03,135.28,135.86,1.0,1584517
MELI,2014-11-04 00:00:00+00:00,137.8101311663,138.9768405563,133.5981125211,134.5769619245,1986350,139.38,0.0,140.56,135.12,136.11,1.0,1986350
MELI,2014-11-05 00:00:00+00:00,134.9427945299,139.4118847356,134.3396650994,138.5813458478,987418,136.48,0.0,141.0,135.87,140.16,1.0,987418
MELI,2014-11-06 00:00:00+00:00,133.1432936063,134.7697655949,132.5599389113,133.9046209201,919204,134.66,0.0,136.305,134.07,135.43,1.0,919204
MELI,2014-11-07 00:00:00+00:00,133.2322799157,134.1715798483,132.1100636805,133.4794641085,517500,134.75,0.0,135.7,133.615,135.0,1.0,517500
MELI,2014-11-10 00:00:00+00:00,135.0021187361,135.3086271352,132.5599389113,133.7266483013,473824,136.54,0.0,136.85,134.07,135.25,1.0,473824
MELI,2014-11-11 00:00:00+00:00,133.4102525345,135.7535586822,131.6305263464,134.8043713819,951400,134.93,0.0,137.3,133.13,136.34,1.0,951400
MELI,2014-11-12 00:00:00+00:00,133.9540577587,134.9624703916,132.708249427,133.5091262117,280284,135.48,0.0,136.4999,134.22,135.03,1.0,280284
MELI,2014-11-13 00:00:00+00:00,130.7307758847,134.562130873,130.2957317053,133.6376619919,719411,132.22,0.0,136.095,131.78,135.16,1.0,719411
MELI,2014-11-14 00:00:00+00:00,133.1037441355,133.6772114628,129.7717012166,130.1869706605,327217,134.62,0.0,135.2,131.25,131.67,1.0,327217
MELI,2014-11-17 00:00:00+00:00,132.2039936737,135.1405418841,130.5231411627,134.0924809067,472944,133.71,0.0,136.68,132.01,135.62,1.0,472944
MELI,2014-11-18 00:00:00+00:00,133.9738324941,135.1257108325,131.5316526693,132.6983620593,348752,135.5,0.0,136.665,133.03,134.21,1.0,348752
MELI,2014-11-19 00:00:00+00:00,133.7958598753,135.884071936,132.2732052477,134.319890364,382133,135.32,0.0,137.432,133.78,135.85,1.0,382133
MELI,2014-11-20 00:00:00+00:00,134.4484261443,136.0501797136,133.0889130839,133.2718293866,300625,135.98,0.0,137.6,134.605,134.79,1.0,300625
MELI,2014-11-21 00:00:00+00:00,137.1476775296,137.75080696,133.9540577587,136.0205176104,505560,138.71,0.0,139.32,135.48,137.57,1.0,505560
MELI,2014-11-24 00:00:00+00:00,138.4231479644,138.6901068926,136.1984902293,136.9499301753,331119,140.0,0.0,140.27,137.75,138.51,1.0,331119
MELI,2014-11-25 00:00:00+00:00,139.0361647625,140.3116351973,137.4541859286,137.75080696,292693,140.62,0.0,141.91,139.02,139.32,1.0,292693
MELI,2014-11-26 00:00:00+00:00,139.4712089418,139.9062531212,138.4330353321,139.4118847356,216515,141.06,0.0,141.5,140.01,141.0,1.0,216515
MELI,2014-11-28 00:00:00+00:00,139.3525605293,140.6478056995,138.4231479644,139.4118847356,136164,140.94,0.0,142.25,140.0,141.0,1.0,136164
MELI,2014-12-01 00:00:00+00:00,138.2254006102,140.2671420426,137.167452265,138.91751635,695816,139.8,0.0,141.865,138.73,140.5,1.0,695816
MELI,2014-12-02 00:00:00+00:00,138.6703321572,139.8864783857,137.5036227672,138.4231479644,426893,140.25,0.0,141.48,139.07,140.0,1.0,426893
MELI,2014-12-03 00:00:00+00:00,139.0163900271,140.7862288475,135.6349102697,138.7197689958,752915,140.6,0.0,142.39,137.18,140.3,1.0,752915
MELI,2014-12-04 00:00:00+00:00,137.6420459152,139.4712089418,136.6631965117,139.1647005428,313309,139.21,0.0,141.06,138.22,140.75,1.0,313309
MELI,2014-12-05 00:00:00+00:00,136.6434217763,138.4824721707,136.4654491575,137.4640732964,269753,138.2,0.0,140.06,138.02,139.03,1.0,269753
MELI,2014-12-08 00:00:00+00:00,138.4132605967,140.0249015337,135.9908555073,137.5332848703,490142,139.99,0.0,141.62,137.54,139.1,1.0,490142
MELI,2014-12-09 00:00:00+00:00,138.7988679374,139.3228984262,134.3792145703,136.7620701888,414420,140.38,0.0,140.91,135.91,138.32,1.0,414420
MELI,2014-12-10 00:00:00+00:00,133.9886635457,139.2042500136,133.2520546512,138.7395437312,331934,135.515,0.0,140.79,134.77,140.32,1.0,331934
MELI,2014-12-11 00:00:00+00:00,134.0034945973,136.6137596732,133.2817167543,134.1419177452,223894,135.53,0.0,138.17,134.8,135.67,1.0,223894
MELI,2014-12-12 00:00:00+00:00,133.0839694001,136.3369133772,132.915884149,132.9949830907,250648,134.6,0.0,137.89,134.43,134.51,1.0,250648
MELI,2014-12-15 00:00:00+00:00,132.7675736333,135.9117565656,132.2732052477,135.110879781,662405,134.28,0.0,137.46,133.78,136.65,1.0,662405
