symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MNST,2014-10-02 00:00:00+00:00,30.18330315,30.464969535,29.92997007,30.26996973,3186180,90.55,0.0,91.395,89.79,90.81,1.0,1062059
MNST,2014-10-03 00:00:00+00:00,30.67663599,30.84330249,30.19330314,30.31996968,8884124,92.03,0.0,92.53,90.58,90.96,1.0,2961372
MNST,2014-10-06 00:00:00+00:00,30.78996921,30.8333025,30.381636285,30.81330252,4007398,92.37,0.0,92.5,91.145,92.44,1.0,1335798
MNST,2014-10-07 00:00:00+00:00,30.80996919,31.07330226,30.510302823,30.54996945,4246423,92.43,0.0,93.22,91.531,91.65,1.0,1415473
MNST,2014-10-08 00:00:00+00:00,32.15663451,32.29330104,30.71330262,30.93663573,6187593,96.47,0.0,96.88,92.14,92.81,1.0,2062529
MNST,2014-10-09 00:00:00+00:00,31.82330151,32.3666343,31.63663503,32.24330109,6231837,95.47,0.0,97.1,94.91,96.73,1.0,2077277
MNST,2014-10-10 00:00:00+00:00,31.61330172,32.2999677,31.60330173,31.85330148,3858921,94.84,0.0,96.9,94.81,95.56,1.0,1286306
MNST,2014-10-13 00:00:00+00:00,30.97330236,31.51663515,30.93663573,31.44330189,3077724,92.92,0.0,94.55,92.81,94.33,1.0,1025907
MNST,2014-10-14 00:00:00+00:00,31.49330184,31.68996831,31.03996896,31.21996878,3852558,94.48,0.0,95.07,93.12,93.66,1.0,1284185
MNST,2014-10-15 00:00:00+00:00,30.47330286,31.5841350825,30.33996966,31.26330207,7273060,91.42,0.0,94.7525,91.02,93.79,1.0,2424351
MNST,2014-10-16 00:00:00+00:00,30.27663639,30.44330289,29.85330348,30.01663665,3727131,90.83,0.0,91.33,89.56,90.05,1.0,1242376
MNST,2014-10-17 00:00:00+00:00,30.70330263,30.9333024,30.23996976,30.40996959,3098967,92.11,0.0,92.8,90.72,91.23,1.0,1032988
MNST,2014-10-20 00:00:00+00:00,31.77663489,31.78996821,30.60330273,30.66996933,3251577,95.33,0.0,95.37,91.81,92.01,1.0,1083858
MNST,2014-10-21 00:00:00+00:00,32.78663388,33.01663365,31.74330159,31.74330159,6356985,98.36,0.0,99.05,95.23,95.23,1.0,2118993
MNST,2014-10-22 00:00:00+00:00,32.72996727,32.96330037,32.60996739,32.88996711,3321123,98.19,0.0,98.89,97.83,98.67,1.0,1107040
MNST,2014-10-23 00:00:00+00:00,32.54330079,33.17663349,32.44330089,32.98996701,2730533,97.63,0.0,99.53,97.33,98.97,1.0,910177
MNST,2014-10-24 00:00:00+00:00,32.62996737,32.82996717,32.37996762,32.7799338867,1990360,97.89,0.0,98.49,97.14,98.3399,1.0,663453
MNST,2014-10-27 00:00:00+00:00,32.62996737,32.66330067,32.37996762,32.41663425,1679563,97.89,0.0,97.99,97.14,97.25,1.0,559854
MNST,2014-10-28 00:00:00+00:00,32.48330085,32.77996722,32.41663425,32.73663393,3348699,97.45,0.0,98.34,97.25,98.21,1.0,1116232
MNST,2014-10-29 00:00:00+00:00,32.88330045,33.02663364,32.44330089,32.50330083,3334113,98.65,0.0,99.08,97.33,97.51,1.0,1111370
MNST,2014-10-30 00:00:00+00:00,33.0333003,33.12663354,32.52996747,32.76330057,2516855,99.1,0.0,99.38,97.59,98.29,1.0,838951
MNST,2014-10-31 00:00:00+00:00,33.62663304,33.79329954,33.07663359,33.7332996,3329844,100.88,0.0,101.38,99.23,101.2,1.0,1109947
MNST,2014-11-03 00:00:00+00:00,33.74329959,34.28996571,33.59329974,33.61663305,2916236,101.23,0.0,102.87,100.78,100.85,1.0,972078
MNST,2014-11-04 00:00:00+00:00,33.34663332,33.83996616,33.32330001,33.8332995,2719214,100.04,0.0,101.52,99.97,101.5,1.0,906404
MNST,2014-11-05 00:00:00+00:00,33.05663361,34.08996591,32.88330045,33.65996634,3289428,99.17,0.0,102.27,98.65,100.98,1.0,1096475
MNST,2014-11-06 00:00:00+00:00,33.49329984,33.7999662,33.20330013,33.24663342,4891966,100.48,0.0,101.4,99.61,99.74,1.0,1630654
