symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MSFT,2014-10-16 00:00:00+00:00,38.2595456269,38.5639032665,37.7940574724,38.0715600261,49040989,42.74,0.0,43.08,42.22,42.53,1.0,49040989
MSFT,2014-10-17 00:00:00+00:00,39.0562465069,39.3292732129,38.3043041033,38.6713236098,40683346,43.63,0.0,43.935,42.79,43.2,1.0,40683346
MSFT,2014-10-20 00:00:00+00:00,39.4590727945,39.5127829662,38.3222074939,38.5459998759,34530887,44.08,0.0,44.14,42.81,43.06,1.0,34530887
MSFT,2014-10-21 00:00:00+00:00,40.1752084169,40.260249522,39.5575414426,39.7097202623,36433824,44.88,0.0,44.975,44.19,44.36,1.0,36433824
MSFT,2014-10-22 00:00:00+00:00,39.7276236529,40.3452906272,39.588872376,40.2826287602,33579817,44.38,0.0,45.07,44.225,45.0,1.0,33579817
MSFT,2014-10-23 00:00:00+00:00,40.3005321508,40.6809792002,39.8618990821,39.9424643396,45451869,45.02,0.0,45.445,44.53,44.62,1.0,45451869
MSFT,2014-10-24 00:00:00+00:00,41.2941703269,41.9834508635,40.4437592753,41.9207889965,61081039,46.13,0.0,46.9,45.18,46.83,1.0,61081039
MSFT,2014-10-27 00:00:00+00:00,41.0972330307,41.267315241,40.9181991251,40.9181991251,30371308,45.91,0.0,46.1,45.71,45.71,1.0,30371308
MSFT,2014-10-28 00:00:00+00:00,41.616431357,41.6253830522,40.9719092968,41.0524745543,29049750,46.49,0.0,46.5,45.77,45.86,1.0,29049750
MSFT,2014-10-29 00:00:00+00:00,41.7328033956,41.8044169578,41.4821559278,41.5716728806,30283622,46.62,0.0,46.7,46.34,46.44,1.0,30283622
MSFT,2014-10-30 00:00:00+00:00,41.2225567646,41.4642525372,40.9719092968,41.4642525372,30073873,46.05,0.0,46.32,45.77,46.32,1.0,30073873
MSFT,2014-10-31 00:00:00+00:00,42.0282093399,42.0461127304,41.6074796617,42.0192576446,35849656,46.95,0.0,46.97,46.48,46.94,1.0,35849656
MSFT,2014-11-03 00:00:00+00:00,42.4668424086,42.4847457991,41.8312720437,41.9744991682,23130397,47.44,0.0,47.46,46.73,46.89,1.0,23130397
MSFT,2014-11-04 00:00:00+00:00,42.5832144472,42.7264415717,42.2967601983,42.3424138442,21530813,47.57,0.0,47.73,47.25,47.301,1.0,21530813
MSFT,2014-11-05 00:00:00+00:00,42.8428136103,42.8786203915,42.3057118935,42.7891034387,22449594,47.86,0.0,47.9,47.26,47.8,1.0,22449594
