symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MU,2014-10-16 00:00:00+00:00,28.3,28.86,27.19,27.33,42111567,28.3,0.0,28.86,27.19,27.33,1.0,42111567
MU,2014-10-17 00:00:00+00:00,28.765,29.73,28.57,28.91,34717116,28.765,0.0,29.73,28.57,28.91,1.0,34717116
MU,2014-10-20 00:00:00+00:00,29.69,29.73,28.81,29.11,22357837,29.69,0.0,29.73,28.81,29.11,1.0,22357837
MU,2014-10-21 00:00:00+00:00,31.19,31.34,30.16,30.4,40875105,31.19,0.0,31.34,30.16,30.4,1.0,40875105
MU,2014-10-22 00:00:00+00:00,30.57,31.55,30.32,31.52,25500608,30.57,0.0,31.55,30.32,31.52,1.0,25500608
MU,2014-10-23 00:00:00+00:00,30.89,31.37,30.57,31.04,22071147,30.89,0.0,31.37,30.57,31.04,1.0,22071147
MU,2014-10-24 00:00:00+00:00,31.06,31.12,30.61,30.98,17763804,31.06,0.0,31.12,30.61,30.98,1.0,17763804
MU,2014-10-27 00:00:00+00:00,32.3,32.38,31.66,31.96,26775910,32.3,0.0,32.38,31.66,31.96,1.0,26775910
MU,2014-10-28 00:00:00+00:00,32.61,32.67,32.15,32.51,20981031,32.61,0.0,32.67,32.15,32.51,1.0,20981031
MU,2014-10-29 00:00:00+00:00,32.28,32.65,31.86,32.5,21418724,32.28,0.0,32.65,31.86,32.5,1.0,21418724
MU,2014-10-30 00:00:00+00:00,31.82,32.08,30.94,31.75,26761018,31.82,0.0,32.08,30.94,31.75,1.0,26761018
MU,2014-10-31 00:00:00+00:00,33.09,33.35,32.62,32.9,28541397,33.09,0.0,33.35,32.62,32.9,1.0,28541397
MU,2014-11-03 00:00:00+00:00,33.51,33.91,32.98,33.19,19657739,33.51,0.0,33.91,32.98,33.19,1.0,19657739
MU,2014-11-04 00:00:00+00:00,33.37,33.59,32.9,33.48,16503870,33.37,0.0,33.59,32.9,33.48,1.0,16503870
MU,2014-11-05 00:00:00+00:00,33.71,33.76,33.1101,33.51,23137170,33.71,0.0,33.76,33.1101,33.51,1.0,23137170
MU,2014-11-06 00:00:00+00:00,33.35,33.79,33.15,33.5,23576567,33.35,0.0,33.79,33.15,33.5,1.0,23576567
MU,2014-11-07 00:00:00+00:00,33.01,33.38,32.3199,33.31,19337543,33.01,0.0,33.38,32.3199,33.31,1.0,19337543
MU,2014-11-10 00:00:00+00:00,33.09,33.11,32.62,32.93,13827343,33.09,0.0,33.11,32.62,32.93,1.0,13827343
MU,2014-11-11 00:00:00+00:00,33.2,33.38,32.89,32.98,11285655,33.2,0.0,33.38,32.89,32.98,1.0,11285655
MU,2014-11-12 00:00:00+00:00,32.91,33.17,32.8,33.05,14322363,32.91,0.0,33.17,32.8,33.05,1.0,14322363
MU,2014-11-13 00:00:00+00:00,32.94,33.21,32.75,32.98,10851337,32.94,0.0,33.21,32.75,32.98,1.0,10851337
MU,2014-11-14 00:00:00+00:00,32.62,32.94,32.13,32.94,17434575,32.62,0.0,32.94,32.13,32.94,1.0,17434575
MU,2014-11-17 00:00:00+00:00,32.29,32.4099,31.69,31.9,18259266,32.29,0.0,32.4099,31.69,31.9,1.0,18259266
MU,2014-11-18 00:00:00+00:00,32.87,33.15,32.3,32.3,15539673,32.87,0.0,33.15,32.3,32.3,1.0,15539673
MU,2014-11-19 00:00:00+00:00,32.96,33.22,32.335,32.93,14590180,32.96,0.0,33.22,32.335,32.93,1.0,14590180
MU,2014-11-20 00:00:00+00:00,33.21,33.48,32.4946,32.73,13613313,33.21,0.0,33.48,32.4946,32.73,1.0,13613313
MU,2014-11-21 00:00:00+00:00,34.3,34.39,33.5201,33.71,25563115,34.3,0.0,34.39,33.5201,33.71,1.0,25563115
MU,2014-11-24 00:00:00+00:00,34.73,35.25,34.26,34.41,24974447,34.73,0.0,35.25,34.26,34.41,1.0,24974447
MU,2014-11-25 00:00:00+00:00,34.8,34.98,34.4,34.77,13985174,34.8,0.0,34.98,34.4,34.77,1.0,13985174
MU,2014-11-26 00:00:00+00:00,35.62,35.67,34.62,34.63,18291122,35.62,0.0,35.67,34.62,34.63,1.0,18291122
MU,2014-11-28 00:00:00+00:00,35.95,36.22,35.72,35.84,11645732,35.95,0.0,36.22,35.72,35.84,1.0,11645732
MU,2014-12-01 00:00:00+00:00,34.99,36.14,34.94,35.98,21342294,34.99,0.0,36.14,34.94,35.98,1.0,21342294
MU,2014-12-02 00:00:00+00:00,35.605,35.77,34.64,35.05,14281539,35.605,0.0,35.77,34.64,35.05,1.0,14281539
MU,2014-12-03 00:00:00+00:00,36.1,36.35,35.74,35.9,29011484,36.1,0.0,36.35,35.74,35.9,1.0,29011484
MU,2014-12-04 00:00:00+00:00,36.07,36.5,35.67,36.03,16489038,36.07,0.0,36.5,35.67,36.03,1.0,16489038
MU,2014-12-05 00:00:00+00:00,36.49,36.5,36.015,36.09,14114821,36.49,0.0,36.5,36.015,36.09,1.0,14114821
MU,2014-12-08 00:00:00+00:00,36.02,36.59,35.7,36.46,15815273,36.02,0.0,36.59,35.7,36.46,1.0,15815273
MU,2014-12-09 00:00:00+00:00,35.655,35.71,34.54,34.85,16503476,35.655,0.0,35.71,34.54,34.85,1.0,16503476
MU,2014-12-10 00:00:00+00:00,34.86,35.65,34.78,35.44,17037862,34.86,0.0,35.65,34.78,35.44,1.0,17037862
MU,2014-12-11 00:00:00+00:00,35.19,35.82,34.895,35.16,13280098,35.19,0.0,35.82,34.895,35.16,1.0,13280098
MU,2014-12-12 00:00:00+00:00,34.0,34.93,33.97,34.92,19798884,34.0,0.0,34.93,33.97,34.92,1.0,19798884
MU,2014-12-15 00:00:00+00:00,33.355,34.45,33.25,34.35,27305711,33.355,0.0,34.45,33.25,34.35,1.0,27305711
MU,2014-12-16 00:00:00+00:00,32.915,33.92,32.37,32.9,28611553,32.915,0.0,33.92,32.37,32.9,1.0,28611553
MU,2014-12-17 00:00:00+00:00,33.83,33.9,32.5,33.08,19434642,33.83,0.0,33.9,32.5,33.08,1.0,19434642
MU,2014-12-18 00:00:00+00:00,34.45,34.79,34.05,34.62,18200620,34.45,0.0,34.79,34.05,34.62,1.0,18200620
MU,2014-12-19 00:00:00+00:00,34.49,34.8,34.13,34.59,18469622,34.49,0.0,34.8,34.13,34.59,1.0,18469622
MU,2014-12-22 00:00:00+00:00,34.635,35.0,34.5,34.75,12687924,34.635,0.0,35.0,34.5,34.75,1.0,12687924
MU,2014-12-23 00:00:00+00:00,34.97,35.19,34.76,34.92,10948957,34.97,0.0,35.19,34.76,34.92,1.0,10948957
MU,2014-12-24 00:00:00+00:00,34.91,35.1,34.62,35.03,4672964,34.91,0.0,35.1,34.62,35.03,1.0,4672964
MU,2014-12-26 00:00:00+00:00,35.0,35.23,34.98,35.03,6883684,35.0,0.0,35.23,34.98,35.03,1.0,6883684
MU,2014-12-29 00:00:00+00:00,35.53,35.685,35.08,35.27,12365816,35.53,0.0,35.685,35.08,35.27,1.0,12365816
MU,2014-12-30 00:00:00+00:00,35.4,35.74,35.3,35.43,11480533,35.4,0.0,35.74,35.3,35.43,1.0,11480533
MU,2014-12-31 00:00:00+00:00,35.01,35.53,35.0,35.45,10714301,35.01,0.0,35.53,35.0,35.45,1.0,10714301
MU,2015-01-02 00:00:00+00:00,34.75,35.52,34.34,35.24,15138243,34.75,0.0,35.52,34.34,35.24,1.0,15138243
MU,2015-01-05 00:00:00+00:00,33.775,34.74,33.75,34.71,23706638,33.775,0.0,34.74,33.75,34.71,1.0,23706638
MU,2015-01-06 00:00:00+00:00,32.87,34.23,32.63,34.1,40092019,32.87,0.0,34.23,32.63,34.1,1.0,40092019
MU,2015-01-07 00:00:00+00:00,32.1,32.975,31.45,31.53,52552340,32.1,0.0,32.975,31.45,31.53,1.0,52552340
MU,2015-01-08 00:00:00+00:00,33.67,33.87,32.55,32.56,31947111,33.67,0.0,33.87,32.55,32.56,1.0,31947111
MU,2015-01-09 00:00:00+00:00,33.525,33.87,32.96,33.76,19120266,33.525,0.0,33.87,32.96,33.76,1.0,19120266
