symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MXIM,2014-10-20 00:00:00+00:00,22.6914810163,22.7765953487,22.1893064551,22.3680465532,3173732,26.66,0.0,26.76,26.07,26.28,1.0,3173732
MXIM,2014-10-21 00:00:00+00:00,23.4915557408,23.5426243402,22.8191525149,22.8446868146,3359539,27.6,0.0,27.66,26.81,26.84,1.0,3359539
MXIM,2014-10-22 00:00:00+00:00,23.2106784439,23.8064787706,23.1851441442,23.6192272394,2420075,27.27,0.0,27.97,27.24,27.75,1.0,2420075
MXIM,2014-10-23 00:00:00+00:00,23.5426243402,23.5596472067,23.3128156428,23.3468613757,3069148,27.66,0.0,27.68,27.39,27.43,1.0,3069148
MXIM,2014-10-24 00:00:00+00:00,24.4618591301,25.3810939199,23.4064414084,23.8149902039,7440385,28.74,0.0,29.82,27.5,27.98,1.0,7440385
MXIM,2014-10-27 00:00:00+00:00,24.2746075988,24.5469734625,23.8405245036,24.3682333644,2641174,28.52,0.0,28.84,28.01,28.63,1.0,2641174
MXIM,2014-10-28 00:00:00+00:00,24.6235763616,24.6320877949,24.1469361002,24.3682333644,2194693,28.93,0.0,28.94,28.37,28.63,1.0,2194693
MXIM,2014-10-29 00:00:00+00:00,24.5725077622,24.6746449611,24.3001418985,24.5980420619,1969089,28.87,0.0,28.99,28.55,28.9,1.0,1969089
MXIM,2014-10-30 00:00:00+00:00,24.1724703999,24.6235763616,23.9511731357,24.4703705633,2001771,28.4,0.0,28.93,28.14,28.75,1.0,2001771
MXIM,2014-10-31 00:00:00+00:00,24.9725451244,25.6960169498,24.7597592935,24.9640336912,3238968,29.34,0.0,30.19,29.09,29.33,1.0,3238968
MXIM,2014-11-03 00:00:00+00:00,25.1427737892,25.2278881216,24.921476525,25.0406365904,1945267,29.54,0.0,29.64,29.28,29.42,1.0,1945267
MXIM,2014-11-04 00:00:00+00:00,24.9640336912,25.2363995549,24.9129650918,25.0321251571,1283837,29.33,0.0,29.65,29.27,29.41,1.0,1283837
MXIM,2014-11-05 00:00:00+00:00,25.3215138873,25.4066282196,24.6405992281,25.0746823233,1322755,29.75,0.0,29.85,28.95,29.46,1.0,1322755
MXIM,2014-11-06 00:00:00+00:00,25.2534224213,25.5002539853,25.100216623,25.2449109881,1650185,29.67,0.0,29.96,29.49,29.66,1.0,1650185
MXIM,2014-11-07 00:00:00+00:00,25.189586672,25.313002454,24.8959422253,25.313002454,1638598,29.595,0.0,29.74,29.25,29.74,1.0,1638598
MXIM,2014-11-10 00:00:00+00:00,25.2874681543,25.5002539853,25.1512852225,25.1512852225,1137742,29.71,0.0,29.96,29.55,29.55,1.0,1137742
MXIM,2014-11-11 00:00:00+00:00,25.100216623,25.3385367537,24.8448736258,25.2619338546,1179028,29.49,0.0,29.77,29.19,29.68,1.0,1179028
MXIM,2014-11-12 00:00:00+00:00,25.0661708901,25.1768195222,24.9640336912,25.0321251571,966069,29.45,0.0,29.58,29.33,29.41,1.0,966069
MXIM,2014-11-13 00:00:00+00:00,24.9384993915,25.3385367537,24.8618964923,25.1683080889,1660468,29.3,0.0,29.77,29.21,29.57,1.0,1660468
MXIM,2014-11-14 00:00:00+00:00,25.1683080889,25.2363995549,24.7257135605,25.0065908574,1254147,29.57,0.0,29.65,29.05,29.38,1.0,1254147
MXIM,2014-11-17 00:00:00+00:00,24.9980794242,25.1513703368,24.7172021273,25.0065908574,1677330,29.37,0.0,29.5501,29.04,29.38,1.0,1677330
MXIM,2014-11-18 00:00:00+00:00,25.1938423887,25.21102782,24.6782794476,24.8673191926,1705427,29.32,0.28,29.34,28.72,28.94,1.0,1705427
MXIM,2014-11-19 00:00:00+00:00,24.7298357417,25.2625841141,24.557981428,25.0993225161,3056282,28.78,0.0,29.4,28.58,29.21,1.0,3056282
MXIM,2014-11-20 00:00:00+00:00,24.7727993201,24.9478329386,24.5322892081,24.7126503103,1438589,28.83,0.0,29.0337,28.5501,28.76,1.0,1438589
MXIM,2014-11-21 00:00:00+00:00,24.8587264769,25.2453986828,24.747021173,25.185249673,1812565,28.93,0.0,29.38,28.8,29.31,1.0,1812565
MXIM,2014-11-24 00:00:00+00:00,24.9575427073,24.9704317808,24.4720542711,24.7040575946,1938838,29.045,0.0,29.06,28.48,28.75,1.0,1938838
MXIM,2014-11-25 00:00:00+00:00,24.8930973397,25.1938423887,24.8071701828,24.9016900554,2000536,28.97,0.0,29.32,28.87,28.98,1.0,2000536
MXIM,2014-11-26 00:00:00+00:00,25.5031801533,25.5375510161,24.8930973397,24.9102827711,3239561,29.68,0.0,29.72,28.97,28.99,1.0,3239561
MXIM,2014-11-28 00:00:00+00:00,25.4086602808,25.4945874376,25.1938423887,25.4945874376,1022486,29.57,0.0,29.67,29.32,29.67,1.0,1022486
MXIM,2014-12-01 00:00:00+00:00,25.0391735063,25.4688092906,24.9360609181,25.3656967024,2129316,29.14,0.0,29.64,29.02,29.52,1.0,2129316
