symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MYL,2014-10-02 00:00:00+00:00,46.5,51.0,45.12,45.17,15729393,46.5,0.0,51.0,45.12,45.17,1.0,15729393
MYL,2014-10-03 00:00:00+00:00,50.23,51.19,48.11,48.95,15981606,50.23,0.0,51.19,48.11,48.95,1.0,15981606
MYL,2014-10-06 00:00:00+00:00,50.98,52.1,50.41,50.62,7861753,50.98,0.0,52.1,50.41,50.62,1.0,7861753
MYL,2014-10-07 00:00:00+00:00,50.14,51.09,49.77,51.09,4062953,50.14,0.0,51.09,49.77,51.09,1.0,4062953
MYL,2014-10-08 00:00:00+00:00,51.23,51.33,49.352,50.29,3702986,51.23,0.0,51.33,49.352,50.29,1.0,3702986
MYL,2014-10-09 00:00:00+00:00,50.12,51.64,50.05,51.05,3551792,50.12,0.0,51.64,50.05,51.05,1.0,3551792
MYL,2014-10-10 00:00:00+00:00,49.35,50.46,49.19,50.1,2976606,49.35,0.0,50.46,49.19,50.1,1.0,2976606
MYL,2014-10-13 00:00:00+00:00,47.64,49.74,47.57,49.26,3242530,47.64,0.0,49.74,47.57,49.26,1.0,3242530
MYL,2014-10-14 00:00:00+00:00,46.82,48.08,46.73,47.75,4443959,46.82,0.0,48.08,46.73,47.75,1.0,4443959
MYL,2014-10-15 00:00:00+00:00,47.38,48.13,45.1,46.1,7089367,47.38,0.0,48.13,45.1,46.1,1.0,7089367
MYL,2014-10-16 00:00:00+00:00,48.77,49.2023,46.23,46.45,5011150,48.77,0.0,49.2023,46.23,46.45,1.0,5011150
MYL,2014-10-17 00:00:00+00:00,49.46,50.12,48.63,49.95,4412364,49.46,0.0,50.12,48.63,49.95,1.0,4412364
MYL,2014-10-20 00:00:00+00:00,50.31,50.39,48.67,49.48,5946582,50.31,0.0,50.39,48.67,49.48,1.0,5946582
MYL,2014-10-21 00:00:00+00:00,52.045,52.12,50.64,50.84,5281961,52.045,0.0,52.12,50.64,50.84,1.0,5281961
MYL,2014-10-22 00:00:00+00:00,50.36,52.18,50.33,52.0,6964559,50.36,0.0,52.18,50.33,52.0,1.0,6964559
MYL,2014-10-23 00:00:00+00:00,50.43,51.55,50.4,51.24,3349756,50.43,0.0,51.55,50.4,51.24,1.0,3349756
MYL,2014-10-24 00:00:00+00:00,51.22,51.41,50.45,50.65,3396435,51.22,0.0,51.41,50.45,50.65,1.0,3396435
MYL,2014-10-27 00:00:00+00:00,50.95,51.39,50.3,51.2,2771522,50.95,0.0,51.39,50.3,51.2,1.0,2771522
MYL,2014-10-28 00:00:00+00:00,51.71,51.76,51.0,51.14,2011417,51.71,0.0,51.76,51.0,51.14,1.0,2011417
MYL,2014-10-29 00:00:00+00:00,50.85,51.94,50.63,51.64,3077088,50.85,0.0,51.94,50.63,51.64,1.0,3077088
MYL,2014-10-30 00:00:00+00:00,52.37,52.46,50.49,50.49,3191064,52.37,0.0,52.46,50.49,50.49,1.0,3191064
MYL,2014-10-31 00:00:00+00:00,53.55,56.1,53.15,54.44,9047346,53.55,0.0,56.1,53.15,54.44,1.0,9047346
MYL,2014-11-03 00:00:00+00:00,53.59,54.0,53.2503,53.6,3313445,53.59,0.0,54.0,53.2503,53.6,1.0,3313445
MYL,2014-11-04 00:00:00+00:00,53.75,53.99,53.37,53.55,3847577,53.75,0.0,53.99,53.37,53.55,1.0,3847577
MYL,2014-11-05 00:00:00+00:00,53.47,54.41,53.39,53.99,2550564,53.47,0.0,54.41,53.39,53.99,1.0,2550564
MYL,2014-11-06 00:00:00+00:00,53.5,53.89,52.93,53.89,2966099,53.5,0.0,53.89,52.93,53.89,1.0,2966099
MYL,2014-11-07 00:00:00+00:00,53.11,53.59,52.33,53.58,4126366,53.11,0.0,53.59,52.33,53.58,1.0,4126366
