symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
NTAP,2014-10-02 00:00:00+00:00,37.1640594991,37.3167392989,36.5533403,37.1011913463,1967829,41.38,0.0,41.55,40.7,41.31,1.0,1967829
NTAP,2014-10-03 00:00:00+00:00,37.3347016283,37.5951554044,37.0832290169,37.2628523107,1589102,41.57,0.0,41.86,41.29,41.49,1.0,1589102
NTAP,2014-10-06 00:00:00+00:00,36.8137940761,37.4334944399,36.8048129114,37.3257204636,2494330,40.99,0.0,41.68,40.98,41.56,1.0,2494330
NTAP,2014-10-07 00:00:00+00:00,35.7854507188,36.7060200998,35.6642049954,36.5174156412,4328821,39.845,0.0,40.87,39.71,40.66,1.0,4328821
NTAP,2014-10-08 00:00:00+00:00,36.2883959416,36.3515218788,35.5759746495,35.9096403179,3225245,40.24,0.165,40.31,39.45,39.82,1.0,3225245
NTAP,2014-10-09 00:00:00+00:00,35.6841905419,36.5408996907,35.6571365688,36.2342879953,2402007,39.57,0.0,40.52,39.54,40.18,1.0,2402007
NTAP,2014-10-10 00:00:00+00:00,35.0890031334,35.9727662552,35.0799851423,35.5579386674,3089757,38.91,0.0,39.89,38.9,39.43,1.0,3089757
NTAP,2014-10-13 00:00:00+00:00,34.4667617517,35.2513269721,34.4577437606,34.9807872409,2649095,38.22,0.0,39.09,38.21,38.79,1.0,2649095
NTAP,2014-10-14 00:00:00+00:00,34.7463194739,35.0348951871,34.4577437606,34.6561395635,3990367,38.53,0.0,38.85,38.21,38.43,1.0,3990367
NTAP,2014-10-15 00:00:00+00:00,34.998823223,35.1250750975,34.0293891863,34.2232759936,4422499,38.81,0.0,38.95,37.735,37.95,1.0,4422499
NTAP,2014-10-16 00:00:00+00:00,34.6290855904,35.458740766,34.0519341639,34.2503299667,3313631,38.4,0.0,39.32,37.76,37.98,1.0,3313631
NTAP,2014-10-17 00:00:00+00:00,35.007841214,35.5038307212,34.8274813932,34.8725713484,2955902,38.82,0.0,39.37,38.62,38.67,1.0,2955902
NTAP,2014-10-20 00:00:00+00:00,34.7553374649,34.8094454111,33.7633584506,34.4938157248,4809747,38.54,0.0,38.6,37.44,38.25,1.0,4809747
NTAP,2014-10-21 00:00:00+00:00,35.4136508108,35.4857947391,34.8364993843,34.9086433126,2492491,39.27,0.0,39.35,38.63,38.71,1.0,2492491
NTAP,2014-10-22 00:00:00+00:00,35.7653524613,36.2974139326,35.4136508108,35.458740766,3225939,39.66,0.0,40.25,39.27,39.32,1.0,3225939
NTAP,2014-10-23 00:00:00+00:00,36.3425038878,36.6851875473,35.8735683538,36.1711620581,2377931,40.3,0.0,40.68,39.78,40.11,1.0,2377931
NTAP,2014-10-24 00:00:00+00:00,36.7212595114,36.7392954935,35.9998202283,36.4867917444,1981378,40.72,0.0,40.74,39.92,40.46,1.0,1981378
NTAP,2014-10-27 00:00:00+00:00,36.5679536638,36.9286733053,36.387593843,36.5950076369,1668759,40.55,0.0,40.95,40.35,40.58,1.0,1668759
NTAP,2014-10-28 00:00:00+00:00,37.4246628125,37.4246628125,36.7888944442,36.9106373233,2351378,41.5,0.0,41.5,40.795,40.93,1.0,2351378
NTAP,2014-10-29 00:00:00+00:00,37.31644692,37.9567242838,37.2893929469,37.4697527677,2780600,41.38,0.0,42.09,41.35,41.55,1.0,2780600
NTAP,2014-10-30 00:00:00+00:00,37.9747602659,38.0649401763,37.1721590634,37.1721590634,1831102,42.11,0.0,42.21,41.22,41.22,1.0,1831102
NTAP,2014-10-31 00:00:00+00:00,38.5970016476,38.6511095938,38.2723539702,38.5428937014,2772975,42.8,0.0,42.86,42.44,42.74,1.0,2772975
NTAP,2014-11-03 00:00:00+00:00,38.8404874056,39.1831710651,38.4256598178,38.5970016476,2224151,43.07,0.0,43.45,42.61,42.8,1.0,2224151
NTAP,2014-11-04 00:00:00+00:00,38.7953974504,39.1651350831,38.6240556207,38.6781635669,1505138,43.02,0.0,43.43,42.83,42.89,1.0,1505138
NTAP,2014-11-05 00:00:00+00:00,38.9577212892,38.9937932533,38.3895878537,38.912631334,1906908,43.2,0.0,43.24,42.57,43.15,1.0,1906908
NTAP,2014-11-06 00:00:00+00:00,38.930667316,39.381566868,38.7322715132,38.9577212892,2082987,43.17,0.0,43.67,42.95,43.2,1.0,2082987
NTAP,2014-11-07 00:00:00+00:00,38.1461020956,38.9937932533,38.0559221852,38.6691455759,3620811,42.3,0.0,43.24,42.2,42.88,1.0,3620811
NTAP,2014-11-10 00:00:00+00:00,38.01083223,38.2994079433,37.7808734585,38.1280661136,3256594,42.15,0.0,42.47,41.895,42.28,1.0,3256594
NTAP,2014-11-11 00:00:00+00:00,38.1190481225,38.2723539702,37.8575263824,38.0739581673,2202462,42.27,0.0,42.44,41.98,42.22,1.0,2202462
NTAP,2014-11-12 00:00:00+00:00,38.1551200867,38.3084259343,37.8755623645,38.2903899523,5367110,42.31,0.0,42.48,42.0,42.46,1.0,5367110
NTAP,2014-11-13 00:00:00+00:00,37.0504161844,37.7944004451,36.4146478161,36.5499176817,9249111,41.085,0.0,41.91,40.38,40.53,1.0,9249111
NTAP,2014-11-14 00:00:00+00:00,38.1190481225,38.3895878537,37.0549251799,37.1360870992,4439544,42.27,0.0,42.57,41.09,41.18,1.0,4439544
