symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
NTES,2014-10-02 00:00:00+00:00,77.525774948,78.9745031778,76.5944496574,77.9114753209,286445,82.41,0.0,83.95,81.42,82.82,1.0,286445
NTES,2014-10-03 00:00:00+00:00,78.4288782601,79.3319815722,78.0808071919,78.2689537153,260114,83.37,0.0,84.33,83.0,83.2,1.0,260114
NTES,2014-10-06 00:00:00+00:00,79.1908716797,80.2256775581,78.3159903461,79.0873910918,301479,84.18,0.0,85.28,83.25,84.07,1.0,301479
NTES,2014-10-07 00:00:00+00:00,78.7110980451,80.1880482535,78.5511735003,78.7299126975,377733,83.67,0.0,85.24,83.5,83.69,1.0,377733
NTES,2014-10-08 00:00:00+00:00,79.9622724254,80.8183391067,77.751550776,79.0873910918,806319,85.0,0.0,85.91,82.65,84.07,1.0,806319
NTES,2014-10-09 00:00:00+00:00,79.9622724254,81.730849745,79.8681991638,80.1974555796,672351,85.0,0.0,86.88,84.9,85.25,1.0,672351
NTES,2014-10-10 00:00:00+00:00,78.4759148909,81.4580372861,77.8456240377,80.3761947768,929849,83.42,0.0,86.59,82.75,85.44,1.0,929849
NTES,2014-10-13 00:00:00+00:00,78.0902145181,80.0281237086,77.6104408835,78.2783610414,809596,83.01,0.0,85.07,82.5,83.21,1.0,809596
NTES,2014-10-14 00:00:00+00:00,80.7713024759,82.3141039674,78.1278438227,78.9180592208,567970,85.86,0.0,87.5,83.05,83.89,1.0,567970
NTES,2014-10-15 00:00:00+00:00,83.7157955664,84.1579398962,78.8992445685,80.0751603395,1132301,88.99,0.0,89.46,83.87,85.12,1.0,1132301
NTES,2014-10-16 00:00:00+00:00,82.8785435374,83.5464636953,80.8277464329,81.6932204403,816490,88.1,0.0,88.81,85.92,86.84,1.0,816490
NTES,2014-10-17 00:00:00+00:00,82.8409142328,84.5624549214,82.3893625767,83.8380908065,315844,88.06,0.0,89.89,87.58,89.12,1.0,315844
NTES,2014-10-20 00:00:00+00:00,84.8540820326,85.2021531009,82.841008306,83.076097387,481856,90.2,0.0,90.57,88.0601,88.31,1.0,481856
NTES,2014-10-21 00:00:00+00:00,86.7543619185,89.3413766146,86.16170037,86.16170037,588670,92.22,0.0,94.97,91.59,91.59,1.0,588670
NTES,2014-10-22 00:00:00+00:00,86.5191787643,88.6217161628,86.331032241,86.6320666783,355647,91.97,0.0,94.205,91.77,92.09,1.0,355647
NTES,2014-10-23 00:00:00+00:00,86.6414740045,88.1748681698,86.500364112,87.5163553381,457265,92.1,0.0,93.73,91.95,93.03,1.0,457265
NTES,2014-10-24 00:00:00+00:00,87.2435428792,87.902055711,85.4185216027,86.0017758251,307296,92.74,0.0,93.44,90.8,91.42,1.0,307296
NTES,2014-10-27 00:00:00+00:00,86.5191787643,87.1306549652,85.380892298,86.3686615456,475249,91.97,0.0,92.62,90.76,91.81,1.0,475249
