symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
NVDA,2014-10-16 00:00:00+00:00,16.7675237035,16.9597016256,16.4216034438,16.4600390282,8777944,17.45,0.0,17.65,17.09,17.13,1.0,8777944
NVDA,2014-10-17 00:00:00+00:00,16.7386970152,17.1662928919,16.6714347425,16.9693105218,7268519,17.42,0.0,17.865,17.35,17.66,1.0,7268519
NVDA,2014-10-20 00:00:00+00:00,16.8828304568,17.0317683464,16.623390262,16.7386970152,5008404,17.57,0.0,17.725,17.3,17.42,1.0,5008404
NVDA,2014-10-21 00:00:00+00:00,17.6034976647,17.6227154569,16.9597016256,17.0077461062,8778272,18.32,0.0,18.34,17.65,17.7,1.0,8778272
NVDA,2014-10-22 00:00:00+00:00,17.1903151322,17.632324353,17.1903151322,17.5746709764,5987921,17.89,0.0,18.35,17.89,18.29,1.0,5987921
NVDA,2014-10-23 00:00:00+00:00,17.5698665283,17.6995866257,17.3632752621,17.4881909114,5367494,18.285,0.0,18.42,18.07,18.2,1.0,5367494
NVDA,2014-10-24 00:00:00+00:00,17.7572400024,17.8629378595,17.5698665283,17.6803688335,5254152,18.48,0.0,18.59,18.285,18.4,1.0,5254152
NVDA,2014-10-27 00:00:00+00:00,17.7668488985,17.8341111712,17.5554531842,17.7476311063,3627782,18.49,0.0,18.56,18.27,18.47,1.0,3627782
NVDA,2014-10-28 00:00:00+00:00,18.1896403271,18.2136625674,17.6995866257,17.718804418,4814453,18.93,0.0,18.955,18.42,18.44,1.0,4814453
NVDA,2014-10-29 00:00:00+00:00,18.0695291258,18.2184670154,17.9109823401,18.1127691583,4208504,18.805,0.0,18.96,18.64,18.85,1.0,4208504
NVDA,2014-10-30 00:00:00+00:00,17.9590268206,18.1031602622,17.7284133141,18.0262890933,4256451,18.69,0.0,18.84,18.45,18.76,1.0,4256451
NVDA,2014-10-31 00:00:00+00:00,18.7757829895,18.7853918856,18.2761203921,18.3722093531,6408266,19.54,0.0,19.55,19.02,19.12,1.0,6408266
NVDA,2014-11-03 00:00:00+00:00,19.092876561,19.275445587,18.9967875999,19.2081833143,7719851,19.87,0.0,20.06,19.77,19.99,1.0,7719851
NVDA,2014-11-04 00:00:00+00:00,19.3427078597,19.4099701325,18.9006986389,19.2177922104,9004886,20.13,0.0,20.2,19.67,20.0,1.0,9004886
NVDA,2014-11-05 00:00:00+00:00,19.3427078597,19.462819061,19.1985744182,19.458014613,8391257,20.13,0.0,20.255,19.98,20.25,1.0,8391257
NVDA,2014-11-06 00:00:00+00:00,19.4291879247,19.458014613,19.0832676649,19.3811434442,9852201,20.22,0.0,20.25,19.86,20.17,1.0,9852201
NVDA,2014-11-07 00:00:00+00:00,19.0160053922,19.8768663942,18.8238274701,19.6501925351,11269962,19.79,0.0,20.6859,19.59,20.45,1.0,11269962
NVDA,2014-11-10 00:00:00+00:00,19.2370100026,19.3620217409,18.9487431194,18.9967875999,7334724,20.02,0.0,20.1501,19.72,19.77,1.0,7334724
NVDA,2014-11-11 00:00:00+00:00,19.0063964961,19.2274011065,18.8382408142,19.1217032493,5325270,19.78,0.0,20.01,19.605,19.9,1.0,5325270
NVDA,2014-11-12 00:00:00+00:00,18.8766763986,18.9871787038,18.6220406518,18.9391342233,5114569,19.645,0.0,19.76,19.38,19.71,1.0,5114569
NVDA,2014-11-13 00:00:00+00:00,18.7853918856,18.9766089181,18.6316495479,18.9487431194,5633239,19.55,0.0,19.749,19.39,19.72,1.0,5633239
NVDA,2014-11-14 00:00:00+00:00,19.0112009441,19.0160053922,18.6172362038,18.8046096778,4006181,19.785,0.0,19.79,19.375,19.57,1.0,4006181
NVDA,2014-11-17 00:00:00+00:00,18.9247208792,19.1313121454,18.8046096778,18.9295253272,3968295,19.695,0.0,19.91,19.57,19.7,1.0,3968295
NVDA,2014-11-18 00:00:00+00:00,19.3811434442,19.4291879247,18.8910897428,18.9391342233,5194312,20.17,0.0,20.22,19.66,19.71,1.0,5194312
NVDA,2014-11-19 00:00:00+00:00,19.3090767234,19.4538224259,19.1064327398,19.3959241449,6007542,20.01,0.085,20.16,19.8,20.1,1.0,6007542
NVDA,2014-11-20 00:00:00+00:00,19.627517269,19.646816696,19.1160824533,19.1739807343,5524226,20.34,0.0,20.36,19.81,19.87,1.0,5524226
NVDA,2014-11-21 00:00:00+00:00,19.7384889743,19.8301612526,19.569618988,19.8012121121,4974441,20.455,0.0,20.55,20.28,20.52,1.0,4974441
NVDA,2014-11-24 00:00:00+00:00,19.8591103931,19.9459578147,19.7047149771,19.7819126851,3400125,20.58,0.0,20.67,20.42,20.5,1.0,3400125
NVDA,2014-11-25 00:00:00+00:00,19.8494606796,19.9942063822,19.7819126851,19.8205115391,4756021,20.57,0.0,20.72,20.5,20.54,1.0,4756021
NVDA,2014-11-26 00:00:00+00:00,20.1823757956,20.2065000793,19.7240144041,19.7336641176,5481634,20.915,0.0,20.94,20.44,20.45,1.0,5481634
NVDA,2014-11-28 00:00:00+00:00,20.2354492198,20.3512457819,20.07410601,20.2547486468,3120781,20.97,0.0,21.09,20.8028,20.99,1.0,3120781
NVDA,2014-12-01 00:00:00+00:00,19.8591103931,20.2643983604,19.8301612526,20.1486017983,4751507,20.58,0.0,21.0,20.55,20.88,1.0,4751507
NVDA,2014-12-02 00:00:00+00:00,19.8880595337,19.9749069552,19.6564664095,19.8398109661,6148798,20.61,0.0,20.7,20.37,20.56,1.0,6148798
NVDA,2014-12-03 00:00:00+00:00,20.3994943494,20.4091440629,19.9266583877,19.9845566687,7111426,21.14,0.0,21.15,20.65,20.71,1.0,7111426
NVDA,2014-12-04 00:00:00+00:00,20.2161497928,20.4477429169,20.0810538038,20.3705452089,4665777,20.95,0.0,21.19,20.81,21.11,1.0,4665777
NVDA,2014-12-05 00:00:00+00:00,20.3319463549,20.4380932034,20.2161497928,20.2257995063,4142028,21.07,0.0,21.18,20.95,20.96,1.0,4142028
NVDA,2014-12-08 00:00:00+00:00,20.0714040903,20.505641198,19.9073589607,20.3029972144,5676710,20.8,0.0,21.25,20.63,21.04,1.0,5676710
NVDA,2014-12-09 00:00:00+00:00,20.0038560957,20.0521046632,19.646816696,19.9459578147,5986188,20.73,0.0,20.78,20.36,20.67,1.0,5986188
NVDA,2014-12-10 00:00:00+00:00,19.5599692745,20.0231555227,19.5358449907,19.9459578147,5117856,20.27,0.0,20.75,20.245,20.67,1.0,5117856
NVDA,2014-12-11 00:00:00+00:00,19.550319561,19.8108618256,19.511720707,19.6757658366,3391302,20.26,0.0,20.53,20.22,20.39,1.0,3391302
NVDA,2014-12-12 00:00:00+00:00,18.9423876102,19.4634721394,18.9230881832,19.2897772964,8103662,19.63,0.0,20.17,19.61,19.99,1.0,8103662
NVDA,2014-12-15 00:00:00+00:00,18.8844893291,19.511720707,18.8275560195,19.1643310208,6367418,19.57,0.0,20.22,19.511,19.86,1.0,6367418
NVDA,2014-12-16 00:00:00+00:00,18.6673707753,19.1643310208,18.6625459185,18.8651899021,4632726,19.345,0.0,19.86,19.34,19.55,1.0,4632726
NVDA,2014-12-17 00:00:00+00:00,19.4345229989,19.4634721394,18.4309527944,19.0485344587,8639935,20.14,0.0,20.17,19.1,19.74,1.0,8639935
NVDA,2014-12-18 00:00:00+00:00,19.511720707,19.9073589607,19.3283761504,19.6757658366,5653939,20.22,0.0,20.63,20.03,20.39,1.0,5653939
NVDA,2014-12-19 00:00:00+00:00,19.7047149771,19.7819126851,19.4634721394,19.646816696,8138230,20.42,0.0,20.5,20.17,20.36,1.0,8138230
NVDA,2014-12-22 00:00:00+00:00,20.0521046632,20.0521046632,19.6178675555,19.6854155501,3724357,20.78,0.0,20.78,20.33,20.4,1.0,3724357
NVDA,2014-12-23 00:00:00+00:00,19.9266583877,20.3029972144,19.9025341039,20.2065000793,2731983,20.65,0.0,21.04,20.625,20.94,1.0,2731983
NVDA,2014-12-24 00:00:00+00:00,19.8494606796,19.999031239,19.8301612526,19.9749069552,1141128,20.57,0.0,20.725,20.55,20.7,1.0,1141128
NVDA,2014-12-26 00:00:00+00:00,19.8687601067,19.9749069552,19.8012121121,19.8494606796,1316100,20.59,0.0,20.7,20.52,20.57,1.0,1316100
