symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
NXPI,2014-10-20 00:00:00+00:00,60.6082969441,61.0320622723,58.8343955701,59.2778709136,2787693,61.5,0.0,61.93,59.7,60.15,1.0,2787693
NXPI,2014-10-21 00:00:00+00:00,63.7027693409,64.1462446844,61.899302944,62.4216183486,5715675,64.64,0.0,65.09,62.81,63.34,1.0,5715675
NXPI,2014-10-22 00:00:00+00:00,63.2001639516,64.9149352798,62.9932087913,64.4418949134,4537388,64.13,0.0,65.87,63.92,65.39,1.0,4537388
NXPI,2014-10-23 00:00:00+00:00,63.2494389898,65.043050379,60.7561220586,65.0331953714,10052705,64.18,0.0,66.0,61.65,65.99,1.0,10052705
NXPI,2014-10-24 00:00:00+00:00,64.5798650203,64.9435148019,63.2100189592,63.5746542417,3889722,65.53,0.0,65.899,64.14,64.51,1.0,3889722
NXPI,2014-10-27 00:00:00+00:00,64.8065301958,64.9937753409,62.8454822269,64.4221848981,2694160,65.76,0.0,65.95,63.7701,65.37,1.0,2694160
NXPI,2014-10-28 00:00:00+00:00,66.5902865774,66.6691266385,64.4714599363,64.4714599363,3246807,67.57,0.0,67.65,65.42,65.42,1.0,3246807
NXPI,2014-10-29 00:00:00+00:00,66.0778261805,66.9351132945,64.5897200279,66.3143463637,2767840,67.05,0.0,67.9199,65.54,67.29,1.0,2767840
NXPI,2014-10-30 00:00:00+00:00,64.4616049287,65.9102910507,62.599008486,65.4865257225,5669665,65.41,0.0,66.88,63.52,66.45,1.0,5669665
NXPI,2014-10-31 00:00:00+00:00,67.6644824094,68.590853127,66.225651295,66.816951753,5256967,68.66,0.0,69.6,67.2,67.8,1.0,5256967
NXPI,2014-11-03 00:00:00+00:00,68.2459278598,68.9259233865,67.3295107,67.4378172339,3819560,69.25,0.0,69.94,68.3201,68.43,1.0,3819560
NXPI,2014-11-04 00:00:00+00:00,68.6598381804,68.7978082873,67.2505720889,67.5856423484,3271518,69.67,0.0,69.81,68.24,68.58,1.0,3271518
NXPI,2014-11-05 00:00:00+00:00,72.296335997,72.5230011726,69.477803814,69.477803814,8166222,73.36,0.0,73.59,70.5,70.5,1.0,8166222
NXPI,2014-11-06 00:00:00+00:00,72.404741081,73.8534272031,72.0893808367,72.0893808367,4717988,73.47,0.0,74.94,73.15,73.15,1.0,4717988
NXPI,2014-11-07 00:00:00+00:00,72.4737261344,73.1241566382,70.7490997986,72.4441611115,3643253,73.54,0.0,74.2,71.79,73.51,1.0,3643253
NXPI,2014-11-10 00:00:00+00:00,73.3114017833,73.6563270504,72.6314062566,72.8482164245,2221254,74.39,0.0,74.74,73.7,73.92,1.0,2221254
NXPI,2014-11-11 00:00:00+00:00,72.7693763634,73.587341997,72.0696708215,72.7595213558,2388254,73.84,0.0,74.67,73.13,73.83,1.0,2388254
NXPI,2014-11-12 00:00:00+00:00,72.3357560276,72.6708262871,71.1728651269,72.3653210505,2141109,73.4,0.0,73.74,72.22,73.43,1.0,2141109
NXPI,2014-11-13 00:00:00+00:00,71.5276454017,73.7154570962,70.9757649742,72.4343061039,2252197,72.58,0.0,74.8,72.02,73.5,1.0,2252197
NXPI,2014-11-14 00:00:00+00:00,72.6609712795,72.7792313711,70.093741791,71.4290953253,2036908,73.73,0.0,73.85,71.125,72.48,1.0,2036908
NXPI,2014-11-17 00:00:00+00:00,73.291691768,73.8632822107,72.7201013253,72.7398113405,3290956,74.37,0.0,74.95,73.79,73.81,1.0,3290956
NXPI,2014-11-18 00:00:00+00:00,73.4690819054,74.2279174932,72.7496663482,72.7989413863,3158817,74.55,0.0,75.32,73.82,73.87,1.0,3158817
NXPI,2014-11-19 00:00:00+00:00,71.9415557223,73.9815423023,71.8232956307,73.3015467756,2785659,73.0,0.0,75.07,72.88,74.38,1.0,2785659
NXPI,2014-11-20 00:00:00+00:00,73.0650265924,73.8337171878,70.7589548063,71.6557605009,2362215,74.14,0.0,74.92,71.8,72.71,1.0,2362215
NXPI,2014-11-21 00:00:00+00:00,73.7647321344,74.7403778901,72.7398113405,74.3757426076,3015545,74.85,0.0,75.84,73.81,75.47,1.0,3015545
NXPI,2014-11-24 00:00:00+00:00,75.0754481496,75.5879085465,73.4887919207,73.7844421497,3983080,76.18,0.0,76.7,74.57,74.87,1.0,3983080
NXPI,2014-11-25 00:00:00+00:00,75.0458831267,76.6719593862,74.8980580122,76.0708039206,8096411,76.15,0.0,77.8,76.0,77.19,1.0,8096411
NXPI,2014-11-26 00:00:00+00:00,76.7212344243,76.8690595388,74.5728427603,74.8783479969,3002434,77.85,0.0,78.0,75.67,75.98,1.0,3002434
NXPI,2014-11-28 00:00:00+00:00,76.6818143938,77.2040312483,75.8934137832,76.7212344243,1225784,77.81,0.0,78.3399,77.01,77.85,1.0,1225784
NXPI,2014-12-01 00:00:00+00:00,74.7797979206,76.8592045312,74.1195124092,76.5044242564,3352527,75.88,0.0,77.99,75.21,77.63,1.0,3352527
NXPI,2014-12-02 00:00:00+00:00,74.2673375237,74.6122627908,73.0650265924,74.0012523176,3598105,75.36,0.0,75.71,74.14,75.09,1.0,3598105
NXPI,2014-12-03 00:00:00+00:00,75.735733661,76.1299339664,74.6812478443,75.065593142,3674353,76.85,0.0,77.25,75.78,76.17,1.0,3674353
NXPI,2014-12-04 00:00:00+00:00,75.0360281191,76.0806589282,74.2476275084,75.9919638595,3259818,76.14,0.0,77.2,75.34,77.11,1.0,3259818
NXPI,2014-12-05 00:00:00+00:00,76.1102239511,76.4748592335,74.9177680275,75.3908083939,2495278,77.23,0.0,77.6,76.02,76.5,1.0,2495278
