symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ORLY,2014-10-02 00:00:00+00:00,150.95,151.48,149.47,149.47,533538,150.95,0.0,151.48,149.47,149.47,1.0,533538
ORLY,2014-10-03 00:00:00+00:00,153.22,153.7,151.21,151.46,415819,153.22,0.0,153.7,151.21,151.46,1.0,415819
ORLY,2014-10-06 00:00:00+00:00,152.63,154.4,152.29,153.21,361738,152.63,0.0,154.4,152.29,153.21,1.0,361738
ORLY,2014-10-07 00:00:00+00:00,151.31,152.78,151.13,151.64,457767,151.31,0.0,152.78,151.13,151.64,1.0,457767
ORLY,2014-10-08 00:00:00+00:00,153.09,153.48,150.83,151.66,712538,153.09,0.0,153.48,150.83,151.66,1.0,712538
ORLY,2014-10-09 00:00:00+00:00,150.06,153.855,150.06,153.11,780619,150.06,0.0,153.855,150.06,153.11,1.0,780619
ORLY,2014-10-10 00:00:00+00:00,151.55,152.09,149.83,149.85,861355,151.55,0.0,152.09,149.83,149.85,1.0,861355
ORLY,2014-10-13 00:00:00+00:00,148.53,151.79,148.5,151.31,780019,148.53,0.0,151.79,148.5,151.31,1.0,780019
ORLY,2014-10-14 00:00:00+00:00,149.0,150.17,148.85,149.78,684862,149.0,0.0,150.17,148.85,149.78,1.0,684862
ORLY,2014-10-15 00:00:00+00:00,149.62,150.49,146.22,147.17,1389125,149.62,0.0,150.49,146.22,147.17,1.0,1389125
ORLY,2014-10-16 00:00:00+00:00,149.46,151.3,146.82,147.83,913268,149.46,0.0,151.3,146.82,147.83,1.0,913268
ORLY,2014-10-17 00:00:00+00:00,152.085,152.74,149.4,150.27,858153,152.085,0.0,152.74,149.4,150.27,1.0,858153
ORLY,2014-10-20 00:00:00+00:00,154.96,155.23,151.874,152.27,960530,154.96,0.0,155.23,151.874,152.27,1.0,960530
ORLY,2014-10-21 00:00:00+00:00,158.9,159.2,155.51,156.3,917241,158.9,0.0,159.2,155.51,156.3,1.0,917241
ORLY,2014-10-22 00:00:00+00:00,157.36,160.78,157.18,158.95,1173805,157.36,0.0,160.78,157.18,158.95,1.0,1173805
ORLY,2014-10-23 00:00:00+00:00,167.44,169.13,163.72,165.0,1886938,167.44,0.0,169.13,163.72,165.0,1.0,1886938
ORLY,2014-10-24 00:00:00+00:00,170.48,170.89,166.88,167.73,1066789,170.48,0.0,170.89,166.88,167.73,1.0,1066789
ORLY,2014-10-27 00:00:00+00:00,171.3,172.0,170.01,170.69,803044,171.3,0.0,172.0,170.01,170.69,1.0,803044
ORLY,2014-10-28 00:00:00+00:00,173.33,173.34,171.51,171.59,855500,173.33,0.0,173.34,171.51,171.59,1.0,855500
ORLY,2014-10-29 00:00:00+00:00,174.06,174.14,172.65,173.82,712055,174.06,0.0,174.14,172.65,173.82,1.0,712055
ORLY,2014-10-30 00:00:00+00:00,174.9,175.8,172.771,173.16,587304,174.9,0.0,175.8,172.771,173.16,1.0,587304
ORLY,2014-10-31 00:00:00+00:00,175.88,177.0,175.0,177.0,883635,175.88,0.0,177.0,175.0,177.0,1.0,883635
ORLY,2014-11-03 00:00:00+00:00,175.86,176.4625,175.37,175.65,2862657,175.86,0.0,176.4625,175.37,175.65,1.0,2862657
