symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PAYX,2014-10-02 00:00:00+00:00,36.8349834501,37.0901322618,36.6563792819,37.0646173806,1976382,43.31,0.0,43.61,43.1,43.58,1.0,1976382
PAYX,2014-10-03 00:00:00+00:00,37.6939844495,37.7790340534,37.0986372222,37.2177066676,2671477,44.32,0.0,44.42,43.62,43.76,1.0,2671477
PAYX,2014-10-06 00:00:00+00:00,38.0001630235,38.0001630235,37.6769745287,37.8470737365,2685250,44.68,0.0,44.68,44.3,44.5,1.0,2685250
PAYX,2014-10-07 00:00:00+00:00,37.3197661923,37.9576382216,37.3112612319,37.9151134196,1948623,43.88,0.0,44.63,43.87,44.58,1.0,1948623
PAYX,2014-10-08 00:00:00+00:00,37.7109943702,37.7790340534,37.0901322618,37.2772413903,2813589,44.34,0.0,44.42,43.61,43.83,1.0,2813589
PAYX,2014-10-09 00:00:00+00:00,37.2772413903,37.92361838,37.1836868261,37.7024894099,2599486,43.83,0.0,44.59,43.72,44.33,1.0,2599486
PAYX,2014-10-10 00:00:00+00:00,36.920033054,37.574915004,36.9030231332,37.3367761131,2162582,43.41,0.0,44.18,43.39,43.9,1.0,2162582
PAYX,2014-10-13 00:00:00+00:00,36.8094685689,37.3877208258,36.7754487273,37.1241521033,2421419,43.28,0.0,43.9599,43.24,43.65,1.0,2421419
PAYX,2014-10-14 00:00:00+00:00,37.030597539,37.3963108358,36.9285380143,36.9285380143,2681533,43.54,0.0,43.97,43.42,43.42,1.0,2681533
PAYX,2014-10-15 00:00:00+00:00,36.6138544799,36.8264784897,35.7718634013,36.5798346383,3774404,43.05,0.0,43.3,42.06,43.01,1.0,3774404
PAYX,2014-10-16 00:00:00+00:00,36.6478743215,36.8179735293,35.9929923714,36.1545866188,2411780,43.09,0.0,43.29,42.32,42.51,1.0,2411780
PAYX,2014-10-17 00:00:00+00:00,36.9923252173,37.3112612319,36.6566344307,36.9285380143,2111832,43.495,0.0,43.87,43.1003,43.42,1.0,2111832
PAYX,2014-10-20 00:00:00+00:00,37.2092017072,37.226211628,36.8519933708,36.9115280936,1756966,43.75,0.0,43.77,43.33,43.4,1.0,1756966
PAYX,2014-10-21 00:00:00+00:00,38.0001630235,38.0596977462,37.0901322618,37.3452810735,2201937,44.68,0.0,44.75,43.61,43.91,1.0,2201937
PAYX,2014-10-22 00:00:00+00:00,38.0256779047,38.3233515183,37.9831531027,38.1702622313,2180174,44.71,0.0,45.06,44.66,44.88,1.0,2180174
PAYX,2014-10-23 00:00:00+00:00,38.2808267164,38.663549934,38.2468068748,38.4849457658,1930014,45.01,0.0,45.46,44.97,45.25,1.0,1930014
PAYX,2014-10-24 00:00:00+00:00,38.6890648151,38.7485995379,38.2808267164,38.4509259242,1285071,45.49,0.0,45.56,45.01,45.21,1.0,1285071
PAYX,2014-10-27 00:00:00+00:00,38.9272037061,39.0675355525,38.5614904093,38.7060747359,1520989,45.77,0.0,45.935,45.34,45.51,1.0,1520989
PAYX,2014-10-28 00:00:00+00:00,39.122817795,39.2546446811,38.8846789041,39.122817795,2542897,46.0,0.0,46.155,45.72,46.0,1.0,2542897
PAYX,2014-10-29 00:00:00+00:00,39.122817795,39.3099269236,38.7485995379,39.1483326762,1618187,46.0,0.0,46.22,45.56,46.03,1.0,1618187
PAYX,2014-10-30 00:00:00+00:00,39.5735806957,39.7279305229,38.9664713754,38.9904813485,2420857,46.15,0.38,46.33,45.442,45.47,1.0,2420857
PAYX,2014-10-31 00:00:00+00:00,40.2510049373,40.2938798893,39.9423052829,40.2424299469,3234658,46.94,0.0,46.99,46.58,46.93,1.0,3234658
PAYX,2014-11-03 00:00:00+00:00,40.3539048221,40.5759970735,40.1995549949,40.1995549949,2257294,47.06,0.0,47.319,46.88,46.88,1.0,2257294
PAYX,2014-11-04 00:00:00+00:00,40.5168296397,40.8341042845,40.3196048605,40.4396547261,3440190,47.25,0.0,47.62,47.02,47.16,1.0,3440190
PAYX,2014-11-05 00:00:00+00:00,40.9627291405,41.0613415301,40.6283045149,40.7912293325,2679196,47.77,0.0,47.885,47.38,47.57,1.0,2679196
PAYX,2014-11-06 00:00:00+00:00,40.7912293325,41.3314537277,40.7569293709,40.9798791213,3087464,47.57,0.0,48.2,47.53,47.79,1.0,3087464
PAYX,2014-11-07 00:00:00+00:00,40.5854295629,40.8598292557,40.4139297549,40.7569293709,3491562,47.33,0.0,47.65,47.13,47.53,1.0,3491562
PAYX,2014-11-10 00:00:00+00:00,40.7312043997,40.7998043229,40.5339796205,40.6969044381,1721512,47.5,0.0,47.58,47.27,47.46,1.0,1721512
