symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PCAR,2014-10-02 00:00:00+00:00,47.3362113777,47.6514542856,46.539808242,46.589583438,2922768,57.06,0.0,57.44,56.1,56.16,1.0,2922768
PCAR,2014-10-03 00:00:00+00:00,48.0413599874,48.1657979774,47.4523535016,47.4523535016,2831826,57.91,0.0,58.06,57.2,57.2,1.0,2831826
PCAR,2014-10-06 00:00:00+00:00,48.3731946273,48.5557036792,48.0994310494,48.1657979774,2604961,58.31,0.0,58.53,57.98,58.06,1.0,2604961
PCAR,2014-10-07 00:00:00+00:00,47.0956312638,48.2072773074,47.0790395318,48.0828393174,2641202,56.77,0.0,58.11,56.75,57.96,1.0,2641202
PCAR,2014-10-08 00:00:00+00:00,48.7382127311,48.8004317261,46.7803883559,47.0209684698,2783153,58.75,0.0,58.825,56.39,56.68,1.0,2783153
PCAR,2014-10-09 00:00:00+00:00,47.6182708216,48.8709465871,47.427382945,47.6929336155,3410053,57.4,0.0,58.91,57.1699,57.49,1.0,3410053
PCAR,2014-10-10 00:00:00+00:00,46.8550511499,47.8505550695,46.8384594179,47.4689452336,1964462,56.48,0.0,57.68,56.46,57.22,1.0,1964462
PCAR,2014-10-13 00:00:00+00:00,46.1167190762,47.2449568517,46.0835356122,46.8882346139,1657128,55.59,0.0,56.95,55.55,56.52,1.0,1657128
PCAR,2014-10-14 00:00:00+00:00,47.3445072437,47.8754426675,46.473441314,46.581287572,1727029,57.07,0.0,57.71,56.02,56.15,1.0,1727029
PCAR,2014-10-15 00:00:00+00:00,47.3445072437,47.6070714025,45.9093224262,46.7720924899,3408343,57.07,0.0,57.3865,55.34,56.38,1.0,3408343
PCAR,2014-10-16 00:00:00+00:00,48.1575021114,48.4312656893,46.456849582,46.7389090259,2318813,58.05,0.0,58.38,56.0,56.34,1.0,2318813
PCAR,2014-10-17 00:00:00+00:00,48.4478574213,49.078343237,48.2321649053,48.5225202152,2658383,58.4,0.0,59.16,58.14,58.49,1.0,2658383
PCAR,2014-10-20 00:00:00+00:00,48.0496558534,48.4893367512,47.7136732805,48.2653483693,2032646,57.92,0.0,58.45,57.515,58.18,1.0,2032646
PCAR,2014-10-21 00:00:00+00:00,49.2774440209,49.3272192169,48.1906855754,48.3151235653,2373224,59.4,0.0,59.46,58.09,58.24,1.0,2373224
PCAR,2014-10-22 00:00:00+00:00,49.235964691,49.4972844699,48.9373135151,49.3935861449,3954312,59.35,0.0,59.665,58.99,59.54,1.0,3954312
PCAR,2014-10-23 00:00:00+00:00,50.2563562086,50.4554569925,49.6175745268,49.8000835787,1836392,60.58,0.0,60.82,59.81,60.03,1.0,1836392
PCAR,2014-10-24 00:00:00+00:00,50.9366172203,51.0071320813,50.1319182186,50.4637528585,1830719,61.4,0.0,61.485,60.43,60.83,1.0,1830719
PCAR,2014-10-27 00:00:00+00:00,50.8453626943,50.9532089523,50.2065810126,50.5218239205,2776420,61.29,0.0,61.42,60.52,60.9,1.0,2776420
PCAR,2014-10-28 00:00:00+00:00,52.2224764498,52.4879441617,51.4011857161,51.9404170059,3468087,62.95,0.0,63.27,61.96,62.61,1.0,3468087
PCAR,2014-10-29 00:00:00+00:00,52.5543110897,53.1682051734,52.1229260578,52.2390681818,2450129,63.35,0.0,64.09,62.83,62.97,1.0,2450129
PCAR,2014-10-30 00:00:00+00:00,52.9691043895,53.0769506475,50.1236223526,50.1236223526,1979078,63.85,0.0,63.98,60.42,60.42,1.0,1979078
PCAR,2014-10-31 00:00:00+00:00,54.188596691,54.9269287648,53.3092348954,54.9269287648,3135245,65.32,0.0,66.21,64.26,66.21,1.0,3135245
PCAR,2014-11-03 00:00:00+00:00,54.246667753,54.6531651869,53.8401703192,54.0890462991,1991882,65.39,0.0,65.88,64.9,65.2,1.0,1991882
PCAR,2014-11-04 00:00:00+00:00,54.246667753,54.4208809389,53.8484661852,53.8816496492,2209505,65.39,0.0,65.6,64.91,64.95,1.0,2209505
PCAR,2014-11-05 00:00:00+00:00,54.7112362488,55.6818525705,54.5785023929,55.1260295487,2066649,65.95,0.0,67.12,65.79,66.45,1.0,2066649
PCAR,2014-11-06 00:00:00+00:00,55.2255799406,55.3666096626,54.6033899909,54.7858990428,2189178,66.57,0.0,66.74,65.82,66.04,1.0,2189178
PCAR,2014-11-07 00:00:00+00:00,55.5408228485,55.5740063125,54.9932956927,55.4661600545,1298496,66.95,0.0,66.99,66.29,66.86,1.0,1298496
PCAR,2014-11-10 00:00:00+00:00,55.4412724566,55.5823021785,55.1592130127,55.5823021785,1507213,66.83,0.0,67.0,66.49,67.0,1.0,1507213
PCAR,2014-11-11 00:00:00+00:00,55.1841006107,55.4744559205,54.9186328988,55.3334261986,1561279,66.52,0.0,66.87,66.2,66.7,1.0,1561279
PCAR,2014-11-12 00:00:00+00:00,55.6818525705,55.8066997735,54.7663064146,55.065939702,1214518,66.9,0.22,67.05,65.8,66.16,1.0,1214518
PCAR,2014-11-13 00:00:00+00:00,55.3073109612,55.8899312422,55.1658174644,55.8066997735,1437936,66.45,0.0,67.15,66.28,67.05,1.0,1437936
PCAR,2014-11-14 00:00:00+00:00,55.4571276049,55.6568831298,55.2407257863,55.4987433393,956473,66.63,0.0,66.87,66.37,66.68,1.0,956473
PCAR,2014-11-17 00:00:00+00:00,55.3988655768,55.5320359268,55.1741406113,55.4654507518,853869,66.56,0.0,66.72,66.29,66.64,1.0,853869
PCAR,2014-11-18 00:00:00+00:00,55.3822192831,55.7151451579,55.2448873597,55.3156341081,1230255,66.54,0.0,66.94,66.375,66.46,1.0,1230255
PCAR,2014-11-19 00:00:00+00:00,55.2906646675,55.4571276049,54.8911536177,55.3655729893,1479372,66.43,0.0,66.63,65.95,66.52,1.0,1479372
PCAR,2014-11-20 00:00:00+00:00,55.3406035487,55.3543367411,54.4916425678,54.7246906802,1308313,66.49,0.0,66.5065,65.47,65.75,1.0,1308313
PCAR,2014-11-21 00:00:00+00:00,55.7484377454,56.2811191452,55.6235905424,56.1229793546,2377308,66.98,0.0,67.62,66.83,67.43,1.0,2377308
PCAR,2014-11-24 00:00:00+00:00,56.0480710328,56.231180264,55.7317914517,56.0064552984,1194526,67.34,0.0,67.56,66.96,67.29,1.0,1194526
PCAR,2014-11-25 00:00:00+00:00,56.5474598451,56.6306913138,56.0064552984,56.2228571171,2429486,67.94,0.0,68.04,67.29,67.55,1.0,2429486
PCAR,2014-11-26 00:00:00+00:00,56.0647173265,56.5890755795,55.8649618016,56.4642283764,1036832,67.36,0.0,67.99,67.12,67.84,1.0,1036832
PCAR,2014-11-28 00:00:00+00:00,55.7817303329,56.2561497046,55.5237127799,56.1978876765,1104980,67.02,0.0,67.59,66.71,67.52,1.0,1104980
PCAR,2014-12-01 00:00:00+00:00,56.1729182359,56.4267742155,55.4321581643,55.7900534798,2037147,67.49,0.0,67.795,66.6,67.03,1.0,2037147
PCAR,2014-12-02 00:00:00+00:00,56.7971542512,56.8387699856,56.231180264,56.3393811733,1608157,68.24,0.0,68.29,67.56,67.69,1.0,1608157
PCAR,2014-12-03 00:00:00+00:00,58.8945872629,58.9445261441,56.8887088668,57.3215125041,2982143,70.76,0.0,70.82,68.35,68.87,1.0,2982143
PCAR,2014-12-04 00:00:00+00:00,58.4534604787,59.2191899909,58.3119669819,59.2191899909,1600347,70.23,0.0,71.15,70.06,71.15,1.0,1600347
PCAR,2014-12-05 00:00:00+00:00,58.4701067724,58.8529715285,58.1954429257,58.2953206881,1405703,70.25,0.0,70.71,69.92,70.04,1.0,1405703
PCAR,2014-12-08 00:00:00+00:00,57.9415869461,58.8363252348,57.6710846728,58.2620281006,1212252,69.615,0.0,70.69,69.29,70.0,1.0,1212252
PCAR,2014-12-09 00:00:00+00:00,58.6948317379,58.9029104097,57.2882199167,57.4297134135,1718132,70.52,0.0,70.77,68.83,69.0,1.0,1718132
PCAR,2014-12-10 00:00:00+00:00,56.8554162793,58.6948317379,56.8054773981,58.6948317379,1834269,68.31,0.0,70.52,68.25,70.52,1.0,1834269
PCAR,2014-12-11 00:00:00+00:00,57.8042550227,58.0830804429,56.9053551606,57.2466041823,2059522,69.45,0.0,69.785,68.37,68.78,1.0,2059522
PCAR,2014-12-12 00:00:00+00:00,56.3477043202,57.4213902666,56.3477043202,57.1300801261,2467861,67.7,0.0,68.99,67.7,68.64,1.0,2467861
PCAR,2014-12-15 00:00:00+00:00,56.1895645296,57.071818098,55.5403590736,56.9303246012,1918327,67.51,0.0,68.57,66.73,68.4,1.0,1918327
PCAR,2014-12-16 00:00:00+00:00,56.3643506139,57.3381587979,55.7068220111,56.1479487953,2781799,67.72,0.0,68.89,66.93,67.46,1.0,2781799
PCAR,2014-12-17 00:00:00+00:00,57.4297134135,57.5479510587,55.9264062094,56.1797725921,3898314,68.0,1.0,68.14,66.22,66.52,1.0,3898314
PCAR,2014-12-18 00:00:00+00:00,58.7303275114,58.7303275114,57.7675352571,58.223594746,2601548,69.54,0.0,69.54,68.4,68.94,1.0,2601548
PCAR,2014-12-19 00:00:00+00:00,58.4769611287,59.1188226315,58.4347333982,58.6796542348,4214875,69.24,0.0,70.0,69.19,69.48,1.0,4214875
PCAR,2014-12-22 00:00:00+00:00,58.4347333982,58.7345502844,58.2827135686,58.510743313,1512572,69.19,0.0,69.545,69.01,69.28,1.0,1512572
PCAR,2014-12-23 00:00:00+00:00,58.6543175966,59.346852376,58.5360799513,58.696545327,1309111,69.45,0.0,70.27,69.31,69.5,1.0,1309111
PCAR,2014-12-24 00:00:00+00:00,58.6289809583,58.9161295254,58.5698621357,58.8654562488,499351,69.42,0.0,69.76,69.35,69.7,1.0,499351
PCAR,2014-12-26 00:00:00+00:00,58.3840601217,58.9245750714,58.3671690295,58.7134364192,939824,69.13,0.0,69.77,69.11,69.52,1.0,939824
PCAR,2014-12-29 00:00:00+00:00,58.7810007879,59.0343671706,58.1053571007,58.2658224764,1006211,69.6,0.0,69.9,68.8,68.99,1.0,1006211
PCAR,2014-12-30 00:00:00+00:00,58.1053571007,58.6712086887,58.0639739249,58.5276344052,1108334,68.8,0.0,69.47,68.751,69.3,1.0,1108334
PCAR,2014-12-31 00:00:00+00:00,57.4381589596,58.6543175966,57.4297134135,58.5445254974,1125801,68.01,0.0,69.45,68.0,69.32,1.0,1125801
PCAR,2015-01-02 00:00:00+00:00,57.5563966048,58.1644759233,56.9567628324,57.6155154275,1510209,68.15,0.0,68.87,67.44,68.22,1.0,1510209
PCAR,2015-01-05 00:00:00+00:00,55.6223665502,57.5513292772,55.5294655432,57.1679014847,2729685,65.86,0.0,68.144,65.75,67.69,1.0,2729685
PCAR,2015-01-06 00:00:00+00:00,55.698376465,56.2726735991,54.7524753029,55.8335052024,4196491,65.95,0.0,66.63,64.83,66.11,1.0,4196491
PCAR,2015-01-07 00:00:00+00:00,56.4415845209,56.450030067,55.5379110893,56.1206537695,1783632,66.83,0.0,66.84,65.76,66.45,1.0,1783632
PCAR,2015-01-08 00:00:00+00:00,57.1847925769,57.2185747612,56.4922577975,56.9652083785,2057977,67.71,0.0,67.75,66.89,67.45,1.0,2057977
PCAR,2015-01-09 00:00:00+00:00,55.0902971465,57.4043767752,54.8918268134,57.2101292151,2938851,65.23,0.0,67.97,64.995,67.74,1.0,2938851
PCAR,2015-01-12 00:00:00+00:00,55.5970299119,56.2726735991,54.9044951325,56.069980493,2920562,65.83,0.0,66.63,65.01,66.39,1.0,2920562
PCAR,2015-01-13 00:00:00+00:00,55.2000892457,56.7962130013,54.5160000124,56.0953171312,2169821,65.36,0.0,67.2499,64.55,66.42,1.0,2169821
PCAR,2015-01-14 00:00:00+00:00,54.6849109342,55.0987426926,53.9754850626,54.5920099272,2081282,64.75,0.0,65.24,63.91,64.64,1.0,2081282
PCAR,2015-01-15 00:00:00+00:00,53.5109800276,55.2507625222,53.4771978433,54.8876040403,1981955,63.36,0.0,65.42,63.32,64.99,1.0,1981955
PCAR,2015-01-16 00:00:00+00:00,54.4737722819,54.5328911045,53.2745047371,53.4180790206,1922203,64.5,0.0,64.57,63.08,63.25,1.0,1922203
PCAR,2015-01-20 00:00:00+00:00,54.4568811897,54.8115941255,54.0261583391,54.6933564802,1315202,64.48,0.0,64.9,63.97,64.76,1.0,1315202
PCAR,2015-01-21 00:00:00+00:00,54.9805050473,55.1325248769,53.9923761548,54.1190593461,1628226,65.1,0.0,65.28,63.93,64.08,1.0,1628226
PCAR,2015-01-22 00:00:00+00:00,54.6173465654,55.2507625222,53.9839306087,54.7271386646,2551602,64.67,0.0,65.42,63.92,64.8,1.0,2551602
PCAR,2015-01-23 00:00:00+00:00,54.5160000124,54.9382773169,54.3301979984,54.6595742959,1896419,64.55,0.0,65.05,64.33,64.72,1.0,1896419
PCAR,2015-01-26 00:00:00+00:00,55.0734060543,55.0902971465,54.290926209,54.3048613601,1542557,65.21,0.0,65.23,64.2835,64.3,1.0,1542557
PCAR,2015-01-27 00:00:00+00:00,54.1528415305,54.4653267358,53.637663219,54.203514807,1297361,64.12,0.0,64.49,63.51,64.18,1.0,1297361
PCAR,2015-01-28 00:00:00+00:00,53.5743216233,54.8622674021,53.4265245667,54.5160000124,2100389,63.435,0.0,64.96,63.26,64.55,1.0,2100389
PCAR,2015-01-29 00:00:00+00:00,54.0937227078,54.3216679968,53.5194255737,53.7896830486,3030215,64.05,0.0,64.3199,63.37,63.69,1.0,3030215
PCAR,2015-01-30 00:00:00+00:00,50.7661775483,52.5735244116,50.6648309952,52.5312966812,4799339,60.11,0.0,62.25,59.99,62.2,1.0,4799339
PCAR,2015-02-02 00:00:00+00:00,51.86409854,51.9232173627,50.1074249533,51.019543931,3434781,61.41,0.0,61.48,59.33,60.41,1.0,3434781
PCAR,2015-02-03 00:00:00+00:00,52.9958017161,53.266059191,52.2694847524,52.5228511351,2786600,62.75,0.0,63.07,61.89,62.19,1.0,2786600
PCAR,2015-02-04 00:00:00+00:00,52.7508808795,53.1816037301,52.4383956742,52.6917620569,1966741,62.46,0.0,62.97,62.09,62.39,1.0,1966741
PCAR,2015-02-05 00:00:00+00:00,52.5735244116,53.4940889354,52.235702568,53.1816037301,2296609,62.25,0.0,63.34,61.85,62.97,1.0,2296609
