symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PEP,2014-10-02 00:00:00+00:00,79.9399952397,80.2335748291,79.7241278946,80.1385931972,3513750,92.58,0.0,92.92,92.33,92.81,1.0,3513750
PEP,2014-10-03 00:00:00+00:00,80.7343870697,80.7602911511,80.0004380964,80.3112870733,4084403,93.5,0.0,93.53,92.65,93.01,1.0,4084403
PEP,2014-10-06 00:00:00+00:00,80.6221360503,80.8639074768,80.1170064627,80.7343870697,3733095,93.37,0.0,93.65,92.785,93.5,1.0,3733095
PEP,2014-10-07 00:00:00+00:00,80.3889993175,80.7689258449,80.2163054415,80.5530584998,6799862,93.1,0.0,93.54,92.9,93.29,1.0,6799862
PEP,2014-10-08 00:00:00+00:00,81.1143135971,81.1143135971,80.0954197282,80.2594789105,5715380,93.94,0.0,93.94,92.76,92.95,1.0,5715380
PEP,2014-10-09 00:00:00+00:00,80.7948299263,83.0830237845,80.7861952325,82.3318054235,9094388,93.57,0.0,96.22,93.56,95.35,1.0,9094388
PEP,2014-10-10 00:00:00+00:00,81.7273768572,82.8067135827,80.8725421706,80.8725421706,8354627,94.65,0.0,95.9,93.66,93.66,1.0,8354627
PEP,2014-10-13 00:00:00+00:00,81.1143135971,82.4181523615,81.0193319653,81.77918502,5195322,93.94,0.0,95.45,93.83,94.71,1.0,5195322
PEP,2014-10-14 00:00:00+00:00,80.3112870733,81.6151258377,79.9486299335,81.5633176749,5869007,93.01,0.0,94.52,92.59,94.46,1.0,5869007
PEP,2014-10-15 00:00:00+00:00,79.2405850416,79.9227258521,78.3684809674,79.3010278982,8584059,91.77,0.0,92.56,90.76,91.84,1.0,8584059
PEP,2014-10-16 00:00:00+00:00,78.3943850488,78.5973003532,77.5568197498,77.9453809709,7226703,90.79,0.0,91.025,89.82,90.27,1.0,7226703
PEP,2014-10-17 00:00:00+00:00,79.0160830027,79.4391829991,78.1871523975,78.6534258629,6260164,91.51,0.0,92.0,90.55,91.09,1.0,6260164
PEP,2014-10-20 00:00:00+00:00,80.7775605387,80.9243503334,79.0851605531,79.1456034097,6888587,93.55,0.0,93.72,91.59,91.66,1.0,6888587
PEP,2014-10-21 00:00:00+00:00,80.9329850272,81.1315829847,79.5859727938,80.5271544184,6982230,93.73,0.0,93.96,92.17,93.26,1.0,6982230
PEP,2014-10-22 00:00:00+00:00,81.5633176749,82.046860528,80.855272783,81.0366013529,5148215,94.46,0.0,95.02,93.64,93.85,1.0,5148215
PEP,2014-10-23 00:00:00+00:00,80.9588891086,82.3059013421,80.7343870697,81.9777829775,5804955,93.76,0.0,95.32,93.5,94.94,1.0,5804955
PEP,2014-10-24 00:00:00+00:00,81.6842033882,81.8482625705,80.7775605387,80.9588891086,4005823,94.6,0.0,94.79,93.55,93.76,1.0,4005823
PEP,2014-10-27 00:00:00+00:00,81.7014727758,82.2368237917,81.4337972679,81.5805870625,3135454,94.62,0.0,95.24,94.31,94.48,1.0,3135454
PEP,2014-10-28 00:00:00+00:00,82.2540931793,82.2540931793,81.4251625741,81.7619156324,3372697,95.26,0.0,95.26,94.3,94.69,1.0,3372697
PEP,2014-10-29 00:00:00+00:00,81.7619156324,82.4613258306,81.2265646166,82.4613258306,3274336,94.69,0.0,95.5,94.07,95.5,1.0,3274336
PEP,2014-10-30 00:00:00+00:00,83.8946850021,84.0932829596,83.0830237845,83.4974890871,3567175,97.16,0.0,97.39,96.22,96.7,1.0,3567175
