symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PYPL,2015-07-20 00:00:00+00:00,40.47,42.55,39.8,41.46,52286509,40.47,0.0,42.55,39.8,41.46,1.0,52286509
PYPL,2015-07-21 00:00:00+00:00,39.35,41.11,39.12,41.08,32954573,39.35,0.0,41.11,39.12,41.08,1.0,32954573
PYPL,2015-07-22 00:00:00+00:00,38.39,39.7178,38.1,39.35,25380859,38.39,0.0,39.7178,38.1,39.35,1.0,25380859
PYPL,2015-07-23 00:00:00+00:00,37.01,38.75,36.93,38.74,19250154,37.01,0.0,38.75,36.93,38.74,1.0,19250154
PYPL,2015-07-24 00:00:00+00:00,37.0,38.0,36.91,37.71,14274305,37.0,0.0,38.0,36.91,37.71,1.0,14274305
PYPL,2015-07-27 00:00:00+00:00,36.39,37.38,36.22,36.78,16179913,36.39,0.0,37.38,36.22,36.78,1.0,16179913
PYPL,2015-07-28 00:00:00+00:00,37.6,38.0,36.8296,37.19,18986016,37.6,0.0,38.0,36.8296,37.19,1.0,18986016
PYPL,2015-07-29 00:00:00+00:00,37.95,38.1,37.62,38.03,11788439,37.95,0.0,38.1,37.62,38.03,1.0,11788439
PYPL,2015-07-30 00:00:00+00:00,38.45,39.01,37.715,38.04,13845091,38.45,0.0,39.01,37.715,38.04,1.0,13845091
PYPL,2015-07-31 00:00:00+00:00,38.7,39.2,38.2199,39.14,12480580,38.7,0.0,39.2,38.2199,39.14,1.0,12480580
PYPL,2015-08-03 00:00:00+00:00,39.39,39.88,38.9,39.25,15126574,39.39,0.0,39.88,38.9,39.25,1.0,15126574
PYPL,2015-08-04 00:00:00+00:00,38.95,39.91,38.43,39.91,10992217,38.95,0.0,39.91,38.43,39.91,1.0,10992217
PYPL,2015-08-05 00:00:00+00:00,39.27,39.88,39.17,39.7,9349565,39.27,0.0,39.88,39.17,39.7,1.0,9349565
PYPL,2015-08-06 00:00:00+00:00,38.85,39.74,38.55,39.63,7324116,38.85,0.0,39.74,38.55,39.63,1.0,7324116
PYPL,2015-08-07 00:00:00+00:00,39.13,39.23,38.6,39.04,8331310,39.13,0.0,39.23,38.6,39.04,1.0,8331310
PYPL,2015-08-10 00:00:00+00:00,39.05,39.69,38.7701,39.43,7998929,39.05,0.0,39.69,38.7701,39.43,1.0,7998929
PYPL,2015-08-11 00:00:00+00:00,38.85,39.28,38.72,38.93,8184004,38.85,0.0,39.28,38.72,38.93,1.0,8184004
PYPL,2015-08-12 00:00:00+00:00,38.19,38.58,37.01,38.55,21366670,38.19,0.0,38.58,37.01,38.55,1.0,21366670
PYPL,2015-08-13 00:00:00+00:00,37.62,38.49,37.44,38.4,7863525,37.62,0.0,38.49,37.44,38.4,1.0,7863525
PYPL,2015-08-14 00:00:00+00:00,38.14,38.18,37.38,37.49,6271143,38.14,0.0,38.18,37.38,37.49,1.0,6271143
PYPL,2015-08-17 00:00:00+00:00,38.73,38.75,37.7,38.3,4931711,38.73,0.0,38.75,37.7,38.3,1.0,4931711
PYPL,2015-08-18 00:00:00+00:00,37.99,39.0,37.87,39.0,4678847,37.99,0.0,39.0,37.87,39.0,1.0,4678847
PYPL,2015-08-19 00:00:00+00:00,37.19,38.1,37.03,37.87,6923402,37.19,0.0,38.1,37.03,37.87,1.0,6923402
PYPL,2015-08-20 00:00:00+00:00,35.98,37.34,35.88,36.85,10645667,35.98,0.0,37.34,35.88,36.85,1.0,10645667
PYPL,2015-08-21 00:00:00+00:00,34.25,36.11,33.83,35.57,16824144,34.25,0.0,36.11,33.83,35.57,1.0,16824144
PYPL,2015-08-24 00:00:00+00:00,33.75,34.85,30.0,31.17,19676580,33.75,0.0,34.85,30.0,31.17,1.0,19676580
PYPL,2015-08-25 00:00:00+00:00,32.7,35.46,32.7,35.44,15557082,32.7,0.0,35.46,32.7,35.44,1.0,15557082
PYPL,2015-08-26 00:00:00+00:00,33.17,33.84,31.71,33.7,25350364,33.17,0.0,33.84,31.71,33.7,1.0,25350364
PYPL,2015-08-27 00:00:00+00:00,34.62,34.77,33.16,34.0,18909574,34.62,0.0,34.77,33.16,34.0,1.0,18909574
PYPL,2015-08-28 00:00:00+00:00,35.04,35.26,34.37,34.51,8344820,35.04,0.0,35.26,34.37,34.51,1.0,8344820
PYPL,2015-08-31 00:00:00+00:00,35.0,35.51,34.77,35.49,12123766,35.0,0.0,35.51,34.77,35.49,1.0,12123766
PYPL,2015-09-01 00:00:00+00:00,33.77,34.68,33.41,34.24,13375959,33.77,0.0,34.68,33.41,34.24,1.0,13375959
PYPL,2015-09-02 00:00:00+00:00,35.07,35.08,33.835,34.6,7521045,35.07,0.0,35.08,33.835,34.6,1.0,7521045
PYPL,2015-09-03 00:00:00+00:00,35.31,35.46,34.77,35.01,6683814,35.31,0.0,35.46,34.77,35.01,1.0,6683814
PYPL,2015-09-04 00:00:00+00:00,34.29,34.72,33.78,34.71,7483792,34.29,0.0,34.72,33.78,34.71,1.0,7483792
PYPL,2015-09-08 00:00:00+00:00,34.7,34.89,34.25,34.81,7674452,34.7,0.0,34.89,34.25,34.81,1.0,7674452
PYPL,2015-09-09 00:00:00+00:00,34.37,34.95,33.88,34.92,10946887,34.37,0.0,34.95,33.88,34.92,1.0,10946887
PYPL,2015-09-10 00:00:00+00:00,33.46,34.29,32.95,34.23,12134501,33.46,0.0,34.29,32.95,34.23,1.0,12134501
PYPL,2015-09-11 00:00:00+00:00,33.55,33.59,32.61,33.27,9184211,33.55,0.0,33.59,32.61,33.27,1.0,9184211
PYPL,2015-09-14 00:00:00+00:00,33.77,33.95,33.2,33.7,7897681,33.77,0.0,33.95,33.2,33.7,1.0,7897681
PYPL,2015-09-15 00:00:00+00:00,33.8,33.95,32.67,33.72,11874863,33.8,0.0,33.95,32.67,33.72,1.0,11874863
PYPL,2015-09-16 00:00:00+00:00,33.77,34.06,33.36,33.46,7183907,33.77,0.0,34.06,33.36,33.46,1.0,7183907
PYPL,2015-09-17 00:00:00+00:00,33.32,33.99,33.08,33.72,7846799,33.32,0.0,33.99,33.08,33.72,1.0,7846799
PYPL,2015-09-18 00:00:00+00:00,32.92,33.78,32.55,32.9,16488139,32.92,0.0,33.78,32.55,32.9,1.0,16488139
PYPL,2015-09-21 00:00:00+00:00,34.25,34.62,33.43,33.66,12736464,34.25,0.0,34.62,33.43,33.66,1.0,12736464
PYPL,2015-09-22 00:00:00+00:00,33.35,34.1,33.1899,33.94,8538006,33.35,0.0,34.1,33.1899,33.94,1.0,8538006
PYPL,2015-09-23 00:00:00+00:00,34.16,34.34,33.26,33.49,5405501,34.16,0.0,34.34,33.26,33.49,1.0,5405501
PYPL,2015-09-24 00:00:00+00:00,33.91,34.07,33.38,34.0,6544533,33.91,0.0,34.07,33.38,34.0,1.0,6544533
PYPL,2015-09-25 00:00:00+00:00,33.77,34.69,33.5,34.6,6566750,33.77,0.0,34.69,33.5,34.6,1.0,6566750
PYPL,2015-09-28 00:00:00+00:00,32.25,33.68,32.155,33.68,7202535,32.25,0.0,33.68,32.155,33.68,1.0,7202535
PYPL,2015-09-29 00:00:00+00:00,30.63,32.67,30.3,32.27,12008145,30.63,0.0,32.67,30.3,32.27,1.0,12008145
PYPL,2015-09-30 00:00:00+00:00,31.04,31.28,30.64,31.2,13537262,31.04,0.0,31.28,30.64,31.2,1.0,13537262
PYPL,2015-10-01 00:00:00+00:00,31.48,31.587,30.75,30.82,9656980,31.48,0.0,31.587,30.75,30.82,1.0,9656980
PYPL,2015-10-02 00:00:00+00:00,32.83,32.86,30.75,30.82,7609776,32.83,0.0,32.86,30.75,30.82,1.0,7609776
PYPL,2015-10-05 00:00:00+00:00,32.67,33.02,32.38,32.95,6119068,32.67,0.0,33.02,32.38,32.95,1.0,6119068
PYPL,2015-10-06 00:00:00+00:00,31.86,32.91,31.78,32.91,7443781,31.86,0.0,32.91,31.78,32.91,1.0,7443781
PYPL,2015-10-07 00:00:00+00:00,32.38,32.471,31.52,32.31,6969581,32.38,0.0,32.471,31.52,32.31,1.0,6969581
PYPL,2015-10-08 00:00:00+00:00,31.67,32.45,31.09,32.44,9281454,31.67,0.0,32.45,31.09,32.44,1.0,9281454
PYPL,2015-10-09 00:00:00+00:00,32.06,32.45,31.41,31.69,5911405,32.06,0.0,32.45,31.41,31.69,1.0,5911405
PYPL,2015-10-12 00:00:00+00:00,32.63,32.67,32.1,32.19,3915468,32.63,0.0,32.67,32.1,32.19,1.0,3915468
PYPL,2015-10-13 00:00:00+00:00,33.22,33.48,32.3399,32.6,8787712,33.22,0.0,33.48,32.3399,32.6,1.0,8787712
PYPL,2015-10-14 00:00:00+00:00,34.05,34.46,33.4,33.4,8198250,34.05,0.0,34.46,33.4,33.4,1.0,8198250
PYPL,2015-10-15 00:00:00+00:00,34.62,34.72,34.16,34.45,9103243,34.62,0.0,34.72,34.16,34.45,1.0,9103243
PYPL,2015-10-16 00:00:00+00:00,34.29,35.05,33.95,34.75,5390718,34.29,0.0,35.05,33.95,34.75,1.0,5390718
PYPL,2015-10-19 00:00:00+00:00,34.84,34.905,33.79,34.43,5855686,34.84,0.0,34.905,33.79,34.43,1.0,5855686
PYPL,2015-10-20 00:00:00+00:00,34.87,34.99,34.59,34.8,6084245,34.87,0.0,34.99,34.59,34.8,1.0,6084245
PYPL,2015-10-21 00:00:00+00:00,33.83,34.8,32.88,34.75,9113873,33.83,0.0,34.8,32.88,34.75,1.0,9113873
PYPL,2015-10-22 00:00:00+00:00,34.79,35.25,34.26,34.43,8735516,34.79,0.0,35.25,34.26,34.43,1.0,8735516
PYPL,2015-10-23 00:00:00+00:00,34.99,35.75,34.8,35.73,8909138,34.99,0.0,35.75,34.8,35.73,1.0,8909138
PYPL,2015-10-26 00:00:00+00:00,36.44,36.59,35.515,36.05,11554647,36.44,0.0,36.59,35.515,36.05,1.0,11554647
PYPL,2015-10-27 00:00:00+00:00,35.94,36.3941,35.31,36.39,8502406,35.94,0.0,36.3941,35.31,36.39,1.0,8502406
PYPL,2015-10-28 00:00:00+00:00,36.52,36.65,35.81,36.21,11634340,36.52,0.0,36.65,35.81,36.21,1.0,11634340
PYPL,2015-10-29 00:00:00+00:00,35.91,36.5,34.5,34.73,25137251,35.91,0.0,36.5,34.5,34.73,1.0,25137251
PYPL,2015-10-30 00:00:00+00:00,36.01,36.49,35.24,35.64,13409243,36.01,0.0,36.49,35.24,35.64,1.0,13409243
PYPL,2015-11-02 00:00:00+00:00,36.99,37.41,35.45,35.58,11254928,36.99,0.0,37.41,35.45,35.58,1.0,11254928
PYPL,2015-11-03 00:00:00+00:00,37.9,38.44,37.0,37.05,12025221,37.9,0.0,38.44,37.0,37.05,1.0,12025221
PYPL,2015-11-04 00:00:00+00:00,37.6,38.52,37.33,38.45,12226757,37.6,0.0,38.52,37.33,38.45,1.0,12226757
PYPL,2015-11-05 00:00:00+00:00,36.71,37.98,36.66,37.82,9068886,36.71,0.0,37.98,36.66,37.82,1.0,9068886
