symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
QCOM,2014-10-02 00:00:00+00:00,61.688611071,62.0948153527,61.2740314433,62.0948153527,7489287,73.655,0.0,74.14,73.16,74.14,1.0,7489287
QCOM,2014-10-03 00:00:00+00:00,62.6978402657,62.9826020302,61.8686810103,61.8770563563,7978379,74.86,0.0,75.2,73.87,73.88,1.0,7978379
QCOM,2014-10-06 00:00:00+00:00,62.5847730945,63.0998568744,62.2371962349,62.81509511,6217326,74.725,0.0,75.34,74.31,75.0,1.0,6217326
QCOM,2014-10-07 00:00:00+00:00,61.5671685538,62.3377003871,61.5420425157,62.1701934668,8241983,73.51,0.0,74.43,73.48,74.23,1.0,8241983
QCOM,2014-10-08 00:00:00+00:00,62.9742266842,63.1836103346,61.3242835193,61.5085411317,9861322,75.19,0.0,75.44,73.22,73.44,1.0,9861322
QCOM,2014-10-09 00:00:00+00:00,62.0445632766,63.0663554904,61.9356837784,62.9993527223,9914616,74.08,0.0,75.3,73.95,75.22,1.0,9914616
QCOM,2014-10-10 00:00:00+00:00,59.6492143164,61.9273084324,59.6324636244,61.5755438998,17357056,71.22,0.0,73.94,71.2,73.52,1.0,17357056
QCOM,2014-10-13 00:00:00+00:00,59.2220716697,60.7212586063,58.836805753,59.6157129324,10749059,70.71,0.0,72.5,70.25,71.18,1.0,10749059
QCOM,2014-10-14 00:00:00+00:00,60.1852364613,60.8887655266,59.7413431226,60.0931076552,10488350,71.86,0.0,72.7,71.33,71.75,1.0,10488350
QCOM,2014-10-15 00:00:00+00:00,59.6324636244,60.8301381045,58.849368772,59.5487101642,14883462,71.2,0.0,72.63,70.265,71.1,1.0,14883462
QCOM,2014-10-16 00:00:00+00:00,59.5822115483,60.2102787459,58.0913999577,58.4934165664,11997242,71.14,0.0,71.8899,69.36,69.84,1.0,11997242
QCOM,2014-10-17 00:00:00+00:00,60.6626311842,61.0395217548,59.9172253889,60.3443680356,8469646,72.43,0.0,72.88,71.54,72.05,1.0,8469646
QCOM,2014-10-20 00:00:00+00:00,61.3661602494,61.3912862875,60.3024913056,60.3443680356,6492346,73.27,0.0,73.3,72.0,72.05,1.0,6492346
QCOM,2014-10-21 00:00:00+00:00,62.8109074369,62.9072239161,61.8351796262,61.9189330864,8733978,74.995,0.0,75.11,73.83,73.93,1.0,8733978
QCOM,2014-10-22 00:00:00+00:00,62.2288208889,62.8988485701,62.1869441589,62.823470456,7127850,74.3,0.0,75.1,74.25,75.01,1.0,7127850
QCOM,2014-10-23 00:00:00+00:00,62.9323499542,63.1501089505,62.5973361136,62.81509511,9749962,75.14,0.0,75.4,74.74,75.0,1.0,9749962
QCOM,2014-10-24 00:00:00+00:00,63.6526297114,63.6610050574,62.7397169958,63.1668596426,6238720,76.0,0.0,76.01,74.91,75.42,1.0,6238720
QCOM,2014-10-27 00:00:00+00:00,63.5186241752,63.6777557495,63.0412294523,63.5353748672,4766956,75.84,0.0,76.03,75.27,75.86,1.0,4766956
QCOM,2014-10-28 00:00:00+00:00,64.1300244343,64.1719011643,63.6442543654,63.8117612857,6324426,76.57,0.0,76.62,75.99,76.19,1.0,6324426
QCOM,2014-10-29 00:00:00+00:00,64.3980355067,64.8084274614,63.9122654379,64.0713970121,5395635,76.89,0.0,77.38,76.31,76.5,1.0,5395635
QCOM,2014-10-30 00:00:00+00:00,64.8000521154,64.9843097277,64.0965230502,64.1970272024,5314244,77.37,0.0,77.59,76.53,76.65,1.0,5314244
QCOM,2014-10-31 00:00:00+00:00,65.7548415611,65.7715922531,65.0680631879,65.7715922531,10144491,78.51,0.0,78.53,77.69,78.53,1.0,10144491
QCOM,2014-11-03 00:00:00+00:00,65.5287072187,65.7715922531,65.2941975303,65.5873346408,8732669,78.24,0.0,78.53,77.96,78.31,1.0,8732669
QCOM,2014-11-04 00:00:00+00:00,64.582293119,65.0931892259,63.9905749231,64.9005562676,15347356,77.11,0.0,77.72,76.4035,77.49,1.0,15347356
QCOM,2014-11-05 00:00:00+00:00,64.6576712332,64.8838055756,64.000206571,64.8754302296,13811410,77.2,0.0,77.47,76.415,77.46,1.0,13811410
QCOM,2014-11-06 00:00:00+00:00,59.1131921715,59.5235841262,56.6759664812,59.4900827421,70919663,70.58,0.0,71.07,67.67,71.03,1.0,70919663
QCOM,2014-11-07 00:00:00+00:00,58.0076464975,59.2136963236,57.8987669993,59.2136963236,24945855,69.26,0.0,70.7,69.13,70.7,1.0,24945855
QCOM,2014-11-10 00:00:00+00:00,58.0913999577,58.6525481407,57.3627448544,57.714509387,14453295,69.36,0.0,70.03,68.49,68.91,1.0,14453295
QCOM,2014-11-11 00:00:00+00:00,58.3259096461,58.5017919124,57.8150135392,58.3845370682,10046738,69.64,0.0,69.85,69.03,69.71,1.0,10046738
QCOM,2014-11-12 00:00:00+00:00,58.870307137,59.0043126733,58.0285848626,58.3091589541,9460511,70.29,0.0,70.45,69.285,69.62,1.0,9460511
QCOM,2014-11-13 00:00:00+00:00,59.1718195936,59.3225758218,58.7865536769,58.8033043689,9833120,70.65,0.0,70.83,70.19,70.21,1.0,9833120
QCOM,2014-11-14 00:00:00+00:00,59.3393265139,59.6408389704,59.0880661334,59.4733320501,7454829,70.85,0.0,71.21,70.55,71.01,1.0,7454829
QCOM,2014-11-17 00:00:00+00:00,58.9624359432,59.3309511679,58.7823660039,59.1466935555,7350696,70.4,0.0,70.84,70.185,70.62,1.0,7350696
QCOM,2014-11-18 00:00:00+00:00,60.3108666516,60.3527433816,58.828430407,58.828430407,10991790,72.01,0.0,72.06,70.24,70.24,1.0,10991790
QCOM,2014-11-19 00:00:00+00:00,59.0210633653,60.1684857693,58.9289345591,59.959102119,11115533,70.47,0.0,71.84,70.36,71.59,1.0,11115533
QCOM,2014-11-20 00:00:00+00:00,59.2220716697,59.3309511679,58.292408262,58.7237385818,12030329,70.71,0.0,70.84,69.6,70.115,1.0,12030329
QCOM,2014-11-21 00:00:00+00:00,59.8585979668,60.1517350773,59.2053209776,59.5487101642,15146248,71.47,0.0,71.82,70.69,71.1,1.0,15146248
QCOM,2014-11-24 00:00:00+00:00,60.0470432521,60.252155476,59.6157129324,60.0512309251,9413791,71.695,0.0,71.9399,71.18,71.7,1.0,9413791
QCOM,2014-11-25 00:00:00+00:00,60.5286256479,60.537000994,59.975852811,60.0763569632,12488593,72.27,0.0,72.28,71.61,71.73,1.0,12488593
QCOM,2014-11-26 00:00:00+00:00,60.8720148345,60.9478310722,60.3334668262,60.36657325,7006488,72.26,0.42,72.35,71.6207,71.66,1.0,7006488
