symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
REGN,2014-10-02 00:00:00+00:00,353.69,358.25,353.05,355.79,666295,353.69,0.0,358.25,353.05,355.79,1.0,666295
REGN,2014-10-03 00:00:00+00:00,361.6,362.46,355.54,355.54,758083,361.6,0.0,362.46,355.54,355.54,1.0,758083
REGN,2014-10-06 00:00:00+00:00,359.19,365.0,356.6,363.48,453102,359.19,0.0,365.0,356.6,363.48,1.0,453102
REGN,2014-10-07 00:00:00+00:00,354.21,359.68,353.1,356.99,591850,354.21,0.0,359.68,353.1,356.99,1.0,591850
REGN,2014-10-08 00:00:00+00:00,360.15,361.07,350.79,353.83,742149,360.15,0.0,361.07,350.79,353.83,1.0,742149
REGN,2014-10-09 00:00:00+00:00,355.04,361.26,352.0,361.24,648881,355.04,0.0,361.26,352.0,361.24,1.0,648881
REGN,2014-10-10 00:00:00+00:00,343.51,357.75,343.28,353.38,753410,343.51,0.0,357.75,343.28,353.38,1.0,753410
REGN,2014-10-13 00:00:00+00:00,332.1,344.98,330.89,341.89,869321,332.1,0.0,344.98,330.89,341.89,1.0,869321
REGN,2014-10-14 00:00:00+00:00,328.07,335.6599,323.8,334.09,1155215,328.07,0.0,335.6599,323.8,334.09,1.0,1155215
REGN,2014-10-15 00:00:00+00:00,334.75,337.0309,320.06,324.0,1238105,334.75,0.0,337.0309,320.06,324.0,1.0,1238105
REGN,2014-10-16 00:00:00+00:00,340.71,344.48,326.09,326.5,937878,340.71,0.0,344.48,326.09,326.5,1.0,937878
REGN,2014-10-17 00:00:00+00:00,369.64,376.88,362.02,366.99,2471408,369.64,0.0,376.88,362.02,366.99,1.0,2471408
REGN,2014-10-20 00:00:00+00:00,366.125,369.0,360.095,367.79,1147170,366.125,0.0,369.0,360.095,367.79,1.0,1147170
REGN,2014-10-21 00:00:00+00:00,381.01,381.03,366.14,370.64,1051349,381.01,0.0,381.03,366.14,370.64,1.0,1051349
REGN,2014-10-22 00:00:00+00:00,384.46,384.85,373.34,380.06,1025800,384.46,0.0,384.85,373.34,380.06,1.0,1025800
REGN,2014-10-23 00:00:00+00:00,393.96,397.35,386.5,387.0,870253,393.96,0.0,397.35,386.5,387.0,1.0,870253
REGN,2014-10-24 00:00:00+00:00,402.5,404.6,393.21,396.0,822488,402.5,0.0,404.6,393.21,396.0,1.0,822488
REGN,2014-10-27 00:00:00+00:00,407.16,407.88,397.5,402.1,559895,407.16,0.0,407.88,397.5,402.1,1.0,559895
REGN,2014-10-28 00:00:00+00:00,397.89,410.1847,397.12,408.35,1028670,397.89,0.0,410.1847,397.12,408.35,1.0,1028670
REGN,2014-10-29 00:00:00+00:00,387.7,397.89,385.02,397.0,1056233,387.7,0.0,397.89,385.02,397.0,1.0,1056233
REGN,2014-10-30 00:00:00+00:00,392.8,394.645,386.27,386.29,709185,392.8,0.0,394.645,386.27,386.29,1.0,709185
REGN,2014-10-31 00:00:00+00:00,393.72,400.87,391.198,400.15,663153,393.72,0.0,400.87,391.198,400.15,1.0,663153
REGN,2014-11-03 00:00:00+00:00,395.26,397.98,389.12,395.27,854726,395.26,0.0,397.98,389.12,395.27,1.0,854726
