symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ROST,2014-10-02 00:00:00+00:00,34.5830313581,34.6560202121,34.0857947907,34.2226488918,3073374,75.81,0.0,75.97,74.72,75.02,1.0,1536687
ROST,2014-10-03 00:00:00+00:00,35.1122005492,35.2855490773,34.5830313581,34.6833910323,3663974,76.97,0.0,77.35,75.81,76.03,1.0,1831987
ROST,2014-10-06 00:00:00+00:00,34.5739077514,35.2171220268,34.4553008638,35.1806275998,2980570,75.79,0.0,77.2,75.53,77.12,1.0,1490285
ROST,2014-10-07 00:00:00+00:00,34.2591433188,34.5228155536,34.0994802008,34.4005592233,3736482,75.1,0.0,75.678,74.75,75.41,1.0,1868241
ROST,2014-10-08 00:00:00+00:00,34.8704249705,34.9844700548,34.2637051222,34.3275703694,3677236,76.44,0.0,76.69,75.11,75.25,1.0,1838618
ROST,2014-10-09 00:00:00+00:00,34.7472562795,35.084829729,34.5465369312,34.9160430043,5177832,76.17,0.0,76.91,75.73,76.54,1.0,2588916
ROST,2014-10-10 00:00:00+00:00,35.367661538,35.6915495774,34.7472562795,34.8202451335,5284582,77.53,0.0,78.24,76.17,76.33,1.0,2642291
ROST,2014-10-13 00:00:00+00:00,35.0665825155,35.7189203976,34.9662228413,35.20799842,3700108,76.87,0.0,78.3,76.65,77.18,1.0,1850054
ROST,2014-10-14 00:00:00+00:00,35.5090774425,35.6322461336,35.0985151391,35.3357289144,3779520,77.84,0.0,78.11,76.94,77.46,1.0,1889760
ROST,2014-10-15 00:00:00+00:00,34.8795485773,35.4132795717,34.5054807008,35.0893915324,5229076,76.46,0.0,77.63,75.64,76.92,1.0,2614538
ROST,2014-10-16 00:00:00+00:00,34.9981554649,35.0985151391,34.2956377458,34.2956377458,3587960,76.72,0.0,76.94,75.18,75.18,1.0,1793980
ROST,2014-10-17 00:00:00+00:00,35.2125602234,35.367661538,34.6742674256,35.1532567796,3840336,77.19,0.0,77.53,76.01,77.06,1.0,1920168
ROST,2014-10-20 00:00:00+00:00,35.7645384313,35.8010328583,34.8932339874,34.9160430043,2420460,78.4,0.0,78.48,76.49,76.54,1.0,1210230
ROST,2014-10-21 00:00:00+00:00,36.3028312291,36.5765394314,35.1304477627,35.1304477627,3600830,79.58,0.0,80.18,77.01,77.01,1.0,1800415
ROST,2014-10-22 00:00:00+00:00,36.2161569651,36.6586518921,36.1705389314,36.3758200831,3373152,79.39,0.0,80.36,79.29,79.74,1.0,1686576
ROST,2014-10-23 00:00:00+00:00,36.5309213977,37.000787145,36.2252805718,36.2252805718,3319168,80.08,0.0,81.11,79.41,79.41,1.0,1659584
ROST,2014-10-24 00:00:00+00:00,36.7225171393,36.7362025494,36.3028312291,36.6312810719,2817288,80.5,0.0,80.53,79.58,80.3,1.0,1408644
ROST,2014-10-27 00:00:00+00:00,36.7772587798,36.8365622236,36.5172359876,36.7179553359,3369898,80.62,0.0,80.75,80.05,80.49,1.0,1684949
ROST,2014-10-28 00:00:00+00:00,36.6404046786,36.7726969764,36.2161569651,36.7088317292,2735926,80.32,0.0,80.61,79.39,80.47,1.0,1367963
ROST,2014-10-29 00:00:00+00:00,36.5263595943,36.8091914034,36.3302020494,36.6312810719,2032230,80.07,0.0,80.69,79.64,80.3,1.0,1016115
ROST,2014-10-30 00:00:00+00:00,36.8730566506,36.9734163247,36.2845840157,36.4396853303,1686634,80.83,0.0,81.05,79.54,79.88,1.0,843317
ROST,2014-10-31 00:00:00+00:00,36.8228768135,37.406787645,36.6039102517,37.4022258416,2231222,80.72,0.0,82.0,80.24,81.99,1.0,1115611
ROST,2014-11-03 00:00:00+00:00,37.0600905888,37.1420661954,36.7088317292,36.8320004202,1949562,81.24,0.0,81.4197,80.47,80.74,1.0,974781
ROST,2014-11-04 00:00:00+00:00,36.6951463191,37.0600905888,36.5902248415,37.0144725551,4103020,80.44,0.0,81.24,80.21,81.14,1.0,2051510
ROST,2014-11-05 00:00:00+00:00,36.8456858303,36.9916635382,36.5491686112,36.8046296,1565966,80.77,0.0,81.09,80.12,80.68,1.0,782983
ROST,2014-11-06 00:00:00+00:00,37.3520460046,37.4113494484,36.3347638527,36.3347638527,2497472,81.88,0.0,82.01,79.65,79.65,1.0,1248736
ROST,2014-11-07 00:00:00+00:00,37.1376412461,37.3976640383,37.0235961618,37.3976640383,2402952,81.41,0.0,81.98,81.16,81.98,1.0,1201476
ROST,2014-11-10 00:00:00+00:00,37.5482035495,37.5801361731,37.0646523922,37.0920232124,2873992,82.31,0.0,82.38,81.25,81.31,1.0,1436996
ROST,2014-11-11 00:00:00+00:00,37.3748550214,37.7397992911,37.2608099371,37.5846979765,2545008,81.93,0.0,82.73,81.68,82.39,1.0,1272504
ROST,2014-11-12 00:00:00+00:00,37.7671701113,37.8766533923,37.2188413461,37.2744953472,3440172,82.79,0.0,83.03,81.588,81.71,1.0,1720086
ROST,2014-11-13 00:00:00+00:00,37.6622486338,37.9085860159,37.3657314147,37.8584061788,2607540,82.56,0.0,83.1,81.91,82.99,1.0,1303770
ROST,2014-11-14 00:00:00+00:00,37.123955836,37.3246751843,36.8843699229,37.3246751843,3747978,81.38,0.0,81.82,80.8548,81.82,1.0,1873989
ROST,2014-11-17 00:00:00+00:00,37.1057086225,37.3748550214,36.9460455045,37.1148322292,2605656,81.34,0.0,81.93,80.99,81.36,1.0,1302828
ROST,2014-11-18 00:00:00+00:00,37.0783378023,37.2106301,36.2526513921,36.4944269707,3416788,81.28,0.0,81.57,79.47,80.0,1.0,1708394
ROST,2014-11-19 00:00:00+00:00,37.479776499,37.5459226478,37.0600905888,37.0600905888,3406034,82.16,0.0,82.305,81.24,81.24,1.0,1703017
ROST,2014-11-20 00:00:00+00:00,37.9587658529,38.1093053642,37.4295966619,37.5710125664,4725700,83.21,0.0,83.54,82.05,82.36,1.0,2362850
ROST,2014-11-21 00:00:00+00:00,40.7369041061,40.8555109937,39.9933301566,40.7323423027,12594296,89.3,0.0,89.56,87.67,89.29,1.0,6297148
ROST,2014-11-24 00:00:00+00:00,40.6182972184,41.1702754264,40.2214203251,40.9467470612,5426646,89.04,0.0,90.25,88.17,89.76,1.0,2713323
ROST,2014-11-25 00:00:00+00:00,40.7323423027,41.1337809994,40.5726791847,40.7825221398,4367392,89.29,0.0,90.17,88.94,89.4,1.0,2183696
ROST,2014-11-26 00:00:00+00:00,40.9513088645,41.0562303421,40.7391850078,40.8555109937,2348966,89.77,0.0,90.0,89.305,89.56,1.0,1174483
ROST,2014-11-28 00:00:00+00:00,41.731377241,41.964029213,40.8281401735,41.1246573927,1984454,91.48,0.0,91.99,89.5,90.15,1.0,992227
ROST,2014-12-01 00:00:00+00:00,41.129219196,41.6720737972,41.042544932,41.6264557635,2767362,90.16,0.0,91.35,89.97,91.25,1.0,1383681
ROST,2014-12-02 00:00:00+00:00,41.1839608365,41.5078488758,40.7414659095,41.2660732972,2458758,90.28,0.0,90.99,89.31,90.46,1.0,1229379
ROST,2014-12-03 00:00:00+00:00,41.4439836286,41.5443433028,40.7323423027,40.8144547634,2332444,90.85,0.0,91.07,89.29,89.47,1.0,1166222
ROST,2014-12-04 00:00:00+00:00,41.5352196961,41.7040064208,41.2706351005,41.4029273983,2198980,91.05,0.0,91.42,90.47,90.76,1.0,1099490
ROST,2014-12-05 00:00:00+00:00,41.3709947747,41.8864785557,41.1839608365,41.6903210107,1912268,90.69,0.0,91.82,90.28,91.39,1.0,956134
ROST,2014-12-08 00:00:00+00:00,41.2432642803,41.6501649034,41.1381101867,41.2386923632,1447100,90.21,0.2,91.1,89.98,90.2,1.0,723550
ROST,2014-12-09 00:00:00+00:00,41.0832471813,41.229548529,40.6626308069,40.868367077,1943850,89.86,0.0,90.18,88.94,89.39,1.0,971925
ROST,2014-12-10 00:00:00+00:00,40.827219823,41.5450108098,40.6992061438,41.028384176,1872512,89.3,0.0,90.87,89.02,89.74,1.0,936256
