symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SBUX,2014-10-02 00:00:00+00:00,34.1245453325,34.3766406976,33.8174473423,34.1062111241,8573520,74.45,0.0,75.0,73.78,74.41,1.0,4286760
SBUX,2014-10-03 00:00:00+00:00,34.7845768339,34.8808314278,34.2712189995,34.2849696558,8229168,75.89,0.0,76.1,74.77,74.8,1.0,4114584
SBUX,2014-10-06 00:00:00+00:00,34.443102203,34.9404176051,34.4224762185,34.8441630111,5221748,75.145,0.0,76.23,75.1,76.02,1.0,2610874
SBUX,2014-10-07 00:00:00+00:00,33.9412032488,34.3995584581,33.9274525925,34.3308051767,6383432,74.05,0.0,75.05,74.02,74.9,1.0,3191716
SBUX,2014-10-08 00:00:00+00:00,34.495813052,34.5691498855,33.7486940609,34.0282907385,6716308,75.26,0.0,75.42,73.63,74.24,1.0,3358154
SBUX,2014-10-09 00:00:00+00:00,34.1382959888,34.7524919692,34.0832933637,34.394974906,9343828,74.48,0.0,75.82,74.36,75.04,1.0,4671914
SBUX,2014-10-10 00:00:00+00:00,34.1291288846,34.738741313,33.9641210092,34.0374578427,10495940,74.46,0.0,75.79,74.1,74.26,1.0,5247970
SBUX,2014-10-13 00:00:00+00:00,33.0886625595,34.1199617804,33.0061586218,34.0145400823,12431414,72.19,0.0,74.44,72.01,74.21,1.0,6215707
SBUX,2014-10-14 00:00:00+00:00,33.3407579246,33.7257763004,33.0978296637,33.1895007055,10995022,72.74,0.0,73.58,72.21,72.41,1.0,5497511
SBUX,2014-10-15 00:00:00+00:00,33.1757500492,33.4278454144,32.6669757669,33.015325726,13622008,72.38,0.0,72.93,71.27,72.03,1.0,6811004
SBUX,2014-10-16 00:00:00+00:00,33.2949224037,33.4003441018,32.4377981623,32.6257237981,9738832,72.64,0.0,72.87,70.77,71.18,1.0,4869416
SBUX,2014-10-17 00:00:00+00:00,33.707442092,33.8770335195,33.4049734894,33.6203546023,9581060,73.54,0.0,73.91,72.8801,73.35,1.0,4790530
SBUX,2014-10-20 00:00:00+00:00,34.2391341348,34.2620518953,33.6455641388,33.7395269567,7957028,74.7,0.0,74.75,73.405,73.61,1.0,3978514
SBUX,2014-10-21 00:00:00+00:00,34.0832933637,34.4614364113,33.9824552176,34.3766406976,12312930,74.36,0.0,75.185,74.14,75.0,1.0,6156465
SBUX,2014-10-22 00:00:00+00:00,34.1932986139,34.3697653695,33.9916223218,34.1382959888,6469670,74.6,0.0,74.985,74.16,74.48,1.0,3234835
