symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SIRI,2014-10-02 00:00:00+00:00,3.3066701197,3.3506288067,3.2431742385,3.3408602096,51566348,3.385,0.0,3.43,3.32,3.42,1.0,51566348
SIRI,2014-10-03 00:00:00+00:00,3.3408602096,3.3506288067,3.3017858212,3.3017858212,21252182,3.42,0.0,3.43,3.38,3.38,1.0,21252182
SIRI,2014-10-06 00:00:00+00:00,3.3213230154,3.3701660009,3.2920172241,3.3506288067,22379193,3.4,0.0,3.45,3.37,3.43,1.0,22379193
SIRI,2014-10-07 00:00:00+00:00,3.2773643284,3.3213230154,3.2724800298,3.3115544183,16468361,3.355,0.0,3.4,3.35,3.39,1.0,16468361
SIRI,2014-10-08 00:00:00+00:00,3.3262073139,3.3408602096,3.2431742385,3.2822486269,40298878,3.405,0.0,3.42,3.32,3.36,1.0,40298878
SIRI,2014-10-09 00:00:00+00:00,3.2040998501,3.3408602096,3.2040998501,3.3017858212,55022285,3.28,0.0,3.42,3.28,3.38,1.0,55022285
SIRI,2014-10-10 00:00:00+00:00,3.096645282,3.2236370443,3.0771080878,3.2138684472,49089085,3.17,0.0,3.3,3.15,3.29,1.0,49089085
SIRI,2014-10-13 00:00:00+00:00,3.1161824762,3.1845626559,3.0673394907,3.0673394907,50618332,3.19,0.0,3.26,3.14,3.14,1.0,50618332
SIRI,2014-10-14 00:00:00+00:00,3.1747940588,3.194331253,3.1064138791,3.1357196704,58646902,3.25,0.0,3.27,3.18,3.21,1.0,58646902
SIRI,2014-10-15 00:00:00+00:00,3.1845626559,3.2138684472,3.096645282,3.1259510733,72844793,3.26,0.0,3.29,3.17,3.2,1.0,72844793
SIRI,2014-10-16 00:00:00+00:00,3.1992155516,3.2138684472,3.1161824762,3.1259510733,35258351,3.275,0.0,3.29,3.19,3.2,1.0,35258351
SIRI,2014-10-17 00:00:00+00:00,3.194331253,3.2528451497,3.1747940588,3.2236370443,31576850,3.27,0.0,3.3299,3.25,3.3,1.0,31576850
SIRI,2014-10-20 00:00:00+00:00,3.2529428356,3.2529428356,3.1747940588,3.1845626559,28324296,3.33,0.0,3.33,3.25,3.26,1.0,28324296
SIRI,2014-10-21 00:00:00+00:00,3.3017858212,3.3115544183,3.2431742385,3.2431742385,15778665,3.38,0.0,3.39,3.32,3.32,1.0,15778665
SIRI,2014-10-22 00:00:00+00:00,3.2529428356,3.3115544183,3.2529428356,3.3017858212,13275953,3.33,0.0,3.39,3.33,3.38,1.0,13275953
SIRI,2014-10-23 00:00:00+00:00,3.2920172241,3.2920172241,3.2529428356,3.2724800298,17592510,3.37,0.0,3.37,3.33,3.35,1.0,17592510
SIRI,2014-10-24 00:00:00+00:00,3.2920172241,3.3017858212,3.2627114327,3.3017858212,11873312,3.37,0.0,3.38,3.34,3.38,1.0,11873312
SIRI,2014-10-27 00:00:00+00:00,3.2724800298,3.2822486269,3.2334056414,3.2627114327,18389518,3.35,0.0,3.36,3.31,3.34,1.0,18389518
SIRI,2014-10-28 00:00:00+00:00,3.2529428356,3.3017858212,3.2084957188,3.2724800298,38363489,3.33,0.0,3.38,3.2845,3.35,1.0,38363489
SIRI,2014-10-29 00:00:00+00:00,3.2724800298,3.2920172241,3.2431742385,3.2529428356,43980570,3.35,0.0,3.37,3.32,3.33,1.0,43980570
SIRI,2014-10-30 00:00:00+00:00,3.3017858212,3.3115544183,3.2627114327,3.2724800298,25947845,3.38,0.0,3.39,3.34,3.35,1.0,25947845
SIRI,2014-10-31 00:00:00+00:00,3.3506288067,3.3701660009,3.3213230154,3.3213230154,40230904,3.43,0.0,3.45,3.4,3.4,1.0,40230904
SIRI,2014-11-03 00:00:00+00:00,3.3994717922,3.4092403893,3.3408602096,3.3506288067,25804409,3.48,0.0,3.49,3.42,3.43,1.0,25804409
SIRI,2014-11-04 00:00:00+00:00,3.3994717922,3.3994717922,3.3506288067,3.3897031951,30468416,3.48,0.0,3.48,3.43,3.47,1.0,30468416
SIRI,2014-11-05 00:00:00+00:00,3.4092403893,3.4190089864,3.3506288067,3.3994717922,40178989,3.49,0.0,3.5,3.43,3.48,1.0,40178989
SIRI,2014-11-06 00:00:00+00:00,3.3701660009,3.4190089864,3.3603974038,3.4092403893,30343215,3.45,0.0,3.5,3.44,3.49,1.0,30343215
SIRI,2014-11-07 00:00:00+00:00,3.3750502994,3.3897031951,3.3603974038,3.3897031951,28155979,3.455,0.0,3.47,3.44,3.47,1.0,28155979
SIRI,2014-11-10 00:00:00+00:00,3.4092403893,3.4092403893,3.3506288067,3.3701660009,28796012,3.49,0.0,3.49,3.43,3.45,1.0,28796012
