symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SNPS,2014-10-20 00:00:00+00:00,38.1,38.14,37.37,37.69,567185,38.1,0.0,38.14,37.37,37.69,1.0,567185
SNPS,2014-10-21 00:00:00+00:00,38.905,38.98,38.15,38.43,522971,38.905,0.0,38.98,38.15,38.43,1.0,522971
SNPS,2014-10-22 00:00:00+00:00,38.68,39.27,38.59,38.93,483760,38.68,0.0,39.27,38.59,38.93,1.0,483760
SNPS,2014-10-23 00:00:00+00:00,39.51,39.67,39.0,39.0,461000,39.51,0.0,39.67,39.0,39.0,1.0,461000
SNPS,2014-10-24 00:00:00+00:00,39.93,39.95,39.449,39.51,377360,39.93,0.0,39.95,39.449,39.51,1.0,377360
SNPS,2014-10-27 00:00:00+00:00,39.85,39.98,39.56,39.8,410933,39.85,0.0,39.98,39.56,39.8,1.0,410933
SNPS,2014-10-28 00:00:00+00:00,40.47,40.48,39.93,39.93,278477,40.47,0.0,40.48,39.93,39.93,1.0,278477
SNPS,2014-10-29 00:00:00+00:00,40.6,40.8,40.34,40.41,366560,40.6,0.0,40.8,40.34,40.41,1.0,366560
SNPS,2014-10-30 00:00:00+00:00,40.77,40.8,40.38,40.48,261336,40.77,0.0,40.8,40.38,40.48,1.0,261336
SNPS,2014-10-31 00:00:00+00:00,40.98,41.34,40.83,41.09,780688,40.98,0.0,41.34,40.83,41.09,1.0,780688
SNPS,2014-11-03 00:00:00+00:00,41.16,41.25,40.97,41.06,707455,41.16,0.0,41.25,40.97,41.06,1.0,707455
SNPS,2014-11-04 00:00:00+00:00,41.28,41.44,41.0001,41.16,406792,41.28,0.0,41.44,41.0001,41.16,1.0,406792
SNPS,2014-11-05 00:00:00+00:00,41.25,41.45,41.09,41.4,417417,41.25,0.0,41.45,41.09,41.4,1.0,417417
SNPS,2014-11-06 00:00:00+00:00,41.59,41.62,41.08,41.3,369729,41.59,0.0,41.62,41.08,41.3,1.0,369729
SNPS,2014-11-07 00:00:00+00:00,41.87,41.89,41.38,41.56,397916,41.87,0.0,41.89,41.38,41.56,1.0,397916
SNPS,2014-11-10 00:00:00+00:00,41.995,42.24,41.77,41.8,554675,41.995,0.0,42.24,41.77,41.8,1.0,554675
SNPS,2014-11-11 00:00:00+00:00,42.01,42.125,41.885,42.0,351347,42.01,0.0,42.125,41.885,42.0,1.0,351347
