symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SWKS,2014-10-20 00:00:00+00:00,48.2934032302,48.3911820065,46.9803739484,47.3901135825,3536299,51.86,0.0,51.965,50.45,50.89,1.0,3536299
SWKS,2014-10-21 00:00:00+00:00,50.9380863227,50.9473985871,49.355001373,49.6529938341,4658871,54.7,0.0,54.71,53.0,53.32,1.0,4658871
SWKS,2014-10-22 00:00:00+00:00,49.9975476173,51.4316363364,49.8764881799,51.217454255,3353643,53.69,0.0,55.23,53.56,55.0,1.0,3353643
SWKS,2014-10-23 00:00:00+00:00,51.5340712449,52.0928071095,50.5451087646,50.7518410345,3934545,55.34,0.0,55.94,54.278,54.5,1.0,3934545
SWKS,2014-10-24 00:00:00+00:00,51.2547033126,51.6812050226,50.8077146209,51.3478259567,3007968,55.04,0.0,55.498,54.56,55.14,1.0,3007968
SWKS,2014-10-27 00:00:00+00:00,51.0870825532,51.3197960408,50.4817853666,50.8822127362,2649325,54.86,0.0,55.1099,54.21,54.64,1.0,2649325
SWKS,2014-10-28 00:00:00+00:00,51.9717476722,52.0089967298,50.900837265,51.2081419906,3358494,55.81,0.0,55.85,54.66,54.99,1.0,3358494
SWKS,2014-10-29 00:00:00+00:00,53.3778995981,53.4151486557,51.5620080381,51.5620080381,3105694,57.32,0.0,57.36,55.37,55.37,1.0,3105694
SWKS,2014-10-30 00:00:00+00:00,52.1859297536,53.4058363913,51.5061344517,53.0240335505,3529280,56.04,0.0,57.35,55.31,56.94,1.0,3529280
SWKS,2014-10-31 00:00:00+00:00,54.2346279238,54.3556873611,53.4523977134,53.5734571507,3686116,58.24,0.0,58.37,57.4,57.53,1.0,3686116
SWKS,2014-11-03 00:00:00+00:00,56.0877685414,56.4788836466,54.2532524526,54.4488100052,5158237,60.23,0.0,60.65,58.26,58.47,1.0,5158237
SWKS,2014-11-04 00:00:00+00:00,56.2647015652,56.5347572331,55.4079732395,55.9108355176,3898454,60.42,0.0,60.71,59.5,60.04,1.0,3898454
SWKS,2014-11-05 00:00:00+00:00,56.693065728,57.0748685688,55.8736795826,56.5720062907,4500870,60.88,0.0,61.29,60.0001,60.75,1.0,4500870
SWKS,2014-11-06 00:00:00+00:00,57.8664110437,58.0526563319,56.1808911855,56.804812901,6192206,62.14,0.0,62.34,60.33,61.0,1.0,6192206
SWKS,2014-11-07 00:00:00+00:00,55.761839287,59.0304440949,52.7828459023,58.5275818168,11115819,59.88,0.0,63.39,56.681,62.85,1.0,11115819
SWKS,2014-11-10 00:00:00+00:00,56.7768761077,57.3076751791,55.9481776979,56.0970808058,4277487,60.97,0.0,61.54,60.0801,60.24,1.0,4277487
SWKS,2014-11-11 00:00:00+00:00,56.7768761077,56.8876920542,56.0985707681,56.804812901,2705382,60.97,0.0,61.089,60.2416,61.0,1.0,2705382
SWKS,2014-11-12 00:00:00+00:00,56.7955006365,57.5497940538,56.5813185551,56.7116902569,3438572,60.99,0.0,61.8,60.76,60.9,1.0,3438572
SWKS,2014-11-13 00:00:00+00:00,56.5347572331,57.4938273447,56.1808911855,56.8699987518,3186167,60.71,0.0,61.7399,60.33,61.07,1.0,3186167
SWKS,2014-11-14 00:00:00+00:00,58.6020799321,58.9753415877,56.3625099984,56.8197555265,5876406,62.8,0.13,63.2,60.4,60.89,1.0,5876406
SWKS,2014-11-17 00:00:00+00:00,57.9955297417,58.7420530529,57.1371212492,58.5460906837,3711544,62.15,0.0,62.95,61.2301,62.74,1.0,3711544
SWKS,2014-11-18 00:00:00+00:00,59.628549485,59.6938702748,58.0272569824,58.0421874487,4050735,63.9,0.0,63.97,62.184,62.2,1.0,4050735
SWKS,2014-11-19 00:00:00+00:00,59.5445656125,59.7125333576,58.4714383526,59.5818917781,3144009,63.81,0.0,63.99,62.66,63.85,1.0,3144009
SWKS,2014-11-20 00:00:00+00:00,60.3377466307,60.5710351655,58.6114114735,58.9753415877,3036882,64.66,0.0,64.91,62.81,63.2,1.0,3036882
SWKS,2014-11-21 00:00:00+00:00,60.057800389,60.9816229867,59.7685226059,60.7856606175,3148023,64.36,0.0,65.35,64.05,65.14,1.0,3148023
SWKS,2014-11-24 00:00:00+00:00,61.3362215595,61.588173177,60.1884419685,60.3564097135,2686622,65.73,0.0,66.0,64.5,64.68,1.0,2686622
SWKS,2014-11-25 00:00:00+00:00,61.0936014833,62.0547502466,60.6008960979,61.9427717499,10064917,65.47,0.0,66.5,64.942,66.38,1.0,10064917
SWKS,2014-11-26 00:00:00+00:00,63.3611660412,63.4498156844,61.2895638525,61.2895638525,3950859,67.9,0.0,67.995,65.68,65.68,1.0,3950859
SWKS,2014-11-28 00:00:00+00:00,62.9599097614,63.4544814551,62.5959796472,63.3611660412,1774302,67.47,0.0,68.0,67.08,67.9,1.0,1774302
SWKS,2014-12-01 00:00:00+00:00,61.3735477251,62.8479312647,60.0298057648,62.7639473922,4437650,65.77,0.0,67.35,64.33,67.26,1.0,4437650
SWKS,2014-12-02 00:00:00+00:00,61.4015423492,61.8214617118,59.7498595231,60.5057143757,4766915,65.8,0.0,66.25,64.03,64.84,1.0,4766915
SWKS,2014-12-03 00:00:00+00:00,62.2133864502,62.3720226538,60.6877727483,61.6068362598,3870029,66.67,0.0,66.84,65.0351,66.02,1.0,3870029
SWKS,2014-12-04 00:00:00+00:00,65.0875011985,65.4514313127,62.7266212267,63.4544814551,6626585,69.75,0.0,70.14,67.22,68.0,1.0,6626585
SWKS,2014-12-05 00:00:00+00:00,65.6567252233,66.3379277448,64.7011753849,65.4607628541,3988456,70.36,0.0,71.09,69.336,70.15,1.0,3988456
SWKS,2014-12-08 00:00:00+00:00,64.527608715,66.1979546239,63.5851230346,65.3301212746,3816900,69.15,0.0,70.94,68.14,70.01,1.0,3816900
SWKS,2014-12-09 00:00:00+00:00,64.5929295048,65.1434904468,61.2429061456,62.400017278,3000118,69.22,0.0,69.81,65.63,66.87,1.0,3000118
SWKS,2014-12-10 00:00:00+00:00,63.9397216074,65.9553345478,63.7437592382,65.0968327398,3454235,68.52,0.0,70.68,68.31,69.76,1.0,3454235
SWKS,2014-12-11 00:00:00+00:00,65.3954420643,66.5712162795,64.1636786008,64.2943201803,3375104,70.08,0.0,71.34,68.76,68.9,1.0,3375104
SWKS,2014-12-12 00:00:00+00:00,64.4809510081,65.5727413508,64.3969671356,64.3969671356,2384744,69.1,0.0,70.27,69.01,69.01,1.0,2384744
SWKS,2014-12-15 00:00:00+00:00,63.930390066,65.554078268,63.1745352134,65.2648004849,3576412,68.51,0.0,70.25,67.7,69.94,1.0,3576412
SWKS,2014-12-16 00:00:00+00:00,63.5664599518,65.1434904468,62.7732789336,63.3051767929,2881250,68.12,0.0,69.81,67.27,67.84,1.0,2881250
SWKS,2014-12-17 00:00:00+00:00,66.0859761272,66.1699599997,62.9879043856,64.0423685627,2825993,70.82,0.0,70.91,67.5,68.63,1.0,2825993
SWKS,2014-12-18 00:00:00+00:00,68.2975514368,68.2975514368,67.0471248905,68.1202521504,3716366,73.19,0.0,73.19,71.85,73.0,1.0,3716366
SWKS,2014-12-19 00:00:00+00:00,67.8403059086,68.8014546719,66.805344653,68.6521500096,4409197,72.7,0.0,73.73,71.5909,73.57,1.0,4409197
SWKS,2014-12-22 00:00:00+00:00,69.4453310278,69.8185926834,67.3737288391,68.0735944434,2627142,74.42,0.0,74.82,72.2,72.95,1.0,2627142
SWKS,2014-12-23 00:00:00+00:00,68.493513806,69.9585658043,68.3255460609,69.8372557662,2596746,73.4,0.0,74.97,73.22,74.84,1.0,2596746
SWKS,2014-12-24 00:00:00+00:00,69.3520156139,69.5666410659,68.6428184682,68.8947700858,922816,74.32,0.0,74.55,73.56,73.83,1.0,922816
SWKS,2014-12-26 00:00:00+00:00,69.5106518175,69.6786195626,68.9974170411,69.3986733208,1398563,74.49,0.0,74.67,73.94,74.37,1.0,1398563
