symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SYMC,2014-10-02 00:00:00+00:00,17.2759079191,17.3172665166,17.0021569157,17.0909410249,3842543,23.35,0.0,23.4059,22.98,23.1,1.0,3842543
SYMC,2014-10-03 00:00:00+00:00,17.3055026222,17.3942867314,17.2093198372,17.2833065949,4623238,23.39,0.0,23.51,23.26,23.36,1.0,4623238
SYMC,2014-10-06 00:00:00+00:00,17.3942867314,17.4608748133,17.3202999737,17.3350973252,3169905,23.51,0.0,23.6,23.41,23.43,1.0,3169905
SYMC,2014-10-07 00:00:00+00:00,17.1575291068,17.4238814345,17.1575291068,17.3055026222,3043175,23.19,0.0,23.55,23.19,23.39,1.0,3043175
SYMC,2014-10-08 00:00:00+00:00,17.7642205198,17.7864165471,17.1876417172,17.6902337621,9161744,24.01,0.0,24.04,23.2307,23.91,1.0,9161744
SYMC,2014-10-09 00:00:00+00:00,17.342496001,17.7420984793,17.3129012979,17.7124297894,3550254,23.44,0.0,23.9801,23.4,23.94,1.0,3550254
SYMC,2014-10-10 00:00:00+00:00,16.2326946358,17.4312801102,16.2104986084,17.3498946768,10443867,21.94,0.0,23.56,21.91,23.45,1.0,10443867
SYMC,2014-10-13 00:00:00+00:00,16.4620535846,16.7210072365,16.0255317142,16.0403290658,7799342,22.25,0.0,22.6,21.66,21.68,1.0,7799342
SYMC,2014-10-14 00:00:00+00:00,16.6211251136,17.246313216,16.4768509361,16.5804323969,6883519,22.465,0.0,23.31,22.27,22.41,1.0,6883519
SYMC,2014-10-15 00:00:00+00:00,16.3880668269,16.5722938535,16.095819134,16.3954655027,7612720,22.15,0.0,22.399,21.755,22.16,1.0,7612720
SYMC,2014-10-16 00:00:00+00:00,16.2992827177,16.3806681511,16.0921197962,16.1217144992,6170262,22.03,0.0,22.14,21.75,21.79,1.0,6170262
SYMC,2014-10-17 00:00:00+00:00,16.5138443149,16.6988112092,16.2696880146,16.4102628542,5017310,22.32,0.0,22.57,21.99,22.18,1.0,5017310
SYMC,2014-10-20 00:00:00+00:00,16.6433211409,16.6599681614,16.3362760965,16.4028641784,4275654,22.495,0.0,22.5175,22.08,22.17,1.0,4275654
SYMC,2014-10-21 00:00:00+00:00,17.5163648816,17.5200642194,16.6618178303,16.6914125334,9300409,23.675,0.0,23.68,22.52,22.56,1.0,9300409
SYMC,2014-10-22 00:00:00+00:00,17.3942867314,17.5200642194,17.3720907041,17.4904695164,6355874,23.51,0.0,23.68,23.48,23.64,1.0,6355874
SYMC,2014-10-23 00:00:00+00:00,17.660639059,17.6680377348,17.4016854071,17.4608748133,5298894,23.87,0.0,23.88,23.52,23.6,1.0,5298894
SYMC,2014-10-24 00:00:00+00:00,17.7420244925,17.8160112502,17.6384430317,17.7346258167,5000186,23.98,0.0,24.08,23.84,23.97,1.0,5000186
SYMC,2014-10-27 00:00:00+00:00,17.9417887382,17.9713834413,17.6014496529,17.7420244925,4776085,24.25,0.0,24.29,23.79,23.98,1.0,4776085
SYMC,2014-10-28 00:00:00+00:00,18.2081410659,18.2081410659,17.9121940352,18.0305728475,4153222,24.61,0.0,24.61,24.21,24.37,1.0,4153222
SYMC,2014-10-29 00:00:00+00:00,18.1711476871,18.2303370932,18.0009781444,18.1933437144,3744932,24.56,0.0,24.64,24.33,24.59,1.0,3744932
SYMC,2014-10-30 00:00:00+00:00,18.3857092843,18.4448986905,18.0675662263,18.1563503355,3693969,24.85,0.0,24.93,24.42,24.54,1.0,3693969
SYMC,2014-10-31 00:00:00+00:00,18.363513257,18.6076695574,18.363513257,18.5928722059,6577340,24.82,0.0,25.15,24.82,25.13,1.0,6577340
SYMC,2014-11-03 00:00:00+00:00,18.6446629362,18.7556430728,18.363513257,18.3857092843,5338068,25.2,0.0,25.35,24.82,24.85,1.0,5338068
SYMC,2014-11-04 00:00:00+00:00,18.4892907451,18.652061612,18.4522973663,18.6372642605,7142602,24.99,0.0,25.21,24.94,25.19,1.0,7142602
SYMC,2014-11-05 00:00:00+00:00,18.6298655847,18.6964536666,18.459696042,18.5410814755,5265752,25.18,0.0,25.27,24.95,25.06,1.0,5265752
SYMC,2014-11-06 00:00:00+00:00,18.5484801512,18.685355653,18.267330472,18.5632775028,6364576,25.07,0.0,25.255,24.69,25.09,1.0,6364576
SYMC,2014-11-07 00:00:00+00:00,18.4744933936,18.6557609499,18.4670947178,18.6298655847,6129528,24.97,0.0,25.215,24.96,25.18,1.0,6129528
SYMC,2014-11-10 00:00:00+00:00,18.5336827997,18.6076695574,18.4818920693,18.4966894209,4175616,25.05,0.0,25.15,24.98,25.0,1.0,4175616
SYMC,2014-11-11 00:00:00+00:00,18.6372642605,18.6964536666,18.5188854482,18.5706761785,4369306,25.19,0.0,25.27,25.03,25.1,1.0,4369306
SYMC,2014-11-12 00:00:00+00:00,18.5854735301,18.6513217444,18.5484801512,18.555878827,3444728,25.12,0.0,25.209,25.07,25.08,1.0,3444728
SYMC,2014-11-13 00:00:00+00:00,18.9036165881,19.0515901035,18.6224669089,18.6668589635,6661836,25.55,0.0,25.75,25.17,25.23,1.0,6661836
SYMC,2014-11-14 00:00:00+00:00,18.748244397,18.940609967,18.6668589635,18.9332112912,3346891,25.34,0.0,25.6,25.23,25.59,1.0,3346891
SYMC,2014-11-17 00:00:00+00:00,18.8518258577,18.9221132775,18.6964536666,18.7408457212,3144529,25.48,0.0,25.575,25.27,25.33,1.0,3144529
SYMC,2014-11-18 00:00:00+00:00,18.8370285062,18.9850020216,18.6298655847,18.6594602878,3380419,25.46,0.0,25.66,25.18,25.22,1.0,3380419
SYMC,2014-11-19 00:00:00+00:00,18.7260483697,18.8296298304,18.6594602878,18.8296298304,2398599,25.31,0.0,25.45,25.22,25.45,1.0,2398599
SYMC,2014-11-20 00:00:00+00:00,18.9036165881,18.9408284318,18.6356913136,18.6654607886,2330987,25.4,0.15,25.45,25.04,25.08,1.0,2330987
SYMC,2014-11-21 00:00:00+00:00,18.851520007,19.0896758065,18.821750532,19.0896758065,4490496,25.33,0.0,25.65,25.29,25.65,1.0,4490496
SYMC,2014-11-24 00:00:00+00:00,19.2013113375,19.2385231812,18.7919810571,18.851520007,6911656,25.8,0.0,25.85,25.25,25.33,1.0,6911656
SYMC,2014-11-25 00:00:00+00:00,19.2831773936,19.4208612152,19.1343300189,19.2682926562,4126564,25.91,0.0,26.095,25.71,25.89,1.0,4126564
SYMC,2014-11-26 00:00:00+00:00,19.3017833155,19.3724858185,19.1566571251,19.327831606,2818475,25.935,0.0,26.03,25.74,25.97,1.0,2818475
SYMC,2014-11-28 00:00:00+00:00,19.4171400309,19.499006087,19.2980621311,19.3650434497,1577711,26.09,0.0,26.2,25.93,26.02,1.0,1577711
