symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TMUS,2014-10-02 00:00:00+00:00,28.8,29.24,27.66,28.13,10532987,28.8,0.0,29.24,27.66,28.13,1.0,10532987
TMUS,2014-10-03 00:00:00+00:00,29.08,29.22,28.62,29.08,3374350,29.08,0.0,29.22,28.62,29.08,1.0,3374350
TMUS,2014-10-06 00:00:00+00:00,29.33,29.6,29.13,29.37,2881937,29.33,0.0,29.6,29.13,29.37,1.0,2881937
TMUS,2014-10-07 00:00:00+00:00,28.83,29.27,28.795,29.27,2252196,28.83,0.0,29.27,28.795,29.27,1.0,2252196
TMUS,2014-10-08 00:00:00+00:00,28.94,28.97,27.83,28.79,4868739,28.94,0.0,28.97,27.83,28.79,1.0,4868739
TMUS,2014-10-09 00:00:00+00:00,28.39,28.88,28.165,28.66,4550341,28.39,0.0,28.88,28.165,28.66,1.0,4550341
TMUS,2014-10-10 00:00:00+00:00,27.61,28.7,27.56,28.7,4252748,27.61,0.0,28.7,27.56,28.7,1.0,4252748
TMUS,2014-10-13 00:00:00+00:00,26.92,28.09,26.41,28.0,10159575,26.92,0.0,28.09,26.41,28.0,1.0,10159575
TMUS,2014-10-14 00:00:00+00:00,26.41,27.07,26.33,27.06,7123082,26.41,0.0,27.07,26.33,27.06,1.0,7123082
TMUS,2014-10-15 00:00:00+00:00,25.74,26.05,24.5,26.02,8843560,25.74,0.0,26.05,24.5,26.02,1.0,8843560
TMUS,2014-10-16 00:00:00+00:00,25.67,25.76,25.09,25.17,5208144,25.67,0.0,25.76,25.09,25.17,1.0,5208144
TMUS,2014-10-17 00:00:00+00:00,26.11,26.3,25.79,25.94,3510427,26.11,0.0,26.3,25.79,25.94,1.0,3510427
TMUS,2014-10-20 00:00:00+00:00,26.96,27.06,26.42,26.55,3600677,26.96,0.0,27.06,26.42,26.55,1.0,3600677
TMUS,2014-10-21 00:00:00+00:00,27.36,27.6,27.06,27.09,4321663,27.36,0.0,27.6,27.06,27.09,1.0,4321663
TMUS,2014-10-22 00:00:00+00:00,27.05,27.46,26.93,27.43,7577818,27.05,0.0,27.46,26.93,27.43,1.0,7577818
