symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TSLA,2014-10-02 00:00:00+00:00,251.42,252.79,245.36,250.2,9002001,251.42,0.0,252.79,245.36,250.2,1.0,9002001
TSLA,2014-10-03 00:00:00+00:00,255.21,256.5,251.033,253.06,5408665,255.21,0.0,256.5,251.033,253.06,1.0,5408665
TSLA,2014-10-06 00:00:00+00:00,260.62,262.49,257.8,259.13,7719055,260.62,0.0,262.49,257.8,259.13,1.0,7719055
TSLA,2014-10-07 00:00:00+00:00,259.57,261.46,255.73,258.53,4491569,259.57,0.0,261.46,255.73,258.53,1.0,4491569
TSLA,2014-10-08 00:00:00+00:00,259.28,262.88,252.64,260.1,5062615,259.28,0.0,262.88,252.64,260.1,1.0,5062615
TSLA,2014-10-09 00:00:00+00:00,257.01,265.54,254.4,262.25,7361316,257.01,0.0,265.54,254.4,262.25,1.0,7361316
TSLA,2014-10-10 00:00:00+00:00,236.91,245.89,235.2,244.64,12898275,236.91,0.0,245.89,235.2,244.64,1.0,12898275
TSLA,2014-10-13 00:00:00+00:00,224.59,238.9628,221.0,238.57,11276552,224.59,0.0,238.9628,221.0,238.57,1.0,11276552
TSLA,2014-10-14 00:00:00+00:00,227.06,232.47,223.0,228.25,7112339,227.06,0.0,232.47,223.0,228.25,1.0,7112339
TSLA,2014-10-15 00:00:00+00:00,229.7,230.99,217.32,220.0,9151648,229.7,0.0,230.99,217.32,220.0,1.0,9151648
TSLA,2014-10-16 00:00:00+00:00,226.35,229.92,219.1,219.72,5404565,226.35,0.0,229.92,219.1,219.72,1.0,5404565
TSLA,2014-10-17 00:00:00+00:00,227.48,234.77,226.55,233.38,10551850,227.48,0.0,234.77,226.55,233.38,1.0,10551850
TSLA,2014-10-20 00:00:00+00:00,230.47,232.4,225.51,226.72,3499686,230.47,0.0,232.4,225.51,226.72,1.0,3499686
TSLA,2014-10-21 00:00:00+00:00,235.34,235.39,230.8,234.27,4130345,235.34,0.0,235.39,230.8,234.27,1.0,4130345
TSLA,2014-10-22 00:00:00+00:00,231.1,237.39,230.56,233.19,4123397,231.1,0.0,237.39,230.56,233.19,1.0,4123397
TSLA,2014-10-23 00:00:00+00:00,235.29,236.28,232.0,234.655,3499882,235.29,0.0,236.28,232.0,234.655,1.0,3499882
TSLA,2014-10-24 00:00:00+00:00,235.24,237.8,231.2,236.27,3466927,235.24,0.0,237.8,231.2,236.27,1.0,3466927
TSLA,2014-10-27 00:00:00+00:00,221.67,234.61,220.31,234.25,9553348,221.67,0.0,234.61,220.31,234.25,1.0,9553348
TSLA,2014-10-28 00:00:00+00:00,242.77,244.6,228.25,229.6,10516297,242.77,0.0,244.6,228.25,229.6,1.0,10516297
TSLA,2014-10-29 00:00:00+00:00,238.1,241.5,235.64,241.13,4967640,238.1,0.0,241.5,235.64,241.13,1.0,4967640
TSLA,2014-10-30 00:00:00+00:00,238.66,240.5,235.06,238.14,3228371,238.66,0.0,240.5,235.06,238.14,1.0,3228371
TSLA,2014-10-31 00:00:00+00:00,241.7,243.12,238.75,242.51,3775327,241.7,0.0,243.12,238.75,242.51,1.0,3775327
TSLA,2014-11-03 00:00:00+00:00,242.59,247.56,241.32,243.0,4207268,242.59,0.0,247.56,241.32,243.0,1.0,4207268
