symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TTWO,2014-10-02 00:00:00+00:00,22.37,22.59,21.845,22.44,1293269,22.37,0.0,22.59,21.845,22.44,1.0,1293269
TTWO,2014-10-03 00:00:00+00:00,22.86,23.04,22.37,22.62,899622,22.86,0.0,23.04,22.37,22.62,1.0,899622
TTWO,2014-10-06 00:00:00+00:00,22.9,23.065,22.64,22.98,828816,22.9,0.0,23.065,22.64,22.98,1.0,828816
TTWO,2014-10-07 00:00:00+00:00,22.1,22.87,22.02,22.81,2809305,22.1,0.0,22.87,22.02,22.81,1.0,2809305
TTWO,2014-10-08 00:00:00+00:00,22.44,22.5,21.5,22.12,1911376,22.44,0.0,22.5,21.5,22.12,1.0,1911376
TTWO,2014-10-09 00:00:00+00:00,21.99,22.57,21.975,22.41,1143785,21.99,0.0,22.57,21.975,22.41,1.0,1143785
TTWO,2014-10-10 00:00:00+00:00,21.64,21.99,21.38,21.84,2408200,21.64,0.0,21.99,21.38,21.84,1.0,2408200
TTWO,2014-10-13 00:00:00+00:00,20.72,21.82,20.69,21.65,1735836,20.72,0.0,21.82,20.69,21.65,1.0,1735836
TTWO,2014-10-14 00:00:00+00:00,20.83,21.42,20.75,21.0,1766447,20.83,0.0,21.42,20.75,21.0,1.0,1766447
TTWO,2014-10-15 00:00:00+00:00,21.19,21.33,20.13,20.51,1749249,21.19,0.0,21.33,20.13,20.51,1.0,1749249
TTWO,2014-10-16 00:00:00+00:00,21.49,21.9,20.64,20.91,1218481,21.49,0.0,21.9,20.64,20.91,1.0,1218481
TTWO,2014-10-17 00:00:00+00:00,21.52,22.21,21.33,21.86,1074367,21.52,0.0,22.21,21.33,21.86,1.0,1074367
TTWO,2014-10-20 00:00:00+00:00,21.8,21.89,21.32,21.46,1229766,21.8,0.0,21.89,21.32,21.46,1.0,1229766
TTWO,2014-10-21 00:00:00+00:00,22.33,22.37,21.8,21.89,1287184,22.33,0.0,22.37,21.8,21.89,1.0,1287184
TTWO,2014-10-22 00:00:00+00:00,22.01,22.68,21.93,22.42,1279039,22.01,0.0,22.68,21.93,22.42,1.0,1279039
TTWO,2014-10-23 00:00:00+00:00,22.56,22.7,22.2,22.2,799858,22.56,0.0,22.7,22.2,22.2,1.0,799858
TTWO,2014-10-24 00:00:00+00:00,22.42,22.72,22.25,22.56,1011197,22.42,0.0,22.72,22.25,22.56,1.0,1011197
TTWO,2014-10-27 00:00:00+00:00,22.11,22.47,21.98,22.37,956549,22.11,0.0,22.47,21.98,22.37,1.0,956549
TTWO,2014-10-28 00:00:00+00:00,23.11,23.11,22.17,22.19,1850784,23.11,0.0,23.11,22.17,22.19,1.0,1850784
