symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TXN,2014-10-20 00:00:00+00:00,39.00435831,39.0834033956,37.9328582619,38.1963418803,9502237,44.41,0.0,44.5,43.19,43.49,1.0,9502237
TXN,2014-10-21 00:00:00+00:00,41.0770961081,41.1385756191,39.5928928857,39.9968132727,15036910,46.77,0.0,46.84,45.0801,45.54,1.0,15036910
TXN,2014-10-22 00:00:00+00:00,40.9453542989,41.8763297506,40.9190059371,41.639194494,11660455,46.62,0.0,47.68,46.59,47.41,1.0,11660455
TXN,2014-10-23 00:00:00+00:00,41.2791002155,41.6567600686,41.1385756191,41.4371903866,7005923,47.0,0.0,47.43,46.84,47.18,1.0,7005923
TXN,2014-10-24 00:00:00+00:00,41.7797190905,41.8324158142,41.0770961081,41.3932764502,5606926,47.57,0.0,47.63,46.77,47.13,1.0,5606926
TXN,2014-10-27 00:00:00+00:00,42.1134650071,42.2100756672,41.3932764502,41.8411986014,7576326,47.95,0.0,48.06,47.13,47.64,1.0,7576326
TXN,2014-10-28 00:00:00+00:00,42.5965183075,42.5965183075,42.016854347,42.2452068163,6328654,48.5,0.0,48.5,47.84,48.1,1.0,6328654
TXN,2014-10-29 00:00:00+00:00,42.7458256913,42.9492508911,42.4451101784,42.5689342131,8163939,48.33,0.34,48.56,47.99,48.13,1.0,8163939
TXN,2014-10-30 00:00:00+00:00,42.0382597787,42.7369811174,41.4589401878,42.577778787,11485287,47.53,0.0,48.32,46.875,48.14,1.0,11485287
TXN,2014-10-31 00:00:00+00:00,43.9221540209,44.4086055857,43.1172977954,43.4710807516,14552309,49.66,0.0,50.21,48.75,49.15,1.0,14552309
TXN,2014-11-03 00:00:00+00:00,44.293626125,44.4882067509,43.8248637079,43.913309447,6921468,50.08,0.0,50.3,49.55,49.65,1.0,6921468
TXN,2014-11-04 00:00:00+00:00,44.57665249,44.6252976465,44.001755186,44.196335812,6285734,50.4,0.0,50.455,49.75,49.97,1.0,6285734
TXN,2014-11-05 00:00:00+00:00,45.2223063852,45.2665292547,44.4616730292,44.6474090812,5302619,51.13,0.0,51.18,50.27,50.48,1.0,5302619
TXN,2014-11-06 00:00:00+00:00,45.0233034723,45.4168870111,44.7190501299,45.1515497939,6300673,50.905,0.0,51.35,50.561,51.05,1.0,6300673
TXN,2014-11-07 00:00:00+00:00,45.0188811853,45.2532623938,44.7358548203,45.1957726634,4927477,50.9,0.0,51.165,50.58,51.1,1.0,4927477
TXN,2014-11-10 00:00:00+00:00,45.6026230632,45.6645350805,44.9746583158,45.0188811853,4528054,51.56,0.0,51.63,50.85,50.9,1.0,4528054
TXN,2014-11-11 00:00:00+00:00,45.3859310024,45.8148928369,45.2223063852,45.8148928369,4269301,51.315,0.0,51.8,51.13,51.8,1.0,4269301
TXN,2014-11-12 00:00:00+00:00,45.3549749938,45.5053327502,44.8862125767,45.3903532894,4093026,51.28,0.0,51.45,50.75,51.32,1.0,4093026
TXN,2014-11-13 00:00:00+00:00,45.2665292547,45.7176025239,45.0453264613,45.239995533,4411235,51.18,0.0,51.69,50.9299,51.15,1.0,4411235
TXN,2014-11-14 00:00:00+00:00,45.6645350805,45.6822242283,45.0011920375,45.0011920375,3574979,51.63,0.0,51.65,50.88,50.88,1.0,3574979
TXN,2014-11-17 00:00:00+00:00,45.5937784892,45.6556905066,45.1780835156,45.5937784892,3218799,51.55,0.0,51.62,51.08,51.55,1.0,3218799
TXN,2014-11-18 00:00:00+00:00,45.8502711325,46.0625409063,45.4168870111,45.5937784892,4627344,51.84,0.0,52.08,51.35,51.55,1.0,4627344
TXN,2014-11-19 00:00:00+00:00,45.9387168716,45.9564060194,45.4168870111,45.8148928369,6590356,51.94,0.0,51.96,51.35,51.8,1.0,6590356
TXN,2014-11-20 00:00:00+00:00,46.1952095149,46.2217432366,45.5495556197,45.7706699674,4759893,52.23,0.0,52.26,51.5,51.75,1.0,4759893
TXN,2014-11-21 00:00:00+00:00,46.4870804538,46.8585525579,46.0271626107,46.5578370451,5287315,52.56,0.0,52.98,52.04,52.64,1.0,5287315
TXN,2014-11-24 00:00:00+00:00,46.7435730971,46.9823765926,46.3853678539,46.8762417057,3441771,52.85,0.0,53.12,52.445,53.0,1.0,3441771
TXN,2014-11-25 00:00:00+00:00,46.3809455669,46.9116200013,46.2703883931,46.7435730971,5328958,52.44,0.0,53.04,52.315,52.85,1.0,5328958
TXN,2014-11-26 00:00:00+00:00,48.0525700353,48.0702591831,46.4428575843,46.4605467321,7216728,54.33,0.0,54.35,52.51,52.53,1.0,7216728
TXN,2014-11-28 00:00:00+00:00,48.1321712005,48.4151975655,47.990658018,48.2471506613,3628647,54.42,0.0,54.74,54.26,54.55,1.0,3628647
TXN,2014-12-01 00:00:00+00:00,47.9818134441,48.17639407,47.4246052879,47.9995025919,5849819,54.25,0.0,54.47,53.62,54.27,1.0,5849819
TXN,2014-12-02 00:00:00+00:00,48.2559952352,48.3355964003,47.7872328181,48.0525700353,4051117,54.56,0.0,54.65,54.03,54.33,1.0,4051117
TXN,2014-12-03 00:00:00+00:00,49.1935200693,49.2465875127,48.2471506613,48.5213324524,5493611,55.62,0.0,55.68,54.55,54.86,1.0,5493611
TXN,2014-12-04 00:00:00+00:00,49.0077840172,49.3350332518,48.7866696696,48.9104937043,4123252,55.41,0.0,55.78,55.16,55.3,1.0,4123252
TXN,2014-12-05 00:00:00+00:00,49.1581417737,49.2819658084,48.8574262608,49.220053791,3923452,55.58,0.0,55.72,55.24,55.65,1.0,3923452
TXN,2014-12-08 00:00:00+00:00,48.7159130783,49.5251915908,48.4771095828,48.7689805218,5914110,55.08,0.0,55.995,54.81,55.14,1.0,5914110
TXN,2014-12-09 00:00:00+00:00,48.654001061,49.0077840172,48.0348808875,48.2383060874,8388244,55.01,0.0,55.41,54.31,54.54,1.0,8388244
TXN,2014-12-10 00:00:00+00:00,47.8447225485,48.8220479652,47.7872328181,48.5743998958,5838122,54.095,0.0,55.2,54.03,54.92,1.0,5838122
TXN,2014-12-11 00:00:00+00:00,48.1896609309,48.5169101654,47.893367705,48.0171917397,6517317,54.485,0.0,54.855,54.15,54.29,1.0,6517317
TXN,2014-12-12 00:00:00+00:00,46.9735320187,48.2869512438,46.8275965492,47.707631653,8428044,53.11,0.0,54.595,52.945,53.94,1.0,8428044
TXN,2014-12-15 00:00:00+00:00,46.9337314361,47.7518545225,46.6772387928,47.4422944358,7483853,53.065,0.0,53.99,52.775,53.64,1.0,7483853
TXN,2014-12-16 00:00:00+00:00,46.4074792887,47.5484293226,46.3632564191,46.8762417057,7171510,52.47,0.0,53.76,52.42,53.0,1.0,7171510
TXN,2014-12-17 00:00:00+00:00,47.3184704011,47.4644058705,45.9564060194,46.3897901409,8881438,53.5,0.0,53.665,51.96,52.45,1.0,8881438
TXN,2014-12-18 00:00:00+00:00,48.17639407,48.2294615135,47.7606990964,48.2117723656,8119916,54.47,0.0,54.53,54.0,54.51,1.0,8119916
TXN,2014-12-19 00:00:00+00:00,47.9641242963,48.6009336175,47.7783882442,48.6009336175,10583495,54.23,0.0,54.95,54.02,54.95,1.0,10583495
TXN,2014-12-22 00:00:00+00:00,48.4859541567,48.6009336175,48.0525700353,48.1940832178,4359948,54.82,0.0,54.95,54.33,54.49,1.0,4359948
TXN,2014-12-23 00:00:00+00:00,48.4505758611,48.9458719999,48.4019307046,48.6097781914,3507571,54.78,0.0,55.34,54.725,54.96,1.0,3507571
TXN,2014-12-24 00:00:00+00:00,48.5213324524,48.7247576522,48.5036433046,48.6363119132,1442861,54.86,0.0,55.09,54.84,54.99,1.0,1442861
TXN,2014-12-26 00:00:00+00:00,48.4196198524,48.6628456349,48.3799077156,48.5655553219,1839128,54.745,0.0,55.02,54.7001,54.91,1.0,1839128
TXN,2014-12-29 00:00:00+00:00,48.1631272092,48.4771095828,48.0967929049,48.3798192699,2381024,54.455,0.0,54.81,54.38,54.7,1.0,2381024
TXN,2014-12-30 00:00:00+00:00,47.698787079,48.0879483309,47.6810979312,48.0879483309,2626882,53.93,0.0,54.37,53.91,54.37,1.0,2626882
TXN,2014-12-31 00:00:00+00:00,47.2875143924,47.9818134441,47.2654029576,47.9375905745,4068620,53.465,0.0,54.25,53.44,54.2,1.0,4068620
TXN,2015-01-02 00:00:00+00:00,47.3007812532,47.8314556877,46.885970737,47.3715378445,4026075,53.48,0.0,54.08,53.011,53.56,1.0,4026075
TXN,2015-01-05 00:00:00+00:00,46.562259332,47.3096258272,46.5224587495,47.04428861,5599324,52.645,0.0,53.49,52.6,53.19,1.0,5599324
TXN,2015-01-06 00:00:00+00:00,45.7972036891,46.8939308535,45.7441362457,46.7789513927,5468393,51.78,0.0,53.02,51.72,52.89,1.0,5468393
TXN,2015-01-07 00:00:00+00:00,46.6197490624,46.7612622449,45.806048263,46.000628889,4577116,52.71,0.0,52.87,51.79,52.01,1.0,4577116
TXN,2015-01-08 00:00:00+00:00,47.3803824184,47.7164762269,46.8850862796,46.9912211665,6295206,53.57,0.0,53.95,53.01,53.13,1.0,6295206
TXN,2015-01-09 00:00:00+00:00,47.4069161401,47.7430099486,46.9558428709,47.3007812532,3883558,53.6,0.0,53.98,53.09,53.48,1.0,3883558
TXN,2015-01-12 00:00:00+00:00,46.9823765926,47.5395847487,46.7877959667,47.5307401748,4282486,53.12,0.0,53.75,52.9,53.74,1.0,4282486
TXN,2015-01-13 00:00:00+00:00,46.6905056537,48.0083471658,46.3986347148,47.3803824184,5013889,52.79,0.0,54.28,52.46,53.57,1.0,5013889
TXN,2015-01-14 00:00:00+00:00,46.6197490624,47.1504234968,46.2040540888,46.4782358799,5191399,52.71,0.0,53.31,52.24,52.55,1.0,5191399
TXN,2015-01-15 00:00:00+00:00,46.3323004105,47.0885114795,46.1686757932,46.7966405406,5796431,52.385,0.0,53.24,52.2,52.91,1.0,5796431
TXN,2015-01-16 00:00:00+00:00,47.1283120621,47.2477138098,46.0979192019,46.4163238626,4988703,53.285,0.0,53.42,52.12,52.48,1.0,4988703
TXN,2015-01-20 00:00:00+00:00,47.5882299052,47.888945418,47.04428861,47.3096258272,7213420,53.805,0.0,54.145,53.19,53.49,1.0,7213420
TXN,2015-01-21 00:00:00+00:00,48.0083471658,48.17639407,47.0531331839,47.1415789229,5468947,54.28,0.0,54.47,53.2,53.3,1.0,5468947
TXN,2015-01-22 00:00:00+00:00,48.6186227654,48.6274673393,47.1769572186,48.0437254614,5484241,54.97,0.0,54.98,53.34,54.32,1.0,5484241
TXN,2015-01-23 00:00:00+00:00,48.6982239305,48.9016491304,48.2383060874,48.6097781914,4856477,55.06,0.0,55.29,54.54,54.96,1.0,4856477
TXN,2015-01-26 00:00:00+00:00,48.6893793566,48.9104937043,48.0782192996,48.3798192699,6136967,55.05,0.0,55.3,54.359,54.7,1.0,6136967
TXN,2015-01-27 00:00:00+00:00,48.4947987307,49.0520068868,47.9464351484,48.2294615135,8532688,54.83,0.0,55.46,54.21,54.53,1.0,8532688
TXN,2015-01-28 00:00:00+00:00,48.0039248788,49.1752081854,47.9282720817,48.7293016986,7393716,53.935,0.34,55.251,53.85,54.75,1.0,7393716
TXN,2015-01-29 00:00:00+00:00,48.658099066,48.8272053185,47.5366576023,47.8125678037,5044895,54.67,0.0,54.86,53.41,53.72,1.0,5044895
TXN,2015-01-30 00:00:00+00:00,47.5722589186,48.5957967625,47.4832556278,48.0439763597,12515792,53.45,0.0,54.6,53.35,53.98,1.0,12515792
TXN,2015-02-02 00:00:00+00:00,47.6078602349,47.84816912,46.6465356912,47.616760564,8385568,53.49,0.0,53.76,52.4099,53.5,1.0,8385568
TXN,2015-02-03 00:00:00+00:00,48.4533914972,48.4889928135,47.7146641838,47.8036674746,6017439,54.44,0.0,54.48,53.61,53.71,1.0,6017439
TXN,2015-02-04 00:00:00+00:00,48.6091472561,48.8628066348,48.0706773469,48.0706773469,7963038,54.615,0.0,54.9,54.01,54.01,1.0,7963038
TXN,2015-02-05 00:00:00+00:00,49.227720127,49.2544211142,48.4889928135,48.6313980788,5059986,55.31,0.0,55.34,54.48,54.64,1.0,5059986
TXN,2015-02-06 00:00:00+00:00,48.3821888646,49.3523247341,48.3020859029,49.2099194688,7715910,54.36,0.0,55.45,54.27,55.29,1.0,7715910
TXN,2015-02-09 00:00:00+00:00,48.3020859029,48.7382020277,48.0884780051,48.3376872192,5146442,54.27,0.0,54.76,54.03,54.31,1.0,5146442
TXN,2015-02-10 00:00:00+00:00,49.6816369099,49.7216883908,48.5690957752,48.7293016986,5654434,55.82,0.0,55.865,54.57,54.75,1.0,5654434
TXN,2015-02-11 00:00:00+00:00,49.8418428333,50.0465504021,49.3968263794,49.5214309865,4956119,56.0,0.0,56.23,55.5,55.64,1.0,4956119
