symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
UAL,2014-10-02 00:00:00+00:00,46.13,46.94,45.27,45.8,5260717,46.13,0.0,46.94,45.27,45.8,1.0,5260717
UAL,2014-10-03 00:00:00+00:00,48.28,48.85,46.93,46.93,6526631,48.28,0.0,48.85,46.93,46.93,1.0,6526631
UAL,2014-10-06 00:00:00+00:00,46.94,48.8,46.89,48.34,5318383,46.94,0.0,48.8,46.89,48.34,1.0,5318383
UAL,2014-10-07 00:00:00+00:00,45.49,46.81,45.36,46.63,5872138,45.49,0.0,46.81,45.36,46.63,1.0,5872138
UAL,2014-10-08 00:00:00+00:00,43.83,46.0,42.86,45.97,10651588,43.83,0.0,46.0,42.86,45.97,1.0,10651588
UAL,2014-10-09 00:00:00+00:00,45.04,47.18,44.46,46.2,15993364,45.04,0.0,47.18,44.46,46.2,1.0,15993364
UAL,2014-10-10 00:00:00+00:00,43.74,45.71,42.86,44.89,7869628,43.74,0.0,45.71,42.86,44.89,1.0,7869628
UAL,2014-10-13 00:00:00+00:00,40.55,44.21,39.46,44.08,14875173,40.55,0.0,44.21,39.46,44.08,1.0,14875173
UAL,2014-10-14 00:00:00+00:00,43.17,43.87,41.42,41.63,10138694,43.17,0.0,43.87,41.42,41.63,1.0,10138694
UAL,2014-10-15 00:00:00+00:00,42.55,44.19,39.79,40.48,15808264,42.55,0.0,44.19,39.79,40.48,1.0,15808264
UAL,2014-10-16 00:00:00+00:00,43.77,44.44,41.357,41.4,10699247,43.77,0.0,44.44,41.357,41.4,1.0,10699247
UAL,2014-10-17 00:00:00+00:00,44.68,45.45,43.97,44.25,4644522,44.68,0.0,45.45,43.97,44.25,1.0,4644522
UAL,2014-10-20 00:00:00+00:00,47.29,47.63,45.23,45.65,8639606,47.29,0.0,47.63,45.23,45.65,1.0,8639606
UAL,2014-10-21 00:00:00+00:00,49.51,50.0,48.07,48.13,9313975,49.51,0.0,50.0,48.07,48.13,1.0,9313975
UAL,2014-10-22 00:00:00+00:00,49.06,49.94,48.83,49.68,7622887,49.06,0.0,49.94,48.83,49.68,1.0,7622887
UAL,2014-10-23 00:00:00+00:00,49.42,50.55,46.66,46.66,15770453,49.42,0.0,50.55,46.66,46.66,1.0,15770453
UAL,2014-10-24 00:00:00+00:00,49.62,50.22,48.15,49.32,7255630,49.62,0.0,50.22,48.15,49.32,1.0,7255630
UAL,2014-10-27 00:00:00+00:00,51.73,51.84,49.26,49.64,10247648,51.73,0.0,51.84,49.26,49.64,1.0,10247648
UAL,2014-10-28 00:00:00+00:00,52.36,53.26,51.13,51.96,8493929,52.36,0.0,53.26,51.13,51.96,1.0,8493929
UAL,2014-10-29 00:00:00+00:00,52.26,52.74,51.54,52.31,5327961,52.26,0.0,52.74,51.54,52.31,1.0,5327961
UAL,2014-10-30 00:00:00+00:00,51.74,52.43,51.37,52.18,3917400,51.74,0.0,52.43,51.37,52.18,1.0,3917400
UAL,2014-10-31 00:00:00+00:00,52.81,53.65,52.44,52.94,6390321,52.81,0.0,53.65,52.44,52.94,1.0,6390321
UAL,2014-11-03 00:00:00+00:00,54.28,54.46,52.81,52.95,4787531,54.28,0.0,54.46,52.81,52.95,1.0,4787531
UAL,2014-11-04 00:00:00+00:00,55.21,56.9,54.97,54.99,7705836,55.21,0.0,56.9,54.97,54.99,1.0,7705836
UAL,2014-11-05 00:00:00+00:00,54.11,55.65,53.77,55.58,3867797,54.11,0.0,55.65,53.77,55.58,1.0,3867797
UAL,2014-11-06 00:00:00+00:00,55.66,56.47,54.6,54.85,6666279,55.66,0.0,56.47,54.6,54.85,1.0,6666279
UAL,2014-11-07 00:00:00+00:00,54.18,55.84,53.87,55.43,5311441,54.18,0.0,55.84,53.87,55.43,1.0,5311441
UAL,2014-11-10 00:00:00+00:00,54.83,54.96,53.26,53.7,3900798,54.83,0.0,54.96,53.26,53.7,1.0,3900798
UAL,2014-11-11 00:00:00+00:00,54.66,55.25,54.24,54.77,3633818,54.66,0.0,55.25,54.24,54.77,1.0,3633818
UAL,2014-11-12 00:00:00+00:00,54.6,54.74,53.56,54.28,3119918,54.6,0.0,54.74,53.56,54.28,1.0,3119918
UAL,2014-11-13 00:00:00+00:00,56.76,56.79,54.68,54.79,6223180,56.76,0.0,56.79,54.68,54.79,1.0,6223180
UAL,2014-11-14 00:00:00+00:00,56.1,57.2,55.725,56.25,5260493,56.1,0.0,57.2,55.725,56.25,1.0,5260493
UAL,2014-11-17 00:00:00+00:00,55.99,57.0,55.86,56.08,4927362,55.99,0.0,57.0,55.86,56.08,1.0,4927362
UAL,2014-11-18 00:00:00+00:00,58.29,58.86,56.04,56.23,6592842,58.29,0.0,58.86,56.04,56.23,1.0,6592842
UAL,2014-11-19 00:00:00+00:00,57.54,58.27,56.47,57.45,3836534,57.54,0.0,58.27,56.47,57.45,1.0,3836534
UAL,2014-11-20 00:00:00+00:00,56.39,57.64,56.04,56.79,4670786,56.39,0.0,57.64,56.04,56.79,1.0,4670786
UAL,2014-11-21 00:00:00+00:00,55.33,56.63,54.6085,56.59,5273718,55.33,0.0,56.63,54.6085,56.59,1.0,5273718
UAL,2014-11-24 00:00:00+00:00,55.91,56.5,55.25,56.13,3794401,55.91,0.0,56.5,55.25,56.13,1.0,3794401
UAL,2014-11-25 00:00:00+00:00,56.25,56.77,55.11,55.68,6844222,56.25,0.0,56.77,55.11,55.68,1.0,6844222
UAL,2014-11-26 00:00:00+00:00,56.6,56.7999,56.24,56.53,3549752,56.6,0.0,56.7999,56.24,56.53,1.0,3549752
UAL,2014-11-28 00:00:00+00:00,61.23,61.93,59.01,59.64,8699384,61.23,0.0,61.93,59.01,59.64,1.0,8699384
UAL,2014-12-01 00:00:00+00:00,59.57,61.21,58.97,61.0,5294159,59.57,0.0,61.21,58.97,61.0,1.0,5294159
UAL,2014-12-02 00:00:00+00:00,59.38,60.76,58.12,59.99,5597146,59.38,0.0,60.76,58.12,59.99,1.0,5597146
UAL,2014-12-03 00:00:00+00:00,59.29,60.21,57.89,59.53,4098407,59.29,0.0,60.21,57.89,59.53,1.0,4098407
UAL,2014-12-04 00:00:00+00:00,61.75,63.15,61.19,61.81,8910080,61.75,0.0,63.15,61.19,61.81,1.0,8910080
UAL,2014-12-05 00:00:00+00:00,63.03,64.98,61.95,62.58,8157015,63.03,0.0,64.98,61.95,62.58,1.0,8157015
UAL,2014-12-08 00:00:00+00:00,64.25,64.94,62.84,63.19,5474312,64.25,0.0,64.94,62.84,63.19,1.0,5474312
UAL,2014-12-09 00:00:00+00:00,62.52,63.34,61.11,61.64,9159533,62.52,0.0,63.34,61.11,61.64,1.0,9159533
UAL,2014-12-10 00:00:00+00:00,63.69,66.35,63.37,64.24,8787356,63.69,0.0,66.35,63.37,64.24,1.0,8787356
UAL,2014-12-11 00:00:00+00:00,65.8,66.5,64.38,64.44,6765978,65.8,0.0,66.5,64.38,64.44,1.0,6765978
UAL,2014-12-12 00:00:00+00:00,64.1,67.4,63.77,67.31,8170318,64.1,0.0,67.4,63.77,67.31,1.0,8170318
