symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ULTA,2014-10-02 00:00:00+00:00,115.31,116.44,114.29,116.0,846905,115.31,0.0,116.44,114.29,116.0,1.0,846905
ULTA,2014-10-03 00:00:00+00:00,116.2,117.22,115.31,116.32,1422513,116.2,0.0,117.22,115.31,116.32,1.0,1422513
ULTA,2014-10-06 00:00:00+00:00,116.0,117.25,115.94,116.7,633837,116.0,0.0,117.25,115.94,116.7,1.0,633837
ULTA,2014-10-07 00:00:00+00:00,113.42,115.625,113.41,114.9,860880,113.42,0.0,115.625,113.41,114.9,1.0,860880
ULTA,2014-10-08 00:00:00+00:00,114.87,115.4894,113.59,113.63,692840,114.87,0.0,115.4894,113.59,113.63,1.0,692840
ULTA,2014-10-09 00:00:00+00:00,114.77,115.745,113.57,114.92,750290,114.77,0.0,115.745,113.57,114.92,1.0,750290
ULTA,2014-10-10 00:00:00+00:00,114.22,115.24,112.44,114.52,697561,114.22,0.0,115.24,112.44,114.52,1.0,697561
ULTA,2014-10-13 00:00:00+00:00,113.17,115.5,111.78,113.95,923715,113.17,0.0,115.5,111.78,113.95,1.0,923715
ULTA,2014-10-14 00:00:00+00:00,111.96,114.9412,111.41,114.0,1270645,111.96,0.0,114.9412,111.41,114.0,1.0,1270645
ULTA,2014-10-15 00:00:00+00:00,110.28,111.14,106.87,110.14,1673510,110.28,0.0,111.14,106.87,110.14,1.0,1673510
ULTA,2014-10-16 00:00:00+00:00,113.85,114.305,108.745,109.37,1730448,113.85,0.0,114.305,108.745,109.37,1.0,1730448
ULTA,2014-10-17 00:00:00+00:00,116.57,116.79,114.75,115.39,1144064,116.57,0.0,116.79,114.75,115.39,1.0,1144064
ULTA,2014-10-20 00:00:00+00:00,119.87,120.08,116.08,116.85,1034256,119.87,0.0,120.08,116.08,116.85,1.0,1034256
ULTA,2014-10-21 00:00:00+00:00,118.97,120.97,117.53,120.31,753837,118.97,0.0,120.97,117.53,120.31,1.0,753837
ULTA,2014-10-22 00:00:00+00:00,117.61,119.95,117.56,119.51,603521,117.61,0.0,119.95,117.56,119.51,1.0,603521
ULTA,2014-10-23 00:00:00+00:00,117.84,119.919,117.54,118.6,568391,117.84,0.0,119.919,117.54,118.6,1.0,568391
ULTA,2014-10-24 00:00:00+00:00,117.35,118.42,116.28,118.34,483167,117.35,0.0,118.42,116.28,118.34,1.0,483167
ULTA,2014-10-27 00:00:00+00:00,117.72,117.9649,116.0,117.5,474912,117.72,0.0,117.9649,116.0,117.5,1.0,474912
ULTA,2014-10-28 00:00:00+00:00,120.97,121.129,117.115,117.95,831082,120.97,0.0,121.129,117.115,117.95,1.0,831082
ULTA,2014-10-29 00:00:00+00:00,121.56,123.74,119.78,120.97,1042983,121.56,0.0,123.74,119.78,120.97,1.0,1042983
ULTA,2014-10-30 00:00:00+00:00,120.56,122.12,119.9,121.21,481333,120.56,0.0,122.12,119.9,121.21,1.0,481333
ULTA,2014-10-31 00:00:00+00:00,120.81,122.71,120.115,121.82,469458,120.81,0.0,122.71,120.115,121.82,1.0,469458
ULTA,2014-11-03 00:00:00+00:00,119.91,122.09,119.25,121.44,954186,119.91,0.0,122.09,119.25,121.44,1.0,954186
ULTA,2014-11-04 00:00:00+00:00,120.11,120.4,116.91,119.97,958974,120.11,0.0,120.4,116.91,119.97,1.0,958974
ULTA,2014-11-05 00:00:00+00:00,118.66,121.575,118.12,120.81,633092,118.66,0.0,121.575,118.12,120.81,1.0,633092
ULTA,2014-11-06 00:00:00+00:00,122.08,123.19,118.25,119.21,1074254,122.08,0.0,123.19,118.25,119.21,1.0,1074254
ULTA,2014-11-07 00:00:00+00:00,121.75,122.92,120.79,122.12,456845,121.75,0.0,122.92,120.79,122.12,1.0,456845
ULTA,2014-11-10 00:00:00+00:00,124.08,124.12,121.0,121.43,627568,124.08,0.0,124.12,121.0,121.43,1.0,627568
ULTA,2014-11-11 00:00:00+00:00,122.18,124.3056,121.01,124.2,693069,122.18,0.0,124.3056,121.01,124.2,1.0,693069
ULTA,2014-11-12 00:00:00+00:00,125.04,125.23,121.6609,121.7,666079,125.04,0.0,125.23,121.6609,121.7,1.0,666079
ULTA,2014-11-13 00:00:00+00:00,123.92,125.955,123.3,125.64,636169,123.92,0.0,125.955,123.3,125.64,1.0,636169
ULTA,2014-11-14 00:00:00+00:00,123.75,125.05,123.21,123.77,333552,123.75,0.0,125.05,123.21,123.77,1.0,333552
ULTA,2014-11-17 00:00:00+00:00,124.2,125.19,122.39,123.36,788212,124.2,0.0,125.19,122.39,123.36,1.0,788212
ULTA,2014-11-18 00:00:00+00:00,124.88,125.17,123.5303,124.2,602570,124.88,0.0,125.17,123.5303,124.2,1.0,602570
ULTA,2014-11-19 00:00:00+00:00,127.26,129.47,124.28,124.28,1099547,127.26,0.0,129.47,124.28,124.28,1.0,1099547
ULTA,2014-11-20 00:00:00+00:00,127.04,128.32,126.82,127.19,477898,127.04,0.0,128.32,126.82,127.19,1.0,477898
ULTA,2014-11-21 00:00:00+00:00,127.38,128.62,127.03,128.14,741044,127.38,0.0,128.62,127.03,128.14,1.0,741044
ULTA,2014-11-24 00:00:00+00:00,126.77,126.95,122.3022,125.47,1103539,126.77,0.0,126.95,122.3022,125.47,1.0,1103539
ULTA,2014-11-25 00:00:00+00:00,125.7,127.84,124.55,126.8,617357,125.7,0.0,127.84,124.55,126.8,1.0,617357
ULTA,2014-11-26 00:00:00+00:00,125.8,126.07,125.01,125.35,350123,125.8,0.0,126.07,125.01,125.35,1.0,350123
ULTA,2014-11-28 00:00:00+00:00,126.49,128.32,126.01,126.01,218841,126.49,0.0,128.32,126.01,126.01,1.0,218841
ULTA,2014-12-01 00:00:00+00:00,124.46,127.29,123.59,126.92,685412,124.46,0.0,127.29,123.59,126.92,1.0,685412
ULTA,2014-12-02 00:00:00+00:00,122.0,125.6453,121.5,125.21,876929,122.0,0.0,125.6453,121.5,125.21,1.0,876929
ULTA,2014-12-03 00:00:00+00:00,124.68,125.34,121.87,122.33,992221,124.68,0.0,125.34,121.87,122.33,1.0,992221
ULTA,2014-12-04 00:00:00+00:00,125.74,126.05,123.6,125.16,1610191,125.74,0.0,126.05,123.6,125.16,1.0,1610191
ULTA,2014-12-05 00:00:00+00:00,129.75,134.5,127.83,132.8,3439358,129.75,0.0,134.5,127.83,132.8,1.0,3439358
ULTA,2014-12-08 00:00:00+00:00,126.99,129.5,125.19,128.57,1170913,126.99,0.0,129.5,125.19,128.57,1.0,1170913
ULTA,2014-12-09 00:00:00+00:00,127.53,127.65,123.81,124.98,724563,127.53,0.0,127.65,123.81,124.98,1.0,724563
ULTA,2014-12-10 00:00:00+00:00,125.23,128.5,125.19,127.61,733645,125.23,0.0,128.5,125.19,127.61,1.0,733645
ULTA,2014-12-11 00:00:00+00:00,129.44,130.98,127.53,127.54,1127428,129.44,0.0,130.98,127.53,127.54,1.0,1127428
ULTA,2014-12-12 00:00:00+00:00,128.67,130.3099,128.64,128.8,487961,128.67,0.0,130.3099,128.64,128.8,1.0,487961
ULTA,2014-12-15 00:00:00+00:00,128.34,129.46,127.0,129.41,567546,128.34,0.0,129.46,127.0,129.41,1.0,567546
ULTA,2014-12-16 00:00:00+00:00,127.28,128.88,126.55,128.28,579543,127.28,0.0,128.88,126.55,128.28,1.0,579543
ULTA,2014-12-17 00:00:00+00:00,130.86,131.26,126.71,128.01,592396,130.86,0.0,131.26,126.71,128.01,1.0,592396
ULTA,2014-12-18 00:00:00+00:00,129.7,132.79,128.75,132.25,1157790,129.7,0.0,132.79,128.75,132.25,1.0,1157790
ULTA,2014-12-19 00:00:00+00:00,129.22,129.98,128.04,129.7,1129613,129.22,0.0,129.98,128.04,129.7,1.0,1129613
ULTA,2014-12-22 00:00:00+00:00,128.53,130.835,128.415,129.23,620897,128.53,0.0,130.835,128.415,129.23,1.0,620897
ULTA,2014-12-23 00:00:00+00:00,128.56,129.599,127.54,128.65,1031435,128.56,0.0,129.599,127.54,128.65,1.0,1031435
ULTA,2014-12-24 00:00:00+00:00,128.18,128.9499,127.89,128.69,408619,128.18,0.0,128.9499,127.89,128.69,1.0,408619
ULTA,2014-12-26 00:00:00+00:00,127.83,129.4299,127.67,128.4,291259,127.83,0.0,129.4299,127.67,128.4,1.0,291259
ULTA,2014-12-29 00:00:00+00:00,128.765,128.92,127.83,127.87,697894,128.765,0.0,128.92,127.83,127.87,1.0,697894
ULTA,2014-12-30 00:00:00+00:00,128.77,129.67,128.13,128.3,410931,128.77,0.0,129.67,128.13,128.3,1.0,410931
ULTA,2014-12-31 00:00:00+00:00,127.84,130.2,127.8,128.71,462954,127.84,0.0,130.2,127.8,128.71,1.0,462954
ULTA,2015-01-02 00:00:00+00:00,126.84,129.086,125.24,128.13,410905,126.84,0.0,129.086,125.24,128.13,1.0,410905
ULTA,2015-01-05 00:00:00+00:00,127.15,127.98,125.65,126.31,477609,127.15,0.0,127.98,125.65,126.31,1.0,477609
ULTA,2015-01-06 00:00:00+00:00,126.95,128.79,124.7,127.05,758152,126.95,0.0,128.79,124.7,127.05,1.0,758152
ULTA,2015-01-07 00:00:00+00:00,130.58,130.64,127.97,128.78,597180,130.58,0.0,130.64,127.97,128.78,1.0,597180
ULTA,2015-01-08 00:00:00+00:00,132.24,132.879,131.136,131.53,622476,132.24,0.0,132.879,131.136,131.53,1.0,622476
ULTA,2015-01-09 00:00:00+00:00,131.57,132.865,129.841,132.0,572269,131.57,0.0,132.865,129.841,132.0,1.0,572269
ULTA,2015-01-12 00:00:00+00:00,129.84,132.43,129.14,132.38,428315,129.84,0.0,132.43,129.14,132.38,1.0,428315
ULTA,2015-01-13 00:00:00+00:00,128.81,132.94,127.5101,130.59,542665,128.81,0.0,132.94,127.5101,130.59,1.0,542665
ULTA,2015-01-14 00:00:00+00:00,128.75,129.06,127.13,127.15,410884,128.75,0.0,129.06,127.13,127.15,1.0,410884
ULTA,2015-01-15 00:00:00+00:00,127.135,131.81,126.86,131.81,681901,127.135,0.0,131.81,126.86,131.81,1.0,681901
ULTA,2015-01-16 00:00:00+00:00,129.72,129.95,126.61,126.75,529111,129.72,0.0,129.95,126.61,126.75,1.0,529111
ULTA,2015-01-20 00:00:00+00:00,127.16,130.6899,126.95,130.39,481604,127.16,0.0,130.6899,126.95,130.39,1.0,481604
ULTA,2015-01-21 00:00:00+00:00,128.345,128.6689,126.6081,127.09,315470,128.345,0.0,128.6689,126.6081,127.09,1.0,315470
ULTA,2015-01-22 00:00:00+00:00,132.56,132.63,127.5,128.9,638681,132.56,0.0,132.63,127.5,128.9,1.0,638681
ULTA,2015-01-23 00:00:00+00:00,135.34,137.33,132.5,133.14,1233407,135.34,0.0,137.33,132.5,133.14,1.0,1233407
ULTA,2015-01-26 00:00:00+00:00,136.08,137.4853,134.77,136.68,844179,136.08,0.0,137.4853,134.77,136.68,1.0,844179
ULTA,2015-01-27 00:00:00+00:00,135.84,136.8299,134.15,135.81,437572,135.84,0.0,136.8299,134.15,135.81,1.0,437572
ULTA,2015-01-28 00:00:00+00:00,133.86,137.2035,133.55,136.65,486707,133.86,0.0,137.2035,133.55,136.65,1.0,486707
ULTA,2015-01-29 00:00:00+00:00,134.4,134.58,132.333,134.38,563886,134.4,0.0,134.58,132.333,134.38,1.0,563886
ULTA,2015-01-30 00:00:00+00:00,131.94,135.09,131.5,134.28,606937,131.94,0.0,135.09,131.5,134.28,1.0,606937
ULTA,2015-02-02 00:00:00+00:00,130.96,132.35,128.11,132.08,904060,130.96,0.0,132.35,128.11,132.08,1.0,904060
ULTA,2015-02-03 00:00:00+00:00,133.85,134.03,130.54,131.14,569336,133.85,0.0,134.03,130.54,131.14,1.0,569336
ULTA,2015-02-04 00:00:00+00:00,132.0,133.83,131.17,133.36,735412,132.0,0.0,133.83,131.17,133.36,1.0,735412
ULTA,2015-02-05 00:00:00+00:00,133.03,133.6,131.72,132.31,587990,133.03,0.0,133.6,131.72,132.31,1.0,587990
ULTA,2015-02-06 00:00:00+00:00,133.26,133.575,132.0,132.98,386529,133.26,0.0,133.575,132.0,132.98,1.0,386529
ULTA,2015-02-09 00:00:00+00:00,134.97,135.055,132.76,133.13,513058,134.97,0.0,135.055,132.76,133.13,1.0,513058
ULTA,2015-02-10 00:00:00+00:00,137.0,138.11,135.29,135.88,741115,137.0,0.0,138.11,135.29,135.88,1.0,741115
ULTA,2015-02-11 00:00:00+00:00,135.9,137.98,135.24,136.69,548347,135.9,0.0,137.98,135.24,136.69,1.0,548347
ULTA,2015-02-12 00:00:00+00:00,136.07,136.64,134.715,136.5,408638,136.07,0.0,136.64,134.715,136.5,1.0,408638
ULTA,2015-02-13 00:00:00+00:00,136.66,136.67,134.6932,135.94,521457,136.66,0.0,136.67,134.6932,135.94,1.0,521457
ULTA,2015-02-17 00:00:00+00:00,135.91,136.937,134.561,136.74,336755,135.91,0.0,136.937,134.561,136.74,1.0,336755
ULTA,2015-02-18 00:00:00+00:00,136.615,136.74,134.59,135.38,275452,136.615,0.0,136.74,134.59,135.38,1.0,275452
ULTA,2015-02-19 00:00:00+00:00,136.92,139.73,136.6,136.85,562727,136.92,0.0,139.73,136.6,136.85,1.0,562727
ULTA,2015-02-20 00:00:00+00:00,138.0,138.13,135.71,137.12,286483,138.0,0.0,138.13,135.71,137.12,1.0,286483
ULTA,2015-02-23 00:00:00+00:00,137.25,138.92,136.67,137.99,316317,137.25,0.0,138.92,136.67,137.99,1.0,316317
ULTA,2015-02-24 00:00:00+00:00,138.39,138.41,136.11,137.67,523739,138.39,0.0,138.41,136.11,137.67,1.0,523739
ULTA,2015-02-25 00:00:00+00:00,138.76,140.3099,137.14,138.42,463092,138.76,0.0,140.3099,137.14,138.42,1.0,463092
ULTA,2015-02-26 00:00:00+00:00,140.59,141.0,138.47,138.52,539579,140.59,0.0,141.0,138.47,138.52,1.0,539579
ULTA,2015-02-27 00:00:00+00:00,140.76,143.34,140.01,141.98,720566,140.76,0.0,143.34,140.01,141.98,1.0,720566
ULTA,2015-03-02 00:00:00+00:00,143.62,143.69,141.0,141.97,507456,143.62,0.0,143.69,141.0,141.97,1.0,507456
ULTA,2015-03-03 00:00:00+00:00,142.03,143.25,141.6001,143.25,662113,142.03,0.0,143.25,141.6001,143.25,1.0,662113
ULTA,2015-03-04 00:00:00+00:00,139.91,142.01,139.44,141.55,659945,139.91,0.0,142.01,139.44,141.55,1.0,659945
ULTA,2015-03-05 00:00:00+00:00,140.86,141.8,139.49,139.95,479278,140.86,0.0,141.8,139.49,139.95,1.0,479278
ULTA,2015-03-06 00:00:00+00:00,138.59,141.165,138.27,140.56,640491,138.59,0.0,141.165,138.27,140.56,1.0,640491
ULTA,2015-03-09 00:00:00+00:00,140.96,141.7,139.4201,139.88,1691611,140.96,0.0,141.7,139.4201,139.88,1.0,1691611
ULTA,2015-03-10 00:00:00+00:00,140.47,142.09,139.03,140.27,1195724,140.47,0.0,142.09,139.03,140.27,1.0,1195724
ULTA,2015-03-11 00:00:00+00:00,141.96,142.82,140.49,141.78,943396,141.96,0.0,142.82,140.49,141.78,1.0,943396
ULTA,2015-03-12 00:00:00+00:00,144.82,145.9,142.28,143.93,2368331,144.82,0.0,145.9,142.28,143.93,1.0,2368331
ULTA,2015-03-13 00:00:00+00:00,150.1,156.0,148.11,155.09,4533651,150.1,0.0,156.0,148.11,155.09,1.0,4533651
ULTA,2015-03-16 00:00:00+00:00,150.18,151.0,148.44,150.0,1256773,150.18,0.0,151.0,148.44,150.0,1.0,1256773
ULTA,2015-03-17 00:00:00+00:00,150.46,151.94,148.78,149.38,923363,150.46,0.0,151.94,148.78,149.38,1.0,923363
ULTA,2015-03-18 00:00:00+00:00,150.99,151.59,149.13,150.73,840697,150.99,0.0,151.59,149.13,150.73,1.0,840697
ULTA,2015-03-19 00:00:00+00:00,152.285,152.67,150.39,151.01,719469,152.285,0.0,152.67,150.39,151.01,1.0,719469
ULTA,2015-03-20 00:00:00+00:00,152.02,152.75,151.1,152.68,856759,152.02,0.0,152.75,151.1,152.68,1.0,856759
ULTA,2015-03-23 00:00:00+00:00,153.18,154.52,152.61,153.1,734897,153.18,0.0,154.52,152.61,153.1,1.0,734897
ULTA,2015-03-24 00:00:00+00:00,153.77,154.5,152.8,153.24,536797,153.77,0.0,154.5,152.8,153.24,1.0,536797
ULTA,2015-03-25 00:00:00+00:00,151.58,154.33,151.29,153.62,555998,151.58,0.0,154.33,151.29,153.62,1.0,555998
ULTA,2015-03-26 00:00:00+00:00,150.005,151.28,148.36,150.35,621032,150.005,0.0,151.28,148.36,150.35,1.0,621032
ULTA,2015-03-27 00:00:00+00:00,151.2,151.75,149.57,149.63,441823,151.2,0.0,151.75,149.57,149.63,1.0,441823
ULTA,2015-03-30 00:00:00+00:00,151.58,153.02,151.0,152.84,553742,151.58,0.0,153.02,151.0,152.84,1.0,553742
ULTA,2015-03-31 00:00:00+00:00,150.85,152.96,150.4,151.51,477108,150.85,0.0,152.96,150.4,151.51,1.0,477108
ULTA,2015-04-01 00:00:00+00:00,150.98,151.376,148.4245,150.89,744999,150.98,0.0,151.376,148.4245,150.89,1.0,744999
ULTA,2015-04-02 00:00:00+00:00,151.33,152.24,149.52,150.65,691621,151.33,0.0,152.24,149.52,150.65,1.0,691621
ULTA,2015-04-06 00:00:00+00:00,153.27,153.8699,150.6769,150.87,696328,153.27,0.0,153.8699,150.6769,150.87,1.0,696328
ULTA,2015-04-07 00:00:00+00:00,151.45,155.55,151.43,153.68,546785,151.45,0.0,155.55,151.43,153.68,1.0,546785
ULTA,2015-04-08 00:00:00+00:00,152.17,153.23,151.715,152.1,458102,152.17,0.0,153.23,151.715,152.1,1.0,458102
ULTA,2015-04-09 00:00:00+00:00,151.8,153.08,150.5,152.17,368743,151.8,0.0,153.08,150.5,152.17,1.0,368743
ULTA,2015-04-10 00:00:00+00:00,151.68,152.68,151.37,151.9,304586,151.68,0.0,152.68,151.37,151.9,1.0,304586
ULTA,2015-04-13 00:00:00+00:00,152.0,152.96,151.7147,151.72,540956,152.0,0.0,152.96,151.7147,151.72,1.0,540956
ULTA,2015-04-14 00:00:00+00:00,153.49,154.2373,151.62,152.7,785849,153.49,0.0,154.2373,151.62,152.7,1.0,785849
ULTA,2015-04-15 00:00:00+00:00,153.56,156.3,153.39,156.2,873609,153.56,0.0,156.3,153.39,156.2,1.0,873609
ULTA,2015-04-16 00:00:00+00:00,154.16,154.62,153.51,153.51,435602,154.16,0.0,154.62,153.51,153.51,1.0,435602
ULTA,2015-04-17 00:00:00+00:00,152.05,155.8327,151.75,154.9,688833,152.05,0.0,155.8327,151.75,154.9,1.0,688833
ULTA,2015-04-20 00:00:00+00:00,151.59,153.37,150.79,152.5,600808,151.59,0.0,153.37,150.79,152.5,1.0,600808
ULTA,2015-04-21 00:00:00+00:00,152.97,153.81,151.6394,151.78,524958,152.97,0.0,153.81,151.6394,151.78,1.0,524958
ULTA,2015-04-22 00:00:00+00:00,153.94,153.98,150.5047,152.82,529970,153.94,0.0,153.98,150.5047,152.82,1.0,529970
ULTA,2015-04-23 00:00:00+00:00,156.99,157.909,153.12,153.88,817720,156.99,0.0,157.909,153.12,153.88,1.0,817720
ULTA,2015-04-24 00:00:00+00:00,157.08,158.97,156.71,157.93,745312,157.08,0.0,158.97,156.71,157.93,1.0,745312
ULTA,2015-04-27 00:00:00+00:00,155.91,157.47,155.64,156.97,455569,155.91,0.0,157.47,155.64,156.97,1.0,455569
ULTA,2015-04-28 00:00:00+00:00,154.47,156.96,154.25,155.5,759120,154.47,0.0,156.96,154.25,155.5,1.0,759120
ULTA,2015-04-29 00:00:00+00:00,151.83,154.63,151.39,154.29,555996,151.83,0.0,154.63,151.39,154.29,1.0,555996
ULTA,2015-04-30 00:00:00+00:00,151.09,153.61,150.299,151.22,641968,151.09,0.0,153.61,150.299,151.22,1.0,641968
ULTA,2015-05-01 00:00:00+00:00,154.27,154.32,150.0,150.41,475829,154.27,0.0,154.32,150.0,150.41,1.0,475829
ULTA,2015-05-04 00:00:00+00:00,153.85,154.95,153.03,154.52,506001,153.85,0.0,154.95,153.03,154.52,1.0,506001
ULTA,2015-05-05 00:00:00+00:00,153.47,154.54,152.11,154.25,578786,153.47,0.0,154.54,152.11,154.25,1.0,578786
ULTA,2015-05-06 00:00:00+00:00,152.04,153.845,151.17,153.33,626970,152.04,0.0,153.845,151.17,153.33,1.0,626970
ULTA,2015-05-07 00:00:00+00:00,153.84,154.87,151.01,151.37,502983,153.84,0.0,154.87,151.01,151.37,1.0,502983
ULTA,2015-05-08 00:00:00+00:00,154.29,156.224,154.18,155.0,487735,154.29,0.0,156.224,154.18,155.0,1.0,487735
ULTA,2015-05-11 00:00:00+00:00,154.27,155.22,154.0,154.0,478676,154.27,0.0,155.22,154.0,154.0,1.0,478676
