symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
VRSK,2014-10-02 00:00:00+00:00,59.864606506,60.033715564,59.2279606409,59.864606506,387698,60.18,0.0,60.35,59.54,60.18,1.0,387698
VRSK,2014-10-03 00:00:00+00:00,59.9441872392,60.7300469789,59.8447113227,59.9342396475,573750,60.26,0.0,61.05,60.16,60.25,1.0,573750
VRSK,2014-10-06 00:00:00+00:00,60.143139072,60.5012523712,59.9939251974,60.0735059305,431936,60.46,0.0,60.82,60.31,60.39,1.0,431936
VRSK,2014-10-07 00:00:00+00:00,59.4667028403,59.921805158,59.3274365573,59.7452354063,546060,59.78,0.0,60.2375,59.64,60.06,1.0,546060
VRSK,2014-10-08 00:00:00+00:00,60.1630342553,60.282405355,59.5363359818,59.6358118982,555300,60.48,0.0,60.6,59.85,59.95,1.0,555300
VRSK,2014-10-09 00:00:00+00:00,59.4169648821,60.3221957216,58.9096377083,59.9640824225,556772,59.73,0.0,60.64,59.22,60.28,1.0,556772
VRSK,2014-10-10 00:00:00+00:00,58.7604238337,59.7352878147,58.7305810588,59.2080654576,792705,59.07,0.0,60.05,59.04,59.52,1.0,792705
VRSK,2014-10-13 00:00:00+00:00,58.8002142003,59.2677510075,58.7106858755,58.8499521585,617199,59.11,0.0,59.58,59.02,59.16,1.0,617199
VRSK,2014-10-14 00:00:00+00:00,59.3174889657,59.7352878147,58.9941922373,59.1384323161,629811,59.63,0.0,60.05,59.305,59.45,1.0,629811
VRSK,2014-10-15 00:00:00+00:00,58.8598997501,59.168275091,57.666188753,59.1284847245,1348979,59.17,0.0,59.48,57.97,59.44,1.0,1348979
VRSK,2014-10-16 00:00:00+00:00,58.9295328916,59.2180130493,58.1635683351,58.1834635184,783756,59.24,0.0,59.53,58.47,58.49,1.0,783756
VRSK,2014-10-17 00:00:00+00:00,59.1483799078,59.9640824225,58.9394804833,59.2080654576,895170,59.46,0.0,60.28,59.25,59.52,1.0,895170
VRSK,2014-10-20 00:00:00+00:00,59.6358118982,59.7750781812,58.8797949334,59.1284847245,611890,59.95,0.0,60.09,59.19,59.44,1.0,611890
VRSK,2014-10-21 00:00:00+00:00,60.7698373455,60.9687891784,59.476650432,59.7352878147,714298,61.09,0.0,61.29,59.79,60.05,1.0,714298
VRSK,2014-10-22 00:00:00+00:00,60.3719336798,61.118003053,60.31224813,60.7499421622,481462,60.69,0.0,61.44,60.63,61.07,1.0,481462
VRSK,2014-10-23 00:00:00+00:00,60.8494180787,61.2075313778,60.4415668213,60.7200993873,352340,61.17,0.0,61.53,60.76,61.04,1.0,352340
VRSK,2014-10-24 00:00:00+00:00,61.5457494937,61.5805660644,60.7598897539,61.118003053,328389,61.87,0.0,61.905,61.08,61.44,1.0,328389
VRSK,2014-10-27 00:00:00+00:00,62.1326574006,62.1625001755,61.2535887271,61.4860639438,459460,62.46,0.0,62.49,61.5763,61.81,1.0,459460
VRSK,2014-10-28 00:00:00+00:00,62.8090936323,62.8389364072,61.8242820597,62.1127622173,572450,63.14,0.0,63.17,62.15,62.44,1.0,572450
VRSK,2014-10-29 00:00:00+00:00,61.2075313778,62.3017664585,60.1530866637,61.8640724262,1501608,61.53,0.0,62.63,60.47,62.19,1.0,1501608
VRSK,2014-10-30 00:00:00+00:00,61.535801902,61.6452254101,61.0085795449,61.3070072942,885748,61.86,0.0,61.97,61.33,61.63,1.0,885748
VRSK,2014-10-31 00:00:00+00:00,62.0232338925,63.0975737899,61.7547483941,62.8488839989,887082,62.35,0.0,63.43,62.0801,63.18,1.0,887082
VRSK,2014-11-03 00:00:00+00:00,61.675068185,62.6698273493,61.5656446769,62.1923429504,394865,62.0,0.0,63.0,61.89,62.52,1.0,394865
VRSK,2014-11-04 00:00:00+00:00,61.675068185,61.7745441014,61.2771645193,61.4363259856,496902,62.0,0.0,62.1,61.6,61.76,1.0,496902
VRSK,2014-11-05 00:00:00+00:00,62.5007182914,62.5703514329,61.7745441014,61.8541248346,477456,62.83,0.0,62.9,62.1,62.18,1.0,477456
VRSK,2014-11-06 00:00:00+00:00,63.5651105971,63.6446913303,62.1127622173,62.5802990245,540191,63.9,0.0,63.98,62.44,62.91,1.0,540191
VRSK,2014-11-07 00:00:00+00:00,63.9132763046,63.9530666712,63.346263581,63.8038527966,467369,64.25,0.0,64.29,63.68,64.14,1.0,467369
VRSK,2014-11-10 00:00:00+00:00,63.6546389219,64.0923329542,63.5153726389,63.8336955715,533069,63.99,0.0,64.43,63.85,64.17,1.0,533069
VRSK,2014-11-11 00:00:00+00:00,62.6797749409,62.9881502819,62.1525525839,62.1525525839,428810,63.01,0.0,63.32,62.48,62.48,1.0,428810
VRSK,2014-11-12 00:00:00+00:00,62.789198449,63.007050706,62.2122381337,62.4708755164,681201,63.12,0.0,63.339,62.54,62.8,1.0,681201
VRSK,2014-11-13 00:00:00+00:00,62.8289888156,63.1075213816,62.3117140501,62.9384123236,420650,63.16,0.0,63.44,62.64,63.27,1.0,420650
VRSK,2014-11-14 00:00:00+00:00,62.5405086579,63.1174689732,62.4708755164,63.0975737899,414361,62.87,0.0,63.45,62.8,63.43,1.0,414361
VRSK,2014-11-17 00:00:00+00:00,62.7494080824,62.9881502819,62.4211375582,62.5206134746,479623,63.08,0.0,63.32,62.75,62.85,1.0,479623
VRSK,2014-11-18 00:00:00+00:00,62.3614520084,62.9980978735,62.2520285003,62.6698273493,656413,62.69,0.0,63.33,62.58,63.0,1.0,656413
VRSK,2014-11-19 00:00:00+00:00,61.8839676095,62.4609279248,61.6850157767,62.4410327415,379565,62.21,0.0,62.79,62.01,62.77,1.0,379565
VRSK,2014-11-20 00:00:00+00:00,61.8541248346,62.0729718507,61.4562211689,61.7944392847,401955,62.18,0.0,62.4,61.78,62.12,1.0,401955
VRSK,2014-11-21 00:00:00+00:00,61.9734959343,62.9085695487,61.8242820597,62.6598797576,445519,62.3,0.0,63.24,62.15,62.99,1.0,445519
VRSK,2014-11-24 00:00:00+00:00,61.7745441014,62.2818712752,61.5656446769,61.9734959343,517374,62.1,0.0,62.61,61.89,62.3,1.0,517374
VRSK,2014-11-25 00:00:00+00:00,61.8640724262,62.5206134746,61.6850157767,61.8640724262,629219,62.19,0.0,62.85,62.01,62.19,1.0,629219
VRSK,2014-11-26 00:00:00+00:00,61.7049109599,61.8939152012,61.4562211689,61.8939152012,354710,62.03,0.0,62.22,61.78,62.22,1.0,354710
VRSK,2014-11-28 00:00:00+00:00,61.6551730017,62.5007182914,61.6551730017,61.9038627928,295804,61.98,0.0,62.83,61.98,62.23,1.0,295804
VRSK,2014-12-01 00:00:00+00:00,62.0530766674,62.3515044167,61.3766404357,61.6551730017,635319,62.38,0.0,62.68,61.7,61.98,1.0,635319
VRSK,2014-12-02 00:00:00+00:00,62.2221857254,62.5355348621,61.7944392847,61.8242820597,795818,62.55,0.0,62.865,62.12,62.15,1.0,795818
VRSK,2014-12-03 00:00:00+00:00,62.3316092334,62.5703514329,61.8242820597,62.1326574006,373256,62.66,0.0,62.9,62.15,62.46,1.0,373256
VRSK,2014-12-04 00:00:00+00:00,62.092867034,62.3415568251,61.7645965098,62.1525525839,349038,62.42,0.0,62.67,62.09,62.48,1.0,349038
VRSK,2014-12-05 00:00:00+00:00,62.928464732,62.9483599153,61.9933911176,62.1724477671,735286,63.26,0.0,63.28,62.32,62.5,1.0,735286
VRSK,2014-12-08 00:00:00+00:00,63.067731015,63.2467876646,61.8242820597,61.8242820597,405581,63.4,0.0,63.58,62.15,62.15,1.0,405581
VRSK,2014-12-09 00:00:00+00:00,62.9682550986,63.0279406484,61.5159067187,62.7991460406,636493,63.3,0.0,63.36,61.84,63.13,1.0,636493
VRSK,2014-12-10 00:00:00+00:00,62.6698273493,62.9085695487,62.2022905421,62.6200893911,754067,63.0,0.0,63.24,62.53,62.95,1.0,754067
VRSK,2014-12-11 00:00:00+00:00,62.5604038412,63.1871021147,62.4612263525,62.789198449,471208,62.89,0.0,63.52,62.7903,63.12,1.0,471208
VRSK,2014-12-12 00:00:00+00:00,62.0630242591,62.5405086579,61.3940487211,61.814334468,796258,62.39,0.0,62.87,61.7175,62.14,1.0,796258
VRSK,2014-12-15 00:00:00+00:00,62.2520285003,62.7593556741,61.7645965098,62.2918188669,636412,62.58,0.0,63.09,62.09,62.62,1.0,636412
VRSK,2014-12-16 00:00:00+00:00,62.4410327415,62.7991460406,61.8043868764,62.1127622173,704617,62.77,0.0,63.13,62.13,62.44,1.0,704617
VRSK,2014-12-17 00:00:00+00:00,63.4158967225,63.5750581888,62.1973167463,62.9483599153,1062205,63.75,0.0,63.91,62.525,63.28,1.0,1062205
VRSK,2014-12-18 00:00:00+00:00,64.5101318032,64.5897125363,63.8436431631,64.0624901793,1507533,64.85,0.0,64.93,64.18,64.4,1.0,1507533
VRSK,2014-12-19 00:00:00+00:00,64.3609179286,65.0771445268,63.8933811213,63.8933811213,2672793,64.7,0.0,65.42,64.23,64.23,1.0,2672793
VRSK,2014-12-22 00:00:00+00:00,64.8085595525,64.8881402856,63.6844816968,64.5897125363,862012,65.15,0.0,65.23,64.02,64.93,1.0,862012
VRSK,2014-12-23 00:00:00+00:00,64.5797649447,65.2860439513,64.5598697614,64.8582975107,795110,64.92,0.0,65.63,64.9,65.2,1.0,795110
VRSK,2014-12-24 00:00:00+00:00,64.5399745781,65.0274065686,64.321127562,64.5598697614,276330,64.88,0.0,65.37,64.66,64.9,1.0,276330
VRSK,2014-12-26 00:00:00+00:00,64.4206034784,64.9700089648,64.3012323787,64.569817353,308999,64.76,0.0,65.3123,64.64,64.91,1.0,308999
VRSK,2014-12-29 00:00:00+00:00,64.3708655202,64.6295029029,64.1022805458,64.3111799703,418589,64.71,0.0,64.97,64.44,64.65,1.0,418589
VRSK,2014-12-30 00:00:00+00:00,64.4802890283,64.5200793948,64.042594996,64.3310751536,315076,64.82,0.0,64.86,64.38,64.67,1.0,315076
VRSK,2014-12-31 00:00:00+00:00,63.7143244718,64.8682451023,63.6546389219,64.5797649447,322836,64.05,0.0,65.21,63.99,64.92,1.0,322836
VRSK,2015-01-02 00:00:00+00:00,63.6347437386,64.6593456778,62.7195653075,63.7441672467,529877,63.97,0.0,65.0,63.05,64.08,1.0,529877
VRSK,2015-01-05 00:00:00+00:00,62.8090936323,63.6446913303,62.3813471916,63.485529864,885799,63.14,0.0,63.98,62.71,63.82,1.0,885799
VRSK,2015-01-06 00:00:00+00:00,62.5902466161,63.4059491308,62.4907706997,62.7195653075,755307,62.92,0.0,63.74,62.82,63.05,1.0,755307
VRSK,2015-01-07 00:00:00+00:00,62.6300369827,63.0179930568,62.4111899666,62.6897225326,632053,62.96,0.0,63.35,62.74,63.02,1.0,632053
VRSK,2015-01-08 00:00:00+00:00,63.2567352562,63.5949533721,62.8588315905,62.8588315905,894871,63.59,0.0,63.93,63.19,63.19,1.0,894871
VRSK,2015-01-09 00:00:00+00:00,62.7593556741,63.2766304395,62.4748545531,62.9881502819,559630,63.09,0.0,63.61,62.804,63.32,1.0,559630
