symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
VRSN,2014-10-20 00:00:00+00:00,55.17,55.23,53.33,53.91,599304,55.17,0.0,55.23,53.33,53.91,1.0,599304
VRSN,2014-10-21 00:00:00+00:00,56.61,56.74,54.98,55.38,989347,56.61,0.0,56.74,54.98,55.38,1.0,989347
VRSN,2014-10-22 00:00:00+00:00,55.19,57.01,55.14,56.7,1080964,55.19,0.0,57.01,55.14,56.7,1.0,1080964
VRSN,2014-10-23 00:00:00+00:00,56.34,56.42,55.03,55.42,1297590,56.34,0.0,56.42,55.03,55.42,1.0,1297590
VRSN,2014-10-24 00:00:00+00:00,58.55,59.85,56.43,56.44,1866693,58.55,0.0,59.85,56.43,56.44,1.0,1866693
VRSN,2014-10-27 00:00:00+00:00,58.64,59.2,58.21,58.37,1036055,58.64,0.0,59.2,58.21,58.37,1.0,1036055
VRSN,2014-10-28 00:00:00+00:00,59.04,59.28,58.45,58.75,1118668,59.04,0.0,59.28,58.45,58.75,1.0,1118668
VRSN,2014-10-29 00:00:00+00:00,58.73,59.27,58.33,58.93,762684,58.73,0.0,59.27,58.33,58.93,1.0,762684
VRSN,2014-10-30 00:00:00+00:00,58.79,58.98,57.73,58.42,860202,58.79,0.0,58.98,57.73,58.42,1.0,860202
VRSN,2014-10-31 00:00:00+00:00,59.76,59.825,59.2,59.46,1313153,59.76,0.0,59.825,59.2,59.46,1.0,1313153
VRSN,2014-11-03 00:00:00+00:00,59.56,60.18,59.49,59.67,675726,59.56,0.0,60.18,59.49,59.67,1.0,675726
VRSN,2014-11-04 00:00:00+00:00,58.79,59.28,58.19,58.85,1308591,58.79,0.0,59.28,58.19,58.85,1.0,1308591
VRSN,2014-11-05 00:00:00+00:00,59.24,59.35,58.61,59.09,732254,59.24,0.0,59.35,58.61,59.09,1.0,732254
VRSN,2014-11-06 00:00:00+00:00,59.81,60.25,59.14,59.36,1395752,59.81,0.0,60.25,59.14,59.36,1.0,1395752
VRSN,2014-11-07 00:00:00+00:00,59.8,60.03,59.255,59.77,798353,59.8,0.0,60.03,59.255,59.77,1.0,798353
VRSN,2014-11-10 00:00:00+00:00,60.47,60.72,59.51,59.71,1330476,60.47,0.0,60.72,59.51,59.71,1.0,1330476
VRSN,2014-11-11 00:00:00+00:00,59.93,60.59,59.85,60.53,723582,59.93,0.0,60.59,59.85,60.53,1.0,723582
VRSN,2014-11-12 00:00:00+00:00,60.36,60.39,59.5,59.59,578489,60.36,0.0,60.39,59.5,59.59,1.0,578489
VRSN,2014-11-13 00:00:00+00:00,60.19,60.54,59.775,60.3,508378,60.19,0.0,60.54,59.775,60.3,1.0,508378
VRSN,2014-11-14 00:00:00+00:00,60.675,60.81,59.93,59.95,697585,60.675,0.0,60.81,59.93,59.95,1.0,697585
VRSN,2014-11-17 00:00:00+00:00,60.655,61.23,60.4,60.68,969464,60.655,0.0,61.23,60.4,60.68,1.0,969464
VRSN,2014-11-18 00:00:00+00:00,60.6,61.25,60.47,60.57,1162409,60.6,0.0,61.25,60.47,60.57,1.0,1162409
VRSN,2014-11-19 00:00:00+00:00,59.375,59.99,59.2,59.99,1107643,59.375,0.0,59.99,59.2,59.99,1.0,1107643
