symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
VRTX,2014-10-02 00:00:00+00:00,104.8,107.37,101.52,107.14,2361692,104.8,0.0,107.37,101.52,107.14,1.0,2361692
VRTX,2014-10-03 00:00:00+00:00,108.59,109.08,103.79,105.37,1954194,108.59,0.0,109.08,103.79,105.37,1.0,1954194
VRTX,2014-10-06 00:00:00+00:00,105.76,110.55,104.4,109.37,1462565,105.76,0.0,110.55,104.4,109.37,1.0,1462565
VRTX,2014-10-07 00:00:00+00:00,102.83,106.04,102.72,104.7,1237065,102.83,0.0,106.04,102.72,104.7,1.0,1237065
VRTX,2014-10-08 00:00:00+00:00,107.02,107.67,102.53,103.48,1470936,107.02,0.0,107.67,102.53,103.48,1.0,1470936
VRTX,2014-10-09 00:00:00+00:00,105.27,109.15,103.78,105.79,1578339,105.27,0.0,109.15,103.78,105.79,1.0,1578339
VRTX,2014-10-10 00:00:00+00:00,104.73,108.41,104.11,105.26,2015910,104.73,0.0,108.41,104.11,105.26,1.0,2015910
VRTX,2014-10-13 00:00:00+00:00,105.91,109.94,105.63,106.74,2409571,105.91,0.0,109.94,105.63,106.74,1.0,2409571
VRTX,2014-10-14 00:00:00+00:00,104.26,107.79,103.3,107.02,1802387,104.26,0.0,107.79,103.3,107.02,1.0,1802387
VRTX,2014-10-15 00:00:00+00:00,101.1,103.75,96.43,102.0,2353867,101.1,0.0,103.75,96.43,102.0,1.0,2353867
VRTX,2014-10-16 00:00:00+00:00,101.26,103.19,97.77,99.25,1822737,101.26,0.0,103.19,97.77,99.25,1.0,1822737
VRTX,2014-10-17 00:00:00+00:00,102.35,102.95,99.26,101.13,1825852,102.35,0.0,102.95,99.26,101.13,1.0,1825852
VRTX,2014-10-20 00:00:00+00:00,104.77,105.0,101.845,102.51,1178616,104.77,0.0,105.0,101.845,102.51,1.0,1178616
VRTX,2014-10-21 00:00:00+00:00,108.16,110.91,104.51,105.86,1897317,108.16,0.0,110.91,104.51,105.86,1.0,1897317
VRTX,2014-10-22 00:00:00+00:00,106.17,111.0,106.0,109.36,1539994,106.17,0.0,111.0,106.0,109.36,1.0,1539994
VRTX,2014-10-23 00:00:00+00:00,108.09,109.55,106.3272,107.03,1261219,108.09,0.0,109.55,106.3272,107.03,1.0,1261219
VRTX,2014-10-24 00:00:00+00:00,109.91,110.25,107.07,108.12,939320,109.91,0.0,110.25,107.07,108.12,1.0,939320
VRTX,2014-10-27 00:00:00+00:00,111.59,111.78,107.86,109.34,1204972,111.59,0.0,111.78,107.86,109.34,1.0,1204972
VRTX,2014-10-28 00:00:00+00:00,114.07,115.24,111.783,112.37,2170562,114.07,0.0,115.24,111.783,112.37,1.0,2170562
VRTX,2014-10-29 00:00:00+00:00,109.91,113.9232,108.02,113.83,2449051,109.91,0.0,113.9232,108.02,113.83,1.0,2449051
VRTX,2014-10-30 00:00:00+00:00,110.85,111.82,108.61,109.21,1398361,110.85,0.0,111.82,108.61,109.21,1.0,1398361
VRTX,2014-10-31 00:00:00+00:00,112.64,114.9799,111.02,113.75,1664600,112.64,0.0,114.9799,111.02,113.75,1.0,1664600
VRTX,2014-11-03 00:00:00+00:00,112.98,113.35,111.61,112.64,1046824,112.98,0.0,113.35,111.61,112.64,1.0,1046824
VRTX,2014-11-04 00:00:00+00:00,114.1,115.52,111.91,112.32,1196307,114.1,0.0,115.52,111.91,112.32,1.0,1196307
VRTX,2014-11-05 00:00:00+00:00,111.59,114.99,110.91,114.67,1099251,111.59,0.0,114.99,110.91,114.67,1.0,1099251
VRTX,2014-11-06 00:00:00+00:00,117.29,117.605,111.85,112.43,1533635,117.29,0.0,117.605,111.85,112.43,1.0,1533635
VRTX,2014-11-07 00:00:00+00:00,115.93,117.19,113.79,116.83,1307194,115.93,0.0,117.19,113.79,116.83,1.0,1307194
VRTX,2014-11-10 00:00:00+00:00,116.94,117.562,114.0,116.16,1131693,116.94,0.0,117.562,114.0,116.16,1.0,1131693
VRTX,2014-11-11 00:00:00+00:00,117.49,117.97,116.068,116.94,861704,117.49,0.0,117.97,116.068,116.94,1.0,861704
VRTX,2014-11-12 00:00:00+00:00,116.68,117.48,114.45,117.21,833768,116.68,0.0,117.48,114.45,117.21,1.0,833768
VRTX,2014-11-13 00:00:00+00:00,112.72,116.75,111.85,116.7,1240701,112.72,0.0,116.75,111.85,116.7,1.0,1240701
VRTX,2014-11-14 00:00:00+00:00,111.34,114.23,110.05,113.46,1127471,111.34,0.0,114.23,110.05,113.46,1.0,1127471
VRTX,2014-11-17 00:00:00+00:00,111.62,112.28,110.26,110.8,930453,111.62,0.0,112.28,110.26,110.8,1.0,930453
VRTX,2014-11-18 00:00:00+00:00,111.04,112.595,109.87,111.17,1815113,111.04,0.0,112.595,109.87,111.17,1.0,1815113
VRTX,2014-11-19 00:00:00+00:00,112.8,118.17,111.0,111.03,1988519,112.8,0.0,118.17,111.0,111.03,1.0,1988519
VRTX,2014-11-20 00:00:00+00:00,112.89,113.0,109.34,112.88,2557395,112.89,0.0,113.0,109.34,112.88,1.0,2557395
VRTX,2014-11-21 00:00:00+00:00,111.4,114.43,110.62,114.43,1300131,111.4,0.0,114.43,110.62,114.43,1.0,1300131
VRTX,2014-11-24 00:00:00+00:00,113.8,113.96,111.32,111.55,1085941,113.8,0.0,113.96,111.32,111.55,1.0,1085941
VRTX,2014-11-25 00:00:00+00:00,114.19,114.99,113.63,114.17,1786132,114.19,0.0,114.99,113.63,114.17,1.0,1786132
VRTX,2014-11-26 00:00:00+00:00,115.39,116.27,113.89,114.68,1061103,115.39,0.0,116.27,113.89,114.68,1.0,1061103
VRTX,2014-11-28 00:00:00+00:00,117.88,120.91,115.65,115.65,1121848,117.88,0.0,120.91,115.65,115.65,1.0,1121848
