symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
WBA,2014-10-02 00:00:00+00:00,53.7435897828,53.8784883515,52.6284282813,53.0780901771,5308526,59.76,0.0,59.91,58.52,59.02,1.0,5308526
WBA,2014-10-03 00:00:00+00:00,54.6519068123,55.4612982247,54.1392922511,54.4180826265,8765320,60.77,0.0,61.67,60.2,60.51,1.0,8765320
WBA,2014-10-06 00:00:00+00:00,54.5439879573,54.9396904256,54.3749150845,54.894724236,4794159,60.65,0.0,61.09,60.462,61.04,1.0,4794159
WBA,2014-10-07 00:00:00+00:00,53.8155356861,54.5439879573,53.7435897828,54.1213057753,4381248,59.84,0.0,60.65,59.76,60.18,1.0,4381248
WBA,2014-10-08 00:00:00+00:00,55.2724402284,55.3263996559,53.9144613032,54.040366634,4981355,61.46,0.0,61.52,59.95,60.09,1.0,4981355
WBA,2014-10-09 00:00:00+00:00,55.3533793697,56.0998181167,54.9666701393,55.2904267043,7798307,61.55,0.0,62.38,61.12,61.48,1.0,7798307
WBA,2014-10-10 00:00:00+00:00,56.6484056295,57.1520269528,55.1915010872,55.3443861318,10003030,62.99,0.0,63.55,61.37,61.54,1.0,10003030
WBA,2014-10-13 00:00:00+00:00,54.5799609089,56.4775341091,54.4990217677,56.4775341091,6631184,60.69,0.0,62.8,60.6,62.8,1.0,6631184
WBA,2014-10-14 00:00:00+00:00,54.5799609089,55.2184808009,53.8784883515,54.6249270985,8488829,60.69,0.0,61.4,59.91,60.74,1.0,8488829
WBA,2014-10-15 00:00:00+00:00,54.8137850947,55.0655957564,53.1860989644,54.1302990132,8038074,60.95,0.0,61.23,59.1401,60.19,1.0,8038074
WBA,2014-10-16 00:00:00+00:00,54.3101637715,54.7868953134,53.3209076008,53.7705694965,6557982,60.39,0.0,60.9201,59.29,59.79,1.0,6557982
WBA,2014-10-17 00:00:00+00:00,54.2022449165,54.7076648873,53.7435897828,54.5889541469,8116081,60.27,0.0,60.832,59.76,60.7,1.0,8116081
WBA,2014-10-20 00:00:00+00:00,54.1392922511,54.6609000502,54.0853328236,54.256204344,7017580,60.2,0.0,60.78,60.14,60.33,1.0,7017580
WBA,2014-10-21 00:00:00+00:00,55.3533793697,55.6681426967,53.9144613032,54.2921772956,7461884,61.55,0.0,61.9,59.95,60.37,1.0,7461884
WBA,2014-10-22 00:00:00+00:00,55.3084131801,56.1088113546,54.9936498531,54.9936498531,5314321,61.5,0.0,62.39,61.15,61.15,1.0,5314321
WBA,2014-10-23 00:00:00+00:00,55.8210277413,56.2527031612,55.6501562209,55.9649195479,3964818,62.07,0.0,62.55,61.88,62.23,1.0,3964818
