symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
WDAY,2014-10-02 00:00:00+00:00,81.64,82.66,79.32,80.5,1148353,81.64,0.0,82.66,79.32,80.5,1.0,1148353
WDAY,2014-10-03 00:00:00+00:00,83.33,84.84,82.16,82.6,1291819,83.33,0.0,84.84,82.16,82.6,1.0,1291819
WDAY,2014-10-06 00:00:00+00:00,82.99,84.38,81.71,83.52,1058511,82.99,0.0,84.38,81.71,83.52,1.0,1058511
WDAY,2014-10-07 00:00:00+00:00,80.06,82.46,79.98,82.24,1041648,80.06,0.0,82.46,79.98,82.24,1.0,1041648
WDAY,2014-10-08 00:00:00+00:00,81.57,82.15,77.5,79.53,1719133,81.57,0.0,82.15,77.5,79.53,1.0,1719133
WDAY,2014-10-09 00:00:00+00:00,81.1,82.35,80.2,81.55,1233473,81.1,0.0,82.35,80.2,81.55,1.0,1233473
WDAY,2014-10-10 00:00:00+00:00,79.28,81.66,78.12,80.5,1903806,79.28,0.0,81.66,78.12,80.5,1.0,1903806
WDAY,2014-10-13 00:00:00+00:00,78.42,80.92,77.7,79.64,1522094,78.42,0.0,80.92,77.7,79.64,1.0,1522094
WDAY,2014-10-14 00:00:00+00:00,78.61,81.28,78.1,79.46,1410370,78.61,0.0,81.28,78.1,79.46,1.0,1410370
WDAY,2014-10-15 00:00:00+00:00,78.55,78.96,75.23,77.42,2316696,78.55,0.0,78.96,75.23,77.42,1.0,2316696
WDAY,2014-10-16 00:00:00+00:00,80.54,81.25,76.93,76.93,1610898,80.54,0.0,81.25,76.93,76.93,1.0,1610898
WDAY,2014-10-17 00:00:00+00:00,82.97,83.84,81.07,81.12,1507109,82.97,0.0,83.84,81.07,81.12,1.0,1507109
WDAY,2014-10-20 00:00:00+00:00,82.7,84.0134,81.83,82.37,825733,82.7,0.0,84.0134,81.83,82.37,1.0,825733
WDAY,2014-10-21 00:00:00+00:00,84.62,85.08,82.43,82.64,662935,84.62,0.0,85.08,82.43,82.64,1.0,662935
WDAY,2014-10-22 00:00:00+00:00,82.56,85.0,82.46,84.42,1046650,82.56,0.0,85.0,82.46,84.42,1.0,1046650
WDAY,2014-10-23 00:00:00+00:00,85.73,87.31,82.98,83.43,1232575,85.73,0.0,87.31,82.98,83.43,1.0,1232575
WDAY,2014-10-24 00:00:00+00:00,89.51,89.83,85.52,86.16,1397019,89.51,0.0,89.83,85.52,86.16,1.0,1397019
WDAY,2014-10-27 00:00:00+00:00,89.58,89.89,88.22,88.99,761375,89.58,0.0,89.89,88.22,88.99,1.0,761375
WDAY,2014-10-28 00:00:00+00:00,93.86,94.49,89.69,89.7,1885828,93.86,0.0,94.49,89.69,89.7,1.0,1885828
WDAY,2014-10-29 00:00:00+00:00,91.22,93.63,90.91,93.53,1684565,91.22,0.0,93.63,90.91,93.53,1.0,1684565
WDAY,2014-10-30 00:00:00+00:00,94.2,95.34,93.22,94.87,1066574,94.2,0.0,95.34,93.22,94.87,1.0,1066574
WDAY,2014-10-31 00:00:00+00:00,95.48,97.4,94.09,94.09,2164990,95.48,0.0,97.4,94.09,94.09,1.0,2164990
WDAY,2014-11-03 00:00:00+00:00,95.63,97.16,94.64,95.48,896400,95.63,0.0,97.16,94.64,95.48,1.0,896400
WDAY,2014-11-04 00:00:00+00:00,95.51,96.25,94.8739,95.35,1047112,95.51,0.0,96.25,94.8739,95.35,1.0,1047112
WDAY,2014-11-05 00:00:00+00:00,92.65,96.01,92.18,96.0,1184695,92.65,0.0,96.01,92.18,96.0,1.0,1184695
WDAY,2014-11-06 00:00:00+00:00,94.99,95.44,93.11,93.17,1044077,94.99,0.0,95.44,93.11,93.17,1.0,1044077
WDAY,2014-11-07 00:00:00+00:00,94.56,96.1,93.92,95.25,1059673,94.56,0.0,96.1,93.92,95.25,1.0,1059673
WDAY,2014-11-10 00:00:00+00:00,95.16,95.45,93.475,94.6,652028,95.16,0.0,95.45,93.475,94.6,1.0,652028
WDAY,2014-11-11 00:00:00+00:00,94.62,95.6,94.23,94.87,837545,94.62,0.0,95.6,94.23,94.87,1.0,837545
WDAY,2014-11-12 00:00:00+00:00,94.47,95.0,93.0,94.45,615139,94.47,0.0,95.0,93.0,94.45,1.0,615139
WDAY,2014-11-13 00:00:00+00:00,94.2,95.34,93.22,94.87,506626,94.2,0.0,95.34,93.22,94.87,1.0,506626
WDAY,2014-11-14 00:00:00+00:00,95.29,95.64,93.77,94.72,1255870,95.29,0.0,95.64,93.77,94.72,1.0,1255870
WDAY,2014-11-17 00:00:00+00:00,93.31,96.12,92.6,95.0,1108729,93.31,0.0,96.12,92.6,95.0,1.0,1108729
WDAY,2014-11-18 00:00:00+00:00,92.87,94.16,92.48,94.16,1181129,92.87,0.0,94.16,92.48,94.16,1.0,1181129
WDAY,2014-11-19 00:00:00+00:00,90.9,93.14,90.08,92.9,1285338,90.9,0.0,93.14,90.08,92.9,1.0,1285338
WDAY,2014-11-20 00:00:00+00:00,91.65,92.72,90.1,90.84,1007399,91.65,0.0,92.72,90.1,90.84,1.0,1007399
WDAY,2014-11-21 00:00:00+00:00,93.0,93.232,91.73,93.01,898576,93.0,0.0,93.232,91.73,93.01,1.0,898576
WDAY,2014-11-24 00:00:00+00:00,92.49,93.5,91.35,93.49,2484316,92.49,0.0,93.5,91.35,93.49,1.0,2484316
WDAY,2014-11-25 00:00:00+00:00,87.37,88.95,85.35,85.54,6367185,87.37,0.0,88.95,85.35,85.54,1.0,6367185
WDAY,2014-11-26 00:00:00+00:00,87.87,88.44,87.09,87.59,1581788,87.87,0.0,88.44,87.09,87.59,1.0,1581788
WDAY,2014-11-28 00:00:00+00:00,87.05,88.0,86.58,87.9,640664,87.05,0.0,88.0,86.58,87.9,1.0,640664
WDAY,2014-12-01 00:00:00+00:00,85.01,86.75,84.69,86.62,1651946,85.01,0.0,86.75,84.69,86.62,1.0,1651946
WDAY,2014-12-02 00:00:00+00:00,83.56,85.25,82.68,85.08,1747210,83.56,0.0,85.25,82.68,85.08,1.0,1747210
WDAY,2014-12-03 00:00:00+00:00,82.73,83.78,81.77,83.49,1459500,82.73,0.0,83.78,81.77,83.49,1.0,1459500
WDAY,2014-12-04 00:00:00+00:00,82.29,83.51,81.48,82.93,1895895,82.29,0.0,83.51,81.48,82.93,1.0,1895895
WDAY,2014-12-05 00:00:00+00:00,83.36,83.36,81.77,82.6,1295868,83.36,0.0,83.36,81.77,82.6,1.0,1295868
WDAY,2014-12-08 00:00:00+00:00,81.96,84.9,81.51,83.36,2060496,81.96,0.0,84.9,81.51,83.36,1.0,2060496
WDAY,2014-12-09 00:00:00+00:00,83.65,84.09,79.25,81.0,1963029,83.65,0.0,84.09,79.25,81.0,1.0,1963029
WDAY,2014-12-10 00:00:00+00:00,82.45,84.44,81.36,83.46,1645535,82.45,0.0,84.44,81.36,83.46,1.0,1645535
WDAY,2014-12-11 00:00:00+00:00,82.98,85.38,82.67,82.95,1429298,82.98,0.0,85.38,82.67,82.95,1.0,1429298
WDAY,2014-12-12 00:00:00+00:00,81.58,82.86,81.0,81.92,1588250,81.58,0.0,82.86,81.0,81.92,1.0,1588250
WDAY,2014-12-15 00:00:00+00:00,80.89,82.5,80.45,82.47,1415343,80.89,0.0,82.5,80.45,82.47,1.0,1415343
WDAY,2014-12-16 00:00:00+00:00,78.87,81.54,78.78,80.34,1487785,78.87,0.0,81.54,78.78,80.34,1.0,1487785
WDAY,2014-12-17 00:00:00+00:00,80.62,80.93,78.09,79.26,1780014,80.62,0.0,80.93,78.09,79.26,1.0,1780014
WDAY,2014-12-18 00:00:00+00:00,84.57,84.7,81.38,82.03,2328927,84.57,0.0,84.7,81.38,82.03,1.0,2328927
WDAY,2014-12-19 00:00:00+00:00,85.45,85.75,84.29,84.79,2504332,85.45,0.0,85.75,84.29,84.79,1.0,2504332
WDAY,2014-12-22 00:00:00+00:00,84.14,85.74,83.83,85.49,1340431,84.14,0.0,85.74,83.83,85.49,1.0,1340431
WDAY,2014-12-23 00:00:00+00:00,84.86,85.82,84.38,84.91,2239623,84.86,0.0,85.82,84.38,84.91,1.0,2239623
WDAY,2014-12-24 00:00:00+00:00,84.28,85.11,84.02,84.47,437106,84.28,0.0,85.11,84.02,84.47,1.0,437106
WDAY,2014-12-26 00:00:00+00:00,84.96,85.59,84.49,84.49,863437,84.96,0.0,85.59,84.49,84.49,1.0,863437
WDAY,2014-12-29 00:00:00+00:00,83.69,84.85,82.57,84.7,866459,83.69,0.0,84.85,82.57,84.7,1.0,866459
WDAY,2014-12-30 00:00:00+00:00,83.07,83.5,82.14,83.07,842698,83.07,0.0,83.5,82.14,83.07,1.0,842698
WDAY,2014-12-31 00:00:00+00:00,81.61,83.5,81.46,83.49,1190962,81.61,0.0,83.5,81.46,83.49,1.0,1190962
WDAY,2015-01-02 00:00:00+00:00,80.41,81.971,79.25,81.82,1629986,80.41,0.0,81.971,79.25,81.82,1.0,1629986
WDAY,2015-01-05 00:00:00+00:00,80.01,80.975,79.11,80.0,1591506,80.01,0.0,80.975,79.11,80.0,1.0,1591506
WDAY,2015-01-06 00:00:00+00:00,79.42,81.48,78.25,80.84,1583969,79.42,0.0,81.48,78.25,80.84,1.0,1583969
WDAY,2015-01-07 00:00:00+00:00,79.35,80.37,78.86,79.73,1106155,79.35,0.0,80.37,78.86,79.73,1.0,1106155
WDAY,2015-01-08 00:00:00+00:00,82.78,83.205,79.38,79.56,2090086,82.78,0.0,83.205,79.38,79.56,1.0,2090086
WDAY,2015-01-09 00:00:00+00:00,82.6,83.75,82.04,82.89,1062279,82.6,0.0,83.75,82.04,82.89,1.0,1062279
WDAY,2015-01-12 00:00:00+00:00,83.49,84.26,82.11,82.6,1220405,83.49,0.0,84.26,82.11,82.6,1.0,1220405
WDAY,2015-01-13 00:00:00+00:00,83.85,85.595,82.68,84.0,1784221,83.85,0.0,85.595,82.68,84.0,1.0,1784221
WDAY,2015-01-14 00:00:00+00:00,81.01,83.25,79.33,82.71,1847175,81.01,0.0,83.25,79.33,82.71,1.0,1847175
WDAY,2015-01-15 00:00:00+00:00,78.06,81.34,78.02,81.26,1500685,78.06,0.0,81.34,78.02,81.26,1.0,1500685
WDAY,2015-01-16 00:00:00+00:00,78.4,78.5,76.36,78.0,1383272,78.4,0.0,78.5,76.36,78.0,1.0,1383272
WDAY,2015-01-20 00:00:00+00:00,78.32,78.98,77.0,78.72,1359889,78.32,0.0,78.98,77.0,78.72,1.0,1359889
WDAY,2015-01-21 00:00:00+00:00,80.39,81.4,77.8988,78.27,1571656,80.39,0.0,81.4,77.8988,78.27,1.0,1571656
WDAY,2015-01-22 00:00:00+00:00,81.4,81.87,79.63,80.7,971939,81.4,0.0,81.87,79.63,80.7,1.0,971939
WDAY,2015-01-23 00:00:00+00:00,83.2,84.33,81.32,81.65,1423183,83.2,0.0,84.33,81.32,81.65,1.0,1423183
WDAY,2015-01-26 00:00:00+00:00,82.78,83.81,82.12,82.92,707830,82.78,0.0,83.81,82.12,82.92,1.0,707830
WDAY,2015-01-27 00:00:00+00:00,80.63,81.61,80.03,81.18,1065535,80.63,0.0,81.61,80.03,81.18,1.0,1065535
WDAY,2015-01-28 00:00:00+00:00,78.66,81.55,78.66,81.36,1427823,78.66,0.0,81.55,78.66,81.36,1.0,1427823
WDAY,2015-01-29 00:00:00+00:00,79.17,79.952,77.4,79.15,1727903,79.17,0.0,79.952,77.4,79.15,1.0,1727903
WDAY,2015-01-30 00:00:00+00:00,79.46,79.88,77.93,78.99,1802536,79.46,0.0,79.88,77.93,78.99,1.0,1802536
WDAY,2015-02-02 00:00:00+00:00,81.39,81.44,78.4,79.65,1165283,81.39,0.0,81.44,78.4,79.65,1.0,1165283
WDAY,2015-02-03 00:00:00+00:00,84.74,84.99,81.7,81.79,2152290,84.74,0.0,84.99,81.7,81.79,1.0,2152290
WDAY,2015-02-04 00:00:00+00:00,84.92,85.54,83.69,84.03,1037828,84.92,0.0,85.54,83.69,84.03,1.0,1037828
WDAY,2015-02-05 00:00:00+00:00,87.63,87.97,85.41,85.75,1444921,87.63,0.0,87.97,85.41,85.75,1.0,1444921
WDAY,2015-02-06 00:00:00+00:00,86.43,87.58,86.27,87.37,679412,86.43,0.0,87.58,86.27,87.37,1.0,679412
WDAY,2015-02-09 00:00:00+00:00,86.09,86.73,85.07,85.99,680386,86.09,0.0,86.73,85.07,85.99,1.0,680386
WDAY,2015-02-10 00:00:00+00:00,86.14,87.04,85.59,86.79,747967,86.14,0.0,87.04,85.59,86.79,1.0,747967
WDAY,2015-02-11 00:00:00+00:00,88.87,89.27,85.95,86.09,1338760,88.87,0.0,89.27,85.95,86.09,1.0,1338760
WDAY,2015-02-12 00:00:00+00:00,91.17,91.255,88.64,88.88,1295905,91.17,0.0,91.255,88.64,88.88,1.0,1295905
WDAY,2015-02-13 00:00:00+00:00,91.84,92.38,90.35,91.0,994198,91.84,0.0,92.38,90.35,91.0,1.0,994198
WDAY,2015-02-17 00:00:00+00:00,90.92,91.705,90.35,91.37,1640785,90.92,0.0,91.705,90.35,91.37,1.0,1640785
WDAY,2015-02-18 00:00:00+00:00,91.3,91.705,90.55,90.63,814872,91.3,0.0,91.705,90.55,90.63,1.0,814872
WDAY,2015-02-19 00:00:00+00:00,91.87,92.11,90.79,90.83,783274,91.87,0.0,92.11,90.79,90.83,1.0,783274
WDAY,2015-02-20 00:00:00+00:00,92.74,92.74,91.1,91.68,842821,92.74,0.0,92.74,91.1,91.68,1.0,842821
WDAY,2015-02-23 00:00:00+00:00,91.99,93.16,91.81,93.0,825373,91.99,0.0,93.16,91.81,93.0,1.0,825373
WDAY,2015-02-24 00:00:00+00:00,93.03,93.06,91.06,91.49,1233120,93.03,0.0,93.06,91.06,91.49,1.0,1233120
WDAY,2015-02-25 00:00:00+00:00,93.94,95.17,91.56,92.49,2112617,93.94,0.0,95.17,91.56,92.49,1.0,2112617
WDAY,2015-02-26 00:00:00+00:00,88.65,94.72,84.65,94.52,6924591,88.65,0.0,94.72,84.65,94.52,1.0,6924591
WDAY,2015-02-27 00:00:00+00:00,85.5,89.09,85.31,88.65,2761698,85.5,0.0,89.09,85.31,88.65,1.0,2761698
WDAY,2015-03-02 00:00:00+00:00,88.81,88.96,84.8,85.6,2342592,88.81,0.0,88.96,84.8,85.6,1.0,2342592
WDAY,2015-03-03 00:00:00+00:00,88.12,90.61,87.79,89.13,2477472,88.12,0.0,90.61,87.79,89.13,1.0,2477472
WDAY,2015-03-04 00:00:00+00:00,82.64,88.28,82.32,88.0,3426634,82.64,0.0,88.28,82.32,88.0,1.0,3426634
WDAY,2015-03-05 00:00:00+00:00,84.21,84.42,81.81,82.72,1800210,84.21,0.0,84.42,81.81,82.72,1.0,1800210
WDAY,2015-03-06 00:00:00+00:00,82.61,84.71,82.2,83.83,1313008,82.61,0.0,84.71,82.2,83.83,1.0,1313008
WDAY,2015-03-09 00:00:00+00:00,83.03,83.05,81.3,82.66,1146054,83.03,0.0,83.05,81.3,82.66,1.0,1146054
WDAY,2015-03-10 00:00:00+00:00,81.29,82.0,80.8201,81.97,1116811,81.29,0.0,82.0,80.8201,81.97,1.0,1116811
WDAY,2015-03-11 00:00:00+00:00,82.33,82.97,80.894,81.73,993366,82.33,0.0,82.97,80.894,81.73,1.0,993366
WDAY,2015-03-12 00:00:00+00:00,83.17,83.63,82.01,82.77,1037557,83.17,0.0,83.63,82.01,82.77,1.0,1037557
WDAY,2015-03-13 00:00:00+00:00,82.56,83.5,81.95,82.54,544532,82.56,0.0,83.5,81.95,82.54,1.0,544532
WDAY,2015-03-16 00:00:00+00:00,83.87,83.92,82.29,83.15,713665,83.87,0.0,83.92,82.29,83.15,1.0,713665
WDAY,2015-03-17 00:00:00+00:00,83.4,83.87,82.74,82.91,969851,83.4,0.0,83.87,82.74,82.91,1.0,969851
WDAY,2015-03-18 00:00:00+00:00,84.89,85.5,82.7,82.9,1165798,84.89,0.0,85.5,82.7,82.9,1.0,1165798
WDAY,2015-03-19 00:00:00+00:00,85.35,86.0,84.49,84.66,952293,85.35,0.0,86.0,84.49,84.66,1.0,952293
