symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
WDC,2014-10-16 00:00:00+00:00,73.2711262254,73.9903099836,71.2077537762,71.6272776351,1643612,85.58,0.0,86.42,83.17,83.66,1.0,1643612
WDC,2014-10-17 00:00:00+00:00,74.3499018627,75.1718261578,73.8618843125,73.9646248494,2276694,86.84,0.0,87.8,86.27,86.39,1.0,2276694
WDC,2014-10-20 00:00:00+00:00,75.1975112921,75.4886094799,74.3584635741,74.5040126681,1969523,87.83,0.0,88.17,86.85,87.02,1.0,1969523
WDC,2014-10-21 00:00:00+00:00,77.6375990432,77.7146544459,75.7797076678,76.03655901,2319534,90.68,0.0,90.77,88.51,88.81,1.0,2319534
WDC,2014-10-22 00:00:00+00:00,76.4303977347,77.9030120968,76.3019720636,77.6718458888,1742023,89.27,0.0,90.99,89.12,90.72,1.0,1742023
WDC,2014-10-23 00:00:00+00:00,77.5605436405,77.9715057881,76.7129342112,77.4834882379,1821111,90.59,0.0,91.07,89.6,90.5,1.0,1821111
WDC,2014-10-24 00:00:00+00:00,78.493770184,78.6136341437,77.1945304779,77.9715057881,1488677,91.68,0.0,91.82,90.1625,91.07,1.0,1488677
WDC,2014-10-27 00:00:00+00:00,79.5811075327,80.3174147138,77.5862287748,78.5622638752,2292911,92.95,0.0,93.81,90.62,91.76,1.0,2292911
WDC,2014-10-28 00:00:00+00:00,79.692409781,80.6264924956,78.493770184,79.8636440092,2702407,93.08,0.0,94.171,91.68,93.28,1.0,2702407
WDC,2014-10-29 00:00:00+00:00,82.0126335724,83.4766862231,79.2557624992,79.6239160897,4290277,95.79,0.0,97.5,92.57,93.0,1.0,4290277
WDC,2014-10-30 00:00:00+00:00,81.498930888,81.9098930355,80.574266056,81.5160543108,2081106,95.19,0.0,95.67,94.11,95.21,1.0,2081106
WDC,2014-10-31 00:00:00+00:00,84.2215551156,84.4095702981,82.3294168945,83.2027114581,2665907,98.37,0.0,98.5896,96.16,97.18,1.0,2665907
WDC,2014-11-03 00:00:00+00:00,86.2592424306,86.8756856519,84.3328573639,84.5212150148,2789848,100.75,0.0,101.47,98.5,98.72,1.0,2789848
WDC,2014-11-04 00:00:00+00:00,85.617114075,86.6445194439,85.2746456187,85.8140334374,2100116,100.0,0.0,101.2,99.6,100.23,1.0,2100116
WDC,2014-11-05 00:00:00+00:00,86.7130131352,86.8071919606,85.6427992092,86.267804142,1223022,101.28,0.0,101.39,100.03,100.76,1.0,1223022
WDC,2014-11-06 00:00:00+00:00,83.7891886895,86.5332171956,83.5280564916,85.617114075,3240354,97.865,0.0,101.07,97.56,100.0,1.0,3240354
WDC,2014-11-07 00:00:00+00:00,83.6479204513,84.7352578,83.3396988406,83.8619632365,5057158,97.7,0.0,98.97,97.34,97.95,1.0,5057158
WDC,2014-11-10 00:00:00+00:00,83.5965501828,83.9047717935,83.0999709212,83.57942676,1858709,97.64,0.0,98.0,97.06,97.62,1.0,1858709
WDC,2014-11-11 00:00:00+00:00,83.0057920957,83.8448398136,82.5263362569,83.5965501828,1455850,96.95,0.0,97.93,96.39,97.64,1.0,1455850
WDC,2014-11-12 00:00:00+00:00,83.5879884714,83.998950619,82.6205150824,83.0314772299,1578865,97.63,0.0,98.11,96.5,96.98,1.0,1578865
WDC,2014-11-13 00:00:00+00:00,83.7592226996,84.0416735589,83.1235156276,83.4510010889,1270108,97.83,0.0,98.1599,97.0875,97.47,1.0,1270108
WDC,2014-11-14 00:00:00+00:00,84.2558019612,84.5725852833,83.7164141425,83.9133335049,429699,98.41,0.0,98.78,97.78,98.01,1.0,429699
WDC,2014-11-17 00:00:00+00:00,84.3671042095,84.6753258202,83.2883285722,84.1530614243,612536,98.54,0.0,98.9,97.28,98.29,1.0,612536
WDC,2014-11-18 00:00:00+00:00,85.9510208199,86.6445194439,84.0246357532,84.230116827,2022073,100.39,0.0,101.2,98.14,98.38,1.0,2022073
WDC,2014-11-19 00:00:00+00:00,85.5357778166,85.9852676655,85.0606028335,85.8225951488,1180814,99.905,0.0,100.43,99.35,100.24,1.0,1180814
WDC,2014-11-20 00:00:00+00:00,87.1325369941,87.1667838398,84.8295222426,85.6256757864,1199600,101.77,0.0,101.81,99.0801,100.01,1.0,1199600
WDC,2014-11-21 00:00:00+00:00,87.0726050143,88.5965896448,86.3277361218,87.8602824638,2608396,101.7,0.0,103.48,100.83,102.62,1.0,2608396
WDC,2014-11-24 00:00:00+00:00,87.9801464235,88.159942363,86.8671239405,86.9270559203,1230095,102.76,0.0,102.97,101.46,101.53,1.0,1230095
WDC,2014-11-25 00:00:00+00:00,87.8688441752,89.041798638,87.8089121953,88.1856274972,2333443,102.63,0.0,104.0,102.56,103.0,1.0,2333443
WDC,2014-11-26 00:00:00+00:00,88.7592621615,88.7763855844,86.961302766,87.3294563565,1465858,103.67,0.0,103.69,101.57,102.0,1.0,1465858
WDC,2014-11-28 00:00:00+00:00,88.4167937052,89.041798638,88.159942363,88.6479599132,862435,103.27,0.0,104.0,102.97,103.54,1.0,862435
WDC,2014-12-01 00:00:00+00:00,87.4578820276,88.5024108193,86.7558216922,88.2712446113,1828672,102.15,0.0,103.37,101.33,103.1,1.0,1828672
WDC,2014-12-02 00:00:00+00:00,87.9458995778,88.3825468596,87.1068518599,87.4835671618,1289261,102.72,0.0,103.23,101.74,102.18,1.0,1289261
WDC,2014-12-03 00:00:00+00:00,88.3054914569,88.5109725307,87.423635182,88.1428189402,1080134,103.14,0.0,103.38,102.11,102.95,1.0,1080134
WDC,2014-12-04 00:00:00+00:00,88.8020707186,89.2215945775,88.117133806,88.2198743429,1462292,103.72,0.0,104.21,102.92,103.04,1.0,1462292
WDC,2014-12-05 00:00:00+00:00,89.9579017586,90.0777657183,88.7075494246,89.041798638,2150892,105.07,0.0,105.21,103.6096,104.0,1.0,2150892
WDC,2014-12-08 00:00:00+00:00,89.9407783358,90.6085918256,89.1616625977,89.5126927654,1681777,105.05,0.0,105.83,104.14,104.55,1.0,1681777
WDC,2014-12-09 00:00:00+00:00,92.2952489728,93.0379774374,88.7164536045,88.7164536045,3598540,107.8,0.0,108.6675,103.62,103.62,1.0,3598540
WDC,2014-12-10 00:00:00+00:00,91.8072314226,93.8706038718,91.6103120602,92.7918282345,2947130,107.23,0.0,109.64,107.0,108.38,1.0,2947130
WDC,2014-12-11 00:00:00+00:00,92.5007300466,93.3997097444,91.8072314226,92.6291557177,1908958,108.04,0.0,109.09,107.23,108.19,1.0,1908958
WDC,2014-12-12 00:00:00+00:00,90.4373575974,92.1668233017,90.4202341746,91.4733246777,1605115,105.63,0.0,107.65,105.61,106.84,1.0,1605115
WDC,2014-12-15 00:00:00+00:00,90.240438235,91.7044908857,89.7438589734,90.6856472282,1476269,105.4,0.0,107.11,104.82,105.92,1.0,1476269
WDC,2014-12-16 00:00:00+00:00,89.461322497,92.5264151808,89.4185139399,89.923654913,2370931,104.49,0.0,108.07,104.44,105.03,1.0,2370931
WDC,2014-12-17 00:00:00+00:00,92.423674644,93.202790382,89.7609823962,89.7609823962,2335174,107.95,0.0,108.86,104.84,104.84,1.0,2335174
WDC,2014-12-18 00:00:00+00:00,96.1993893747,96.310691623,93.5281354155,93.7593016235,3202070,112.36,0.0,112.49,109.24,109.51,1.0,3202070
WDC,2014-12-19 00:00:00+00:00,97.5007695086,98.1942681326,96.4990492739,96.4990492739,3764466,113.88,0.0,114.69,112.71,112.71,1.0,3764466
WDC,2014-12-22 00:00:00+00:00,97.8432379649,98.0144721931,96.9870668242,97.2439181664,2155431,114.28,0.0,114.48,113.28,113.58,1.0,2155431
WDC,2014-12-23 00:00:00+00:00,96.9999093913,98.0829658843,96.0195934351,97.9374167904,2104317,113.295,0.0,114.56,112.15,114.39,1.0,2104317
WDC,2014-12-24 00:00:00+00:00,96.8415177302,97.3894672603,96.4391172941,97.2867267234,782950,113.11,0.0,113.75,112.64,113.63,1.0,782950
WDC,2014-12-26 00:00:00+00:00,96.8243943074,97.5949483341,96.7987091732,97.4237141059,639139,113.09,0.0,113.99,113.06,113.79,1.0,639139
WDC,2014-12-29 00:00:00+00:00,96.7773048947,97.50933122,96.396308737,96.5589812538,1002308,113.035,0.0,113.89,112.59,112.78,1.0,1002308
WDC,2014-12-30 00:00:00+00:00,96.4990492739,96.9372517059,96.060846842,96.4560882512,1457884,112.31,0.4,112.82,111.8,112.26,1.0,1457884
WDC,2014-12-31 00:00:00+00:00,95.1157043418,96.4732726603,95.0383745008,96.374462308,1090406,110.7,0.0,112.28,110.61,112.165,1.0,1090406
WDC,2015-01-02 00:00:00+00:00,94.883714819,96.1639532966,93.8784268869,96.060846842,966972,110.43,0.0,111.92,109.26,111.8,1.0,966972
WDC,2015-01-05 00:00:00+00:00,93.629252955,95.5667950805,93.2769725686,94.7032785235,1667975,108.97,0.0,111.225,108.56,110.22,1.0,1667975
WDC,2015-01-06 00:00:00+00:00,91.54134725,93.9471645233,91.1890668635,93.1309050913,2022892,106.54,0.0,109.34,106.13,108.39,1.0,2022892
WDC,2015-01-07 00:00:00+00:00,92.9160999776,93.1824583186,91.3523187499,92.3747910911,1552708,108.14,0.0,108.45,106.32,107.51,1.0,1552708
WDC,2015-01-08 00:00:00+00:00,94.8407537962,95.7515274783,93.8612424778,93.8612424778,2533122,110.38,0.0,111.44,109.24,109.24,1.0,2533122
WDC,2015-01-09 00:00:00+00:00,96.421719433,97.8477676218,95.1328887509,95.3219172509,2170359,112.22,0.0,113.8797,110.72,110.94,1.0,2170359
WDC,2015-01-12 00:00:00+00:00,94.789200569,96.0436624329,94.2478916825,95.7601196828,1518236,110.32,0.0,111.78,109.69,111.45,1.0,1518236
WDC,2015-01-13 00:00:00+00:00,93.9815333415,96.7224465922,93.4316322504,95.3734704782,1604566,109.38,0.0,112.57,108.74,111.0,1.0,1604566
