symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
WYNN,2014-10-02 00:00:00+00:00,160.7097156237,163.9016284395,157.3851748515,161.8061067294,1893502,181.76,0.0,185.37,178.0,183.0,1.0,1893502
WYNN,2014-10-03 00:00:00+00:00,161.169492539,163.6717399818,159.6487803916,161.7353718193,1236158,182.28,0.0,185.11,180.5601,182.92,1.0,1236158
WYNN,2014-10-06 00:00:00+00:00,162.5046139661,166.2089127865,162.327776691,165.8645221932,1557657,183.79,0.0,187.9795,183.59,187.59,1.0,1557657
WYNN,2014-10-07 00:00:00+00:00,159.4011197878,162.3741964757,158.4373566385,159.1004964201,1493666,180.28,0.0,183.6425,179.19,179.94,1.0,1493666
WYNN,2014-10-08 00:00:00+00:00,162.0625207783,162.4692465111,157.8272680393,159.7990036568,1114113,183.29,0.0,183.75,178.5,180.73,1.0,1114113
WYNN,2014-10-09 00:00:00+00:00,157.4470678978,163.0754446901,157.1818119851,162.3454604185,1386929,178.07,0.0,184.4356,177.77,183.61,1.0,1386929
WYNN,2014-10-10 00:00:00+00:00,156.244574427,160.479827166,156.1031046069,157.1818119851,1547036,176.71,0.0,181.5,176.55,177.77,1.0,1547036
WYNN,2014-10-13 00:00:00+00:00,153.3532849789,157.1464445301,150.3558931657,155.9085836043,3040667,173.44,0.0,177.73,170.05,176.33,1.0,3040667
WYNN,2014-10-14 00:00:00+00:00,153.7069595291,157.1331817345,151.3019725876,151.5230191815,1936980,173.84,0.0,177.715,171.12,171.37,1.0,1936980
WYNN,2014-10-15 00:00:00+00:00,154.1225271257,155.2808112777,149.2525169877,151.4876517265,2326931,174.31,0.0,175.62,168.8021,171.33,1.0,2326931
WYNN,2014-10-16 00:00:00+00:00,160.9838134001,163.2031212028,152.9907685649,153.2383407501,3044257,182.07,0.0,184.58,173.03,173.31,1.0,3044257
WYNN,2014-10-17 00:00:00+00:00,161.3198042228,165.873364057,160.081943297,164.1138331696,2219836,182.45,0.0,187.6,181.05,185.61,1.0,2219836
WYNN,2014-10-20 00:00:00+00:00,160.6212969861,162.2658836447,158.7998730524,161.7088462281,1884815,181.66,0.0,183.52,179.6,182.89,1.0,1884815
WYNN,2014-10-21 00:00:00+00:00,163.2119630665,164.1226750334,160.9838134001,161.7530555468,1780716,184.59,0.0,185.62,182.07,182.94,1.0,1780716
WYNN,2014-10-22 00:00:00+00:00,161.2932786315,164.4586658561,160.6522435093,163.6540562543,1332588,182.42,0.0,186.0,181.695,185.09,1.0,1332588
WYNN,2014-10-23 00:00:00+00:00,162.2393580534,164.3702472185,161.8945253669,162.6726093774,1607399,183.49,0.0,185.9,183.1,183.98,1.0,1607399
WYNN,2014-10-24 00:00:00+00:00,163.3269072954,164.0607819871,161.0722320377,162.5841907399,1265442,184.72,0.0,185.55,182.17,183.88,1.0,1265442
WYNN,2014-10-27 00:00:00+00:00,162.398511601,164.1845680797,161.7088462281,162.4073534648,2004985,183.67,0.0,185.69,182.89,183.68,1.0,2004985
WYNN,2014-10-28 00:00:00+00:00,163.7955260744,164.149112206,160.479827166,161.7442136831,1669819,185.25,0.0,185.6499,181.5,182.93,1.0,1669819
WYNN,2014-10-29 00:00:00+00:00,164.3967728098,170.1616679785,163.1500700202,168.8353884152,2566337,185.93,0.0,192.45,184.52,190.95,1.0,2566337
WYNN,2014-10-30 00:00:00+00:00,165.9175733758,166.9343877077,162.7433442875,162.8406047888,1176103,187.65,0.0,188.8,184.06,184.17,1.0,1176103
WYNN,2014-10-31 00:00:00+00:00,168.0042532221,168.8619140064,166.6868155225,168.8619140064,1527796,190.01,0.0,190.98,188.52,190.98,1.0,1527796
WYNN,2014-11-03 00:00:00+00:00,167.5621600343,169.5250537881,166.6249224762,167.9600439033,1225660,189.51,0.0,191.73,188.45,189.96,1.0,1225660
WYNN,2014-11-04 00:00:00+00:00,163.8043679382,165.3428522317,161.1075994927,165.2544335941,2087993,185.26,0.0,187.0,182.21,186.9,1.0,2087993
WYNN,2014-11-05 00:00:00+00:00,158.923659145,161.7972648656,156.5894071135,160.9219203538,2938211,179.74,0.0,182.99,177.1,182.0,1.0,2938211
WYNN,2014-11-06 00:00:00+00:00,158.0129471782,159.1447057389,156.0765790157,159.1358638752,3081684,178.71,0.0,179.99,176.52,179.98,1.0,3081684
WYNN,2014-11-07 00:00:00+00:00,158.8706079625,160.3052674768,158.0637016519,159.238239463,1489630,177.18,2.5,178.78,176.2801,177.59,1.0,1489630
WYNN,2014-11-10 00:00:00+00:00,159.5072381219,161.497828198,158.1891446932,159.3279056827,1034036,177.89,0.0,180.11,176.42,177.69,1.0,1034036
WYNN,2014-11-11 00:00:00+00:00,161.7130271251,162.1254917355,158.736108633,160.2066346352,1304067,180.35,0.0,180.81,177.03,178.67,1.0,1304067
WYNN,2014-11-12 00:00:00+00:00,161.6592273934,162.00892565,160.6370324894,160.9239643923,2121745,180.29,0.0,180.68,179.15,179.47,1.0,2121745
WYNN,2014-11-13 00:00:00+00:00,163.757416933,164.6159709861,162.0716920037,162.2958575528,1294371,182.63,0.0,183.5875,180.75,181.0,1.0,1294371
WYNN,2014-11-14 00:00:00+00:00,164.9768775201,165.7300737651,163.0849202857,163.9905491041,1279682,183.99,0.0,184.83,181.88,182.89,1.0,1279682
WYNN,2014-11-17 00:00:00+00:00,163.757416933,164.0802153237,162.2689576869,163.9367493723,815606,182.63,0.0,182.99,180.97,182.83,1.0,815606
