symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
XEL,2014-10-02 00:00:00+00:00,25.8012858186,26.0560713929,25.7248501464,25.8777214909,2570846,30.38,0.0,30.68,30.29,30.47,1.0,2570846
XEL,2014-10-03 00:00:00+00:00,25.9966214255,26.0645642453,25.6314287691,25.7927929662,1918170,30.61,0.0,30.69,30.18,30.37,1.0,1918170
XEL,2014-10-06 00:00:00+00:00,25.9966214255,26.1494927701,25.8777214909,26.0900428028,1140292,30.61,0.0,30.79,30.47,30.72,1.0,1140292
XEL,2014-10-07 00:00:00+00:00,26.18346418,26.4552354592,25.9286786057,25.9286786057,3357927,30.83,0.0,31.15,30.53,30.53,1.0,3357927
XEL,2014-10-08 00:00:00+00:00,26.8713852305,26.9138494928,26.1409999176,26.2174355899,3210046,31.64,0.0,31.69,30.78,30.87,1.0,3210046
XEL,2014-10-09 00:00:00+00:00,26.5571496889,27.1516493621,26.5401639839,26.8798780829,5174532,31.27,0.0,31.97,31.25,31.65,1.0,5174532
XEL,2014-10-10 00:00:00+00:00,26.8204281156,27.0072708701,26.5741353938,26.6760496235,4346738,31.58,0.0,31.8,31.29,31.41,1.0,4346738
XEL,2014-10-13 00:00:00+00:00,26.9732994602,27.3554778215,26.7864567057,26.8034424107,4460015,31.76,0.0,32.21,31.54,31.56,1.0,4460015
XEL,2014-10-14 00:00:00+00:00,27.7716275928,27.9839489047,26.9138494928,27.0921993948,9447835,32.7,0.0,32.95,31.69,31.9,1.0,9447835
XEL,2014-10-15 00:00:00+00:00,27.363970674,28.0179203146,26.9478209027,27.7376561829,6606607,32.22,0.0,32.99,31.73,32.66,1.0,6606607
XEL,2014-10-16 00:00:00+00:00,27.0837065423,27.2323314606,26.7185138859,27.0072708701,6766364,31.89,0.0,32.065,31.46,31.8,1.0,6766364
XEL,2014-10-17 00:00:00+00:00,27.0837065423,27.2620564443,26.845906673,27.2535635918,5540580,31.89,0.0,32.1,31.61,32.09,1.0,5540580
XEL,2014-10-20 00:00:00+00:00,27.4149277888,27.5083491661,27.04124228,27.1431565097,4269604,32.28,0.0,32.39,31.84,31.96,1.0,4269604
XEL,2014-10-21 00:00:00+00:00,27.5593062809,27.6017705433,27.3130135592,27.542320576,4560226,32.45,0.0,32.5,32.16,32.43,1.0,4560226
XEL,2014-10-22 00:00:00+00:00,27.7716275928,27.9966881834,27.5593062809,27.5932776908,3590022,32.7,0.0,32.965,32.45,32.49,1.0,3590022
XEL,2014-10-23 00:00:00+00:00,27.7716275928,28.0009346096,27.7291633304,27.9499774948,2508487,32.7,0.0,32.97,32.65,32.91,1.0,2508487
XEL,2014-10-24 00:00:00+00:00,27.9414846423,28.0688774294,27.7419026091,27.8310775601,2862879,32.9,0.0,33.05,32.665,32.77,1.0,2862879
XEL,2014-10-27 00:00:00+00:00,27.882034675,28.0518917245,27.8055990027,27.9499774948,2921088,32.83,0.0,33.03,32.74,32.91,1.0,2921088
XEL,2014-10-28 00:00:00+00:00,28.0943559868,28.0943559868,27.7971061502,27.9414846423,2931239,33.08,0.0,33.08,32.73,32.9,1.0,2931239
XEL,2014-10-29 00:00:00+00:00,27.8990203799,28.1622988066,27.2195921819,28.1028488393,2950065,32.85,0.0,33.16,32.05,33.09,1.0,2950065
XEL,2014-10-30 00:00:00+00:00,28.3746201185,28.6209128403,28.1622988066,28.4765343482,5013142,33.41,0.0,33.7,33.16,33.53,1.0,5013142
XEL,2014-10-31 00:00:00+00:00,28.4255772334,28.6633771027,28.2727058888,28.5869414304,3632905,33.47,0.0,33.75,33.29,33.66,1.0,3632905
XEL,2014-11-03 00:00:00+00:00,28.6633771027,28.7398127749,28.4340700858,28.5529700205,3243804,33.75,0.0,33.84,33.48,33.62,1.0,3243804
XEL,2014-11-04 00:00:00+00:00,28.4255772334,28.867205562,28.3151701512,28.5699557254,3709830,33.47,0.0,33.99,33.34,33.64,1.0,3709830
XEL,2014-11-05 00:00:00+00:00,28.9521340868,28.9521340868,28.4425629383,28.5869414304,4556003,34.09,0.0,34.09,33.49,33.66,1.0,4556003
XEL,2014-11-06 00:00:00+00:00,28.0688774294,28.867205562,28.0179203146,28.7652913324,8182494,33.05,0.0,33.99,32.99,33.87,1.0,8182494
XEL,2014-11-07 00:00:00+00:00,28.5359843155,28.5784485779,28.0773702819,28.1113416918,4070047,33.6,0.0,33.65,33.06,33.1,1.0,4070047
XEL,2014-11-10 00:00:00+00:00,28.867205562,28.9181626769,28.5020129056,28.544477168,3284138,33.99,0.0,34.05,33.56,33.61,1.0,3284138
XEL,2014-11-11 00:00:00+00:00,28.7737841848,28.9351483818,28.6209128403,28.8247412997,2469721,33.88,0.0,34.07,33.7,33.94,1.0,2469721
XEL,2014-11-12 00:00:00+00:00,28.3746201185,28.6209128403,28.1622988066,28.4765343482,3203136,33.41,0.0,33.7,33.16,33.53,1.0,3203136
XEL,2014-11-13 00:00:00+00:00,28.2132559215,28.561462873,28.1455678873,28.4425629383,2690875,33.22,0.0,33.63,33.1403,33.49,1.0,2690875
XEL,2014-11-14 00:00:00+00:00,28.0603845769,28.2344880527,28.0094274621,28.0943559868,2793890,33.04,0.0,33.245,32.98,33.08,1.0,2793890
XEL,2014-11-17 00:00:00+00:00,28.3916058235,28.4425629383,27.9839489047,28.0688774294,2533444,33.43,0.0,33.49,32.95,33.05,1.0,2533444
XEL,2014-11-18 00:00:00+00:00,28.6378985452,28.7907698898,28.3236630037,28.4680414957,2847555,33.72,0.0,33.9,33.35,33.52,1.0,2847555
XEL,2014-11-19 00:00:00+00:00,28.5105057581,28.6294056928,28.3746201185,28.5529700205,1972218,33.57,0.0,33.71,33.41,33.62,1.0,1972218
XEL,2014-11-20 00:00:00+00:00,28.5020129056,28.6378985452,28.383112971,28.5105057581,2138563,33.56,0.0,33.72,33.42,33.57,1.0,2138563
XEL,2014-11-21 00:00:00+00:00,28.6039271353,28.7737841848,28.3321558561,28.7567984799,2650022,33.68,0.0,33.88,33.36,33.86,1.0,2650022
