symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
XLNX,2014-10-02 00:00:00+00:00,37.0099923037,37.3852746979,36.5364216634,37.3852746979,3906807,41.42,0.0,41.84,40.89,41.84,1.0,3906807
XLNX,2014-10-03 00:00:00+00:00,36.7508687458,37.2244393861,36.6704510899,37.1440217302,4751747,41.13,0.0,41.66,41.04,41.57,1.0,4751747
XLNX,2014-10-06 00:00:00+00:00,36.7821422787,37.0546687792,36.4470687124,36.7866099262,3028783,41.165,0.0,41.47,40.79,41.17,1.0,3028783
XLNX,2014-10-07 00:00:00+00:00,36.2370892776,36.6525804997,36.1879451546,36.4649393026,3401749,40.555,0.0,41.02,40.5,40.81,1.0,3401749
XLNX,2014-10-08 00:00:00+00:00,37.0725393694,37.1886982057,36.0271098428,36.2862334006,2682745,41.49,0.0,41.62,40.32,40.61,1.0,2682745
XLNX,2014-10-09 00:00:00+00:00,35.9109510065,37.036798189,35.8573392359,36.9295746478,3380383,40.19,0.0,41.45,40.13,41.33,1.0,3380383
XLNX,2014-10-10 00:00:00+00:00,32.9086918529,35.2944156446,32.6853094754,35.1335803328,12130338,36.83,0.0,39.5,36.58,39.32,1.0,12130338
XLNX,2014-10-13 00:00:00+00:00,32.4083153273,33.1990889436,32.381509442,33.0159153941,7502121,36.27,0.0,37.155,36.24,36.95,1.0,7502121
XLNX,2014-10-14 00:00:00+00:00,32.9712389186,33.6056448707,32.6138271146,32.9533683284,5514394,36.9,0.0,37.61,36.5,36.88,1.0,5514394
XLNX,2014-10-15 00:00:00+00:00,33.5788389854,33.8200919531,32.4083153273,32.4976682783,6296367,37.58,0.0,37.85,36.27,36.37,1.0,6296367
XLNX,2014-10-16 00:00:00+00:00,34.3919508395,34.7314920533,33.0695271647,33.1499448206,6438242,38.49,0.0,38.87,37.01,37.1,1.0,6438242
XLNX,2014-10-17 00:00:00+00:00,36.679386385,38.1447747814,36.1611392693,36.1879451546,15812691,41.05,0.0,42.69,40.47,40.5,1.0,15812691
XLNX,2014-10-20 00:00:00+00:00,37.2244393861,37.3584688126,36.2862334006,36.6079040242,4991392,41.66,0.0,41.81,40.61,40.97,1.0,4991392
XLNX,2014-10-21 00:00:00+00:00,38.6094101266,38.7791807335,37.3674041077,37.6533335509,6442920,43.21,0.0,43.4,41.82,42.14,1.0,6442920
XLNX,2014-10-22 00:00:00+00:00,37.2780511567,38.9936278159,37.2244393861,38.6272807168,6007838,41.72,0.0,43.64,41.66,43.23,1.0,6007838
XLNX,2014-10-23 00:00:00+00:00,38.0107453549,38.2609336177,37.4478217636,37.6980100264,4267257,42.54,0.0,42.82,41.91,42.19,1.0,4267257
XLNX,2014-10-24 00:00:00+00:00,38.6004748315,38.6808924874,37.8320394529,38.198386552,3802599,43.2,0.0,43.29,42.34,42.75,1.0,3802599
XLNX,2014-10-27 00:00:00+00:00,38.5289924707,38.8685336845,38.3413512736,38.4307042246,3872853,43.12,0.0,43.5,42.91,43.01,1.0,3872853
XLNX,2014-10-28 00:00:00+00:00,38.6808924874,38.823857209,38.0911630108,38.823857209,4334426,43.29,0.0,43.45,42.63,43.45,1.0,4334426
XLNX,2014-10-29 00:00:00+00:00,38.9578866355,39.0740454718,38.3860277491,38.823857209,3743574,43.6,0.0,43.73,42.96,43.45,1.0,3743574
XLNX,2014-10-30 00:00:00+00:00,38.6183454217,38.9400160453,37.6443982558,38.734504258,3825706,43.22,0.0,43.58,42.13,43.35,1.0,3825706
XLNX,2014-10-31 00:00:00+00:00,39.7441926043,40.5081603353,39.3152984395,39.3867808003,4521153,44.48,0.0,45.335,44.0,44.08,1.0,4521153
XLNX,2014-11-03 00:00:00+00:00,39.7709984896,40.1397481364,39.7170351267,39.9508763661,2858983,44.22,0.29,44.63,44.16,44.42,1.0,2858983
XLNX,2014-11-04 00:00:00+00:00,39.3662732675,39.7620045958,39.0694747713,39.6450839761,2090609,43.77,0.0,44.21,43.44,44.08,1.0,2090609
XLNX,2014-11-05 00:00:00+00:00,39.7440168081,39.8249618526,39.033499196,39.5731328255,1953672,44.19,0.0,44.28,43.4,44.0,1.0,1953672
XLNX,2014-11-06 00:00:00+00:00,39.5731328255,40.0713945433,39.5551450378,39.8339557464,2017504,44.0,0.0,44.554,43.98,44.29,1.0,2017504
XLNX,2014-11-07 00:00:00+00:00,39.2178740194,39.5551450378,38.9165785763,39.5551450378,2839809,43.605,0.0,43.98,43.27,43.98,1.0,2839809
XLNX,2014-11-10 00:00:00+00:00,39.2763343293,39.4921877811,38.880603001,38.9975236207,2234757,43.67,0.0,43.91,43.23,43.36,1.0,2234757
XLNX,2014-11-11 00:00:00+00:00,39.033499196,39.393254949,38.9165785763,39.3842610552,1418375,43.4,0.0,43.8,43.27,43.79,1.0,1418375
XLNX,2014-11-12 00:00:00+00:00,38.9975236207,39.1414259219,38.8176457443,39.0514869837,1703127,43.36,0.0,43.52,43.16,43.42,1.0,1703127
XLNX,2014-11-13 00:00:00+00:00,38.5208472481,39.2313648602,38.4848716728,39.1414259219,2894486,42.83,0.0,43.62,42.79,43.52,1.0,2894486
XLNX,2014-11-14 00:00:00+00:00,39.2223709663,39.2673404355,38.3769449469,38.6467617616,2895322,43.61,0.0,43.66,42.67,42.97,1.0,2895322
XLNX,2014-11-17 00:00:00+00:00,39.0424930899,39.3842610552,38.7187129122,39.3302976922,1613173,43.41,0.0,43.79,43.05,43.73,1.0,1613173
XLNX,2014-11-18 00:00:00+00:00,39.8609374278,40.0408153043,39.1890935592,39.6540778699,2696970,44.32,0.0,44.52,43.573,44.09,1.0,2696970
XLNX,2014-11-19 00:00:00+00:00,39.7889862773,39.9328885784,39.4202366305,39.7889862773,2435547,44.24,0.0,44.4,43.83,44.24,1.0,2435547
XLNX,2014-11-20 00:00:00+00:00,39.7979801711,39.9014099501,39.3662732675,39.393254949,1736083,44.25,0.0,44.365,43.77,43.8,1.0,1736083
XLNX,2014-11-21 00:00:00+00:00,40.2746565437,40.3376138005,39.8339557464,40.310632119,2699464,44.78,0.0,44.85,44.29,44.82,1.0,2699464
XLNX,2014-11-24 00:00:00+00:00,40.1757237117,40.4725222079,39.9958458352,40.3016382252,1699310,44.67,0.0,45.0,44.47,44.81,1.0,1699310
XLNX,2014-11-25 00:00:00+00:00,39.9238946846,40.3556015882,39.8969130031,40.3466076943,1612922,44.39,0.0,44.87,44.36,44.86,1.0,1612922
XLNX,2014-11-26 00:00:00+00:00,40.9132230053,40.9671863682,39.8609374278,39.8609374278,2356519,45.49,0.0,45.55,44.32,44.32,1.0,2356519
XLNX,2014-11-28 00:00:00+00:00,40.8682535361,41.0751130941,40.4172996998,41.0121558373,1423057,45.44,0.0,45.67,44.9386,45.6,1.0,1423057
XLNX,2014-12-01 00:00:00+00:00,40.7333451288,40.9941680497,40.4725222079,40.7693207041,2638062,45.29,0.0,45.58,45.0,45.33,1.0,2638062
