Date,Open,High,Low,Close,Adj Close,Volume
2014-10-21,2087.92,2130.88,2087.52,2128.86,2128.86,0
2014-10-22,2140.27,2142.31,2106.82,2108.03,2108.03,0
2014-10-23,2129.37,2147.92,2125.47,2138.46,2138.46,0
2014-10-24,2147.96,2168.97,2139.49,2167.55,2167.55,0
2014-10-27,2163.99,2177.76,2153.78,2173.58,2173.58,0
2014-10-28,2182.37,2208.92,2181.71,2208.7,2208.7,0
2014-10-29,2198.51,2208.67,2182.35,2197.84,2197.84,0
2014-10-30,2195.36,2216.67,2187.54,2212.88,2212.88,0
2014-10-31,2259.25,2268.56,2253.08,2263.51,2263.51,0
2014-11-03,2264.38,2284.02,2262.79,2272.79,2272.79,0
2014-11-04,2268.85,2281.69,2259.81,2275.9,2275.9,0
2014-11-05,2288.2,2292.59,2277.52,2290.94,2290.94,0
2014-11-06,2284.37,2291.76,2273.85,2287.48,2287.48,0
2014-11-07,2287.92,2291.29,2267.92,2280.3,2280.3,0
2014-11-10,2279.07,2295.39,2277.6,2293.79,2293.79,0
2014-11-11,2291.7,2294.08,2282.86,2291.13,2291.13,0
2014-11-12,2284.31,2296.16,2280.72,2293.71,2293.71,0
2014-11-13,2298.67,2310.15,2288.76,2296.98,2296.98,0
2014-11-14,2296.71,2317.4,2289.05,2316.45,2316.45,0
2014-11-17,2308.43,2314.17,2295.65,2310.62,2310.62,0
2014-11-18,2310.11,2330.85,2310.09,2326.45,2326.45,0
2014-11-19,2321.86,2322.77,2302.8,2313.48,2313.48,0
2014-11-20,2301.81,2326.09,2297.8,2324.36,2324.36,0
2014-11-21,2349.04,2352.57,2332.56,2343.0,2343.0,0
2014-11-24,2347.34,2361.69,2343.99,2361.41,2361.41,0
2014-11-25,2364.35,2370.59,2356.98,2359.13,2359.13,0
2014-11-26,2360.57,2385.85,2360.13,2385.1,2385.1,0
2014-11-28,2390.21,2403.32,2384.69,2396.16,2396.16,0
2014-12-01,2387.37,2391.04,2362.8,2368.63,2368.63,0
2014-12-02,2367.3,2381.37,2362.64,2378.9,2378.9,0
2014-12-03,2381.12,2403.52,2377.4,2400.23,2400.23,0
2014-12-04,2400.55,2409.34,2386.97,2401.58,2401.58,0
2014-12-05,2404.57,2411.06,2400.8,2411.06,2411.06,0
2014-12-08,2401.08,2412.74,2370.58,2384.72,2384.72,0
2014-12-09,2358.77,2394.26,2353.65,2382.42,2382.42,0
2014-12-10,2381.68,2392.42,2345.93,2349.16,2349.16,0
2014-12-11,2362.84,2386.88,2356.49,2361.15,2361.15,0
2014-12-12,2340.98,2360.78,2328.98,2328.98,2328.98,0
2014-12-15,2339.63,2354.11,2302.67,2313.21,2313.21,0
2014-12-16,2298.68,2337.99,2287.79,2288.24,2288.24,0
2014-12-17,2290.26,2335.8,2283.55,2330.22,2330.22,0
2014-12-18,2365.2,2382.09,2355.72,2382.09,2382.09,0
2014-12-19,2386.28,2394.25,2375.02,2385.29,2385.29,0
2014-12-22,2393.01,2412.34,2392.94,2412.14,2412.14,0
2014-12-23,2422.95,2426.26,2412.83,2413.03,2413.03,0
2014-12-24,2419.01,2422.17,2412.37,2413.98,2413.98,0
2014-12-26,2419.1,2423.64,2414.99,2416.44,2416.44,0
2014-12-29,2412.8,2413.88,2404.03,2405.17,2405.17,0
2014-12-30,2397.27,2403.29,2387.07,2390.72,2390.72,0
2014-12-31,2399.08,2405.62,2366.24,2367.85,2367.85,0
2015-01-02,2379.03,2387.81,2347.27,2365.38,2365.38,0
2015-01-05,2354.9,2359.2,2321.57,2327.11,2327.11,0
2015-01-06,2330.57,2330.61,2274.29,2283.38,2283.38,0
2015-01-07,2291.59,2310.48,2284.14,2300.44,2300.44,0
2015-01-08,2320.29,2359.81,2320.29,2354.94,2354.94,0
2015-01-09,2359.96,2368.66,2331.98,2350.07,2350.07,0
2015-01-12,2341.58,2343.46,2305.16,2314.4,2314.4,0
2015-01-13,2334.19,2359.21,2282.3,2298.74,2298.74,0
